no,center,id_lab,id,run,replication,genus,species,tax_name,family,order,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,tddm,ch4_ml_g_NDF_digested_24h,methane_intensity
No,CENTER,Internal ID lab (when possible),Gene bank /Breeding program ID,Run,Replication,Genus,Species,Tax Name,Family,Order,Functional Group,"Net gas 8h, ml","Net gas 24h, ml","CH4 8h, ml","CH4 24h, ml","CH4 % in gas, h8","CH4 % in gas, 24h","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",CH4 ml/g NDF digested in 24 h,"CH4 ml/g DMD, 24h"
1,CIAT,Blank,Blank,1,1,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,CIAT,Blank,Blank,1,2,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,CIAT,F24 3416,ABC-705-1,1,1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,28.17,62.58,4,11.16,14.2,17.83,135.95,65.41,227.85,37.05
4,CIAT,F24 3416,ABC-705-1,1,2,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,28.17,61.25,4.23,11.21,15,18.29,133.17,63.8,270.01,38.19
5,CIAT,F24 3416,ABC-705-1,1,3,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,29.5,63.02,4.07,10.98,13.8,17.42,137.02,64.34,249.46,37.09
6,CIAT,F24 3417,ABC-707-1,1,1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,30.83,67,4.29,11.3,13.9,16.87,148.74,60.15,175.96,41.71
7,CIAT,F24 3417,ABC-707-1,1,2,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,29.5,66.12,4.13,11.23,14,16.99,146.66,62.56,149.52,39.83
8,CIAT,F24 3417,ABC-707-1,1,3,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,30.83,67,3.98,10.89,12.9,16.25,148.62,60.36,166.88,40
9,CIAT,F24 3418,ABC-712-1,1,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,38.35,78.51,4.64,11.67,12.1,14.86,171.9,65.01,128.46,39.3
10,CIAT,F24 3418,ABC-712-1,1,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,40.56,77.62,5.07,11.82,12.5,15.22,169.86,62.05,152.69,41.67
11,CIAT,F24 3418,ABC-712-1,1,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,40.56,81.16,5.03,12.26,12.4,15.1,177.68,56.08,244.74,47.84
12,CIAT,F24 3419,ABC-749-1,1,1,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,36.14,68.77,5.1,11,14.1,16,149.8,61.64,189.59,38.88
13,CIAT,F24 3419,ABC-749-1,1,2,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,35.7,67.89,4.96,10.79,13.9,15.89,147.93,67.18,129.3,34.99
14,CIAT,F24 3419,ABC-749-1,1,3,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,35.7,68.77,4.64,10.63,13,15.45,149.86,65.33,141.81,35.45
15,CIAT,F24 3420,ABC-768-1,1,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,31.71,74.08,4.31,11.98,13.6,16.17,160.69,66.16,127.59,39.28
16,CIAT,F24 3420,ABC-768-1,1,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,33.48,74.52,4.42,11.64,13.2,15.62,161.62,65.13,130.59,38.77
17,CIAT,F24 3420,ABC-768-1,1,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,33.48,75.41,4.42,12.22,13.2,16.2,163.57,63.28,151.57,41.88
18,CIAT,F24 3421,ABC-772-1,1,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,32.16,78.51,4.15,11.7,12.9,14.91,171.49,59.5,94.97,42.96
19,CIAT,F24 3421,ABC-772-1,1,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,32.16,75.85,4.24,11.5,13.2,15.16,165.66,60.38,90.32,41.59
20,CIAT,F24 3421,ABC-772-1,1,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,31.27,75.85,4.13,11.39,13.2,15.02,165.79,60.66,88.71,41.06
