no,center,id_lab,id,run,replication,genus,species,tax_name,family,order,functional_group,sampling_stage,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,tddm,ch4_ml_g_NDF_digested_24h,methane_intensity
No,CENTER,Internal ID lab (when possible),Gene bank /Breeding program ID,Run,Replication,Genus,Species,Tax Name,Family,Order,Functional Group,sampling stage,"Net gas 8h, ml","Net gas 24h, ml","CH4 8h, ml","CH4 24h, ml","CH4 % in gas, h8","CH4 % in gas, 24h","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",CH4 ml/g NDF digested in 24 h,"CH4 ml/g DMD, 24h"
1,ICARDA,28,101045,1,1,Medicago,sativa,Medicago sativa subsp. Sativa,Fabaceae,Fabales,Legume,,54.8,94.5,6.41,13.56,11.7,14.35,201.44,70.92,6.84,40.76
2,ICARDA,28,101045,1,2,Medicago,sativa,Medicago sativa subsp. Sativa,Fabaceae,Fabales,Legume,,51.3,84,5.64,11.4,11,13.57,179.84,70.99,5.77,34.39
3,ICARDA,28,101045,1,3,Medicago,sativa,Medicago sativa subsp. Sativa,Fabaceae,Fabales,Legume,,73.8,119,8.11,16.17,11,13.59,255.28,70.8,8.2,48.98
30,ICARDA,28,101045,2,2,Medicago,sativa,Medicago sativa subsp. Sativa,Fabaceae,Fabales,Legume,,57.8,87.8,7.51,13.33,13,15.19,187.13,70.23,6.72,40.47
74,ICARDA,28,101045,3,1,Medicago,sativa,Medicago sativa subsp. Sativa,Fabaceae,Fabales,Legume,,53.9,86.4,7.17,12.59,13.3,14.58,185.22,56.15,6.39,48.1
75,ICARDA,28,101045,3,2,Medicago,sativa,Medicago sativa subsp. Sativa,Fabaceae,Fabales,Legume,,50.9,85.9,6.21,12.72,12.2,14.81,175.99,64.38,6.16,40.48
76,ICARDA,28,101045,3,3,Medicago,sativa,Medicago sativa subsp. Sativa,Fabaceae,Fabales,Legume,,58.9,71.9,7.48,9.75,12.7,13.57,153.98,56.62,4.94,36.9
4,ICARDA,29,101063,1,1,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,55.8,100.5,6.19,14.47,11.1,14.4,210.25,60.67,5.67,49.88
5,ICARDA,29,101063,1,2,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,59.8,106.5,7.17,15.96,12,14.98,222.8,56.21,6.26,59.39
6,ICARDA,29,101063,1,3,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,55.8,102,7.02,15.3,12.6,15,214.66,57.24,6.04,56.27
31,ICARDA,29,101063,2,1,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,54.3,89.3,7.32,14.22,13.5,15.93,186.56,58.8,5.57,50.55
32,ICARDA,29,101063,2,2,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,56.8,94.8,7.77,14.27,13.7,15.06,198.77,55.53,5.61,53.92
33,ICARDA,29,101063,2,3,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,52.8,89.8,7.12,14,13.5,15.6,186.17,58.37,5.44,49.76
77,ICARDA,29,101063,3,1,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,46.9,77.9,6.28,11.06,13.4,14.2,162.82,48,4.33,48.15
78,ICARDA,29,101063,3,2,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,50.9,84.9,6.66,12.55,13.1,14.78,177.52,45.77,4.92,57.34
79,ICARDA,29,101063,3,3,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,55.9,90.9,7.71,13.73,13.8,15.11,190.75,44.21,5.4,65.2
7,ICARDA,30,101065,1,1,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,61.8,106.5,7.72,15.51,12.5,14.56,223.64,62.77,6.7,51.87
8,ICARDA,30,101065,1,2,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,55.8,95,6.24,13.19,11.2,13.89,200.25,63.89,5.72,43.52
9,ICARDA,30,101065,1,3,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,56.8,101.1,6.47,14.19,11.4,14.03,213.49,65.35,6.16,45.84
34,ICARDA,30,101065,2,1,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,58.8,89.3,8.05,13.81,13.7,15.48,187.2,56.58,5.96,51.2
35,ICARDA,30,101065,2,2,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,45.8,79.8,5.81,11.79,12.7,14.79,168,64.31,5.11,38.63
36,ICARDA,30,101065,2,3,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,50.8,86.8,6.8,13.14,13.4,15.14,180.59,57.53,5.63,47.53
80,ICARDA,30,101065,3,1,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,60.9,88.9,7.49,12.19,12.3,13.72,186.6,54.76,5.27,46.75
81,ICARDA,30,101065,3,2,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,54.9,86.9,6.69,12.23,12.2,14.08,182.29,48.42,5.28,53
82,ICARDA,30,101065,3,3,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,62.9,99.4,8.61,14.75,13.7,14.84,208.89,47.58,6.38,65.15
144,ICARDA,30,101065,4,1,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,83.5,116.3,11.11,17.48,13.3,15.02,245.71,55.1,7.59,66.99
145,ICARDA,30,101065,4,2,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,83,120.8,11.7,18.74,14.1,15.51,251.5,63.97,8.02,60.97
146,ICARDA,30,101065,4,3,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,77,116.8,10.55,17.8,13.7,15.23,246.27,71.52,7.72,52.46
10,ICARDA,31,101076,1,1,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,46.8,90.3,5.1,12.63,10.9,13.99,191.71,60.89,5.03,44.03
11,ICARDA,31,101076,1,2,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,49.3,90,5.22,12.23,10.6,13.59,189.89,61.11,4.84,42.22
