no,center,id_lab,replication,id,genus,species,,family,order,functional_group,sampling_stage,dm ,ash/dm,om ,pc_dm,adf_dm,ndf_dm
No,CENTER,Internal ID lab (when possible),replication,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Sampling stage,"DM, %",Ash/DM,"OM, %","PC (%), DM","ADF, % DM","NDF, % DM"
1,ICARDA,28,1,101045,Medicago,sativa,Medicago sativa subsp. Sativa,Fabaceae,Fabales,Legume,,92.58,12,88,18.95,35.86087708,41.55325124
2,ICARDA,28,2,101045,Medicago,sativa,Medicago sativa subsp. Sativa,Fabaceae,Fabales,Legume,,92.9,11.97,88.03,19.56,38.72981701,43.39074273
3,ICARDA,28,3,101045,Medicago,sativa,Medicago sativa subsp. Sativa,Fabaceae,Fabales,Legume,,92.81,11.91,88.09,19.09,36.27841827,41.9243616
4,ICARDA,29,1,101063,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,95,10.52,89.48,13.33,50.4,53.62105263
5,ICARDA,29,2,101063,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.9,10.33,89.67,13.51,47.4288725,53.01369863
6,ICARDA,29,3,101063,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,95.02,10.42,89.58,13.35,46.94801095,53.44138076
7,ICARDA,30,1,101065,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.63,10.66,89.34,14.73,44.4362253,49.23385818
8,ICARDA,30,2,101065,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.71,10.67,89.33,13.89,45.32784289,47.53457924
9,ICARDA,30,3,101065,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.34,10.66,89.34,14.61,44.55162179,49.05660377
10,ICARDA,31,1,101076,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.04,10.5,89.5,13.32,49.35133986,53.92386219
11,ICARDA,31,2,101076,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.12,10.51,89.49,14.13,48.52316192,53.65490863
12,ICARDA,31,3,101076,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.18,10.5,89.5,14,48.51348482,52.42089616
13,ICARDA,32,1,101077,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.82,10.55,89.45,13.58,47.42670323,47.47943472
14,ICARDA,32,2,101077,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.81,10.55,89.45,13.5,47.57936926,49.2036705
15,ICARDA,32,3,101077,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.83,11.3,88.7,13.75,47.89623537,48.30749763
16,ICARDA,33,1,101094,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.67,10.83,89.17,13.4,45.16742368,53.83965353
17,ICARDA,33,2,101094,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.64,10.57,89.43,13.7,48.07692308,54.81825866
18,ICARDA,33,3,101094,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.61,11.16,88.84,13.35,45.90423845,53.96892506
19,ICARDA,34,1,101095,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.87,10.54,89.46,12.97,45.34626331,55.28618109
20,ICARDA,34,2,101095,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.87,10.49,89.51,12.79,45.01950037,54.10561821
21,ICARDA,34,3,101095,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,94.83,10.42,89.58,12.66,40.41969841,52.79974692
22,ICARDA,35,1,101097,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,95.54,11.03,88.97,13.96,32.71927988,48.94285116
23,ICARDA,35,2,101097,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,95.7,11,89,13.96,33.50052247,48.24451411
24,ICARDA,35,3,101097,Medicago,sativa,Medicago sativa,Fabaceae,Fabales,Legume,,95.77,11.03,88.97,14.17,32.42142633,48.67912708
25,ICARDA,36,1,156276,trifolium,pratense,trifolium pratense,Fabaceae,Fabales,Legume,,93.83,12.15,87.85,18.1,27.50719386,40.92507727
26,ICARDA,36,2,156276,trifolium,pratense,trifolium pratense,Fabaceae,Fabales,Legume,,93.84,12.26,87.74,17.74,26.928815,39.84441603
27,ICARDA,36,3,156276,trifolium,pratense,trifolium pratense,Fabaceae,Fabales,Legume,,93.71,12.19,87.81,17.88,28.28940348,44.92583502
28,ICARDA,37,1,156283,trifolium,pratense,trifolium pratense,Fabaceae,Fabales,Legume,,94.7,10.96,89.04,16.66,27.84582893,42.5343189
29,ICARDA,37,2,156283,trifolium,pratense,trifolium pratense,Fabaceae,Fabales,Legume,,94.74,10.98,89.02,16.71,26.32467807,40.29976779
