requisitioner,gen_bank_id,tax_name,functional_group,%_DMD_truly_digestibility,CH4_ml_in_gas_8h,CH4_ml_in_gas_24h,CH4_ml/g_DMD_24h
Standard,BLANK 24 H,BLANK 24 H,BLANK 24 H,,,,
Standard,BLANK 24 H,BLANK 24 H,BLANK 24 H,,,,
Genetic bank,ABC-1467-1,Stylosanthes hamata,Herbaceous,61.12940668,12.7,14.32727468,50.84123828
Genetic bank,ABC-1467-1,Stylosanthes hamata,Herbaceous,,,,
Genetic bank,ABC-1467-1,Stylosanthes hamata,Herbaceous,62.87183987,13.4,14.77413556,51.71448076
Genetic bank,ABC-1475-1,Stylosanthes hamata,Herbaceous,55.28141866,13.3,14.75186593,56.40388724
Genetic bank,ABC-1475-1,Stylosanthes hamata,Herbaceous,60.8278053,13.3,14.90470256,51.20099287
Genetic bank,ABC-1475-1,Stylosanthes hamata,Herbaceous,57.26401586,13.3,14.79872503,52.91615889
Genetic bank,ABC-23326,Desmodium velutinum,Shrub,61.82662161,14.4,16.16347687,44.14593582
Genetic bank,ABC-23326,Desmodium velutinum,Shrub,63.68948247,14.9,16.45110937,41.74816675
Genetic bank,ABC-23326,Desmodium velutinum,Shrub,60.99223082,15,16.5898871,43.94456493
Genetic bank,ABC-13149,Desmodium strigillosum,Herbaceous,48.02291636,13.3,14.42179131,43.78972706
Genetic bank,ABC-13149,Desmodium strigillosum,Herbaceous,47.54448204,12.9,14.0933763,42.95033278
Genetic bank,ABC-13149,Desmodium strigillosum,Herbaceous,47.58640453,13.3,14.33306086,43.28654957
Genetic bank,ABC-13946,Desmodium sequax,Herbaceous,21.99801447,12,12.89155942,29.28916459
Genetic bank,ABC-13946,Desmodium sequax,Herbaceous,27.34054793,11.7,12.34132218,23.51732674
Genetic bank,ABC-13946,Desmodium sequax,Herbaceous,23.29207406,11.8,12.36380407,28.22076467
Genetic bank,ABC-19867,Uraria lagopodioides,Herbaceous,59.14859843,15.3,16.37829654,42.67946034
Genetic bank,ABC-19867,Uraria lagopodioides,Herbaceous,38.06047967,15.6,16.48127089,66.78387066
Genetic bank,ABC-19867,Uraria lagopodioides,Herbaceous,54.13721894,15.5,16.43077111,47.73802212
Genetic bank,CIAT-798,Galactia striata,Climber,56.80932338,12.8,14.44528234,50.76656845
Genetic bank,CIAT-798,Galactia striata,Climber,49.70298054,12.6,14.15624357,59.30051051
Genetic bank,CIAT-798,Galactia striata,Climber,62.64006472,12.7,14.31033405,47.09099224
Genetic bank,CIAT-822,Calopogonium mucunoides,Climber,55.35282107,13.6,14.58118137,45.33667131
Genetic bank,CIAT-822,Calopogonium mucunoides,Climber,55.14918382,13.6,14.51055466,45.83389988
Genetic bank,CIAT-822,Calopogonium mucunoides,Climber,54.29893138,13.4,14.58973069,47.09117773
Genetic bank,CIAT-852,Dioclea sericea,Climber,26.00267873,12.1,12.95990862,43.52455644
Genetic bank,CIAT-852,Dioclea sericea,Climber,32.40014166,11.9,12.72471987,33.87790693
Genetic bank,CIAT-852,Dioclea sericea,Climber,27.06892255,11.8,12.5713134,41.54684099
Genetic bank,CIAT-907,Dioclea virgata,Climber,49.91500226,13.7,14.8368457,47.25045337
Genetic bank,CIAT-907,Dioclea virgata,Climber,51.20474469,13.8,15.05955893,43.90681913
Genetic bank,CIAT-907,Dioclea virgata,Climber,45.78748255,13.3,14.82785334,50.4748032
Genetic bank,CIAT-1992,Stylosanthes guianensis,Herbaceous,54.6052861,12,13.13490738,42.87202334
Genetic bank,CIAT-1992,Stylosanthes guianensis,Herbaceous,56.12721253,11.8,13.0818938,41.78473957
Genetic bank,CIAT-1992,Stylosanthes guianensis,Herbaceous,58.68765434,11.8,13.08114293,40.95563522
Genetic bank,CIAT-3001,Codariocalyx gyroides,Shrub,36.09461588,13,13.90949253,47.66405007
Genetic bank,CIAT-3001,Codariocalyx gyroides,Shrub,42.25431926,12.3,13.69126288,42.11704178
Genetic bank,CIAT-3001,Codariocalyx gyroides,Shrub,43.71247623,12.5,13.78146027,41.33027601
Genetic bank,CIAT-3304,Desmodium cajanifolium,Shrub,62.0848008,13.4,14.45920626,47.56111934
Genetic bank,CIAT-3304,Desmodium cajanifolium,Shrub,75.34526257,13.3,14.54155826,38.81948524
Genetic bank,CIAT-3304,Desmodium cajanifolium,Shrub,61.43746196,13.3,14.44670815,48.28766779
Genetic bank,CIAT-5713,Centrosema macrocarpum,Climber,55.01545869,13.7,14.96850596,49.96337198
Genetic bank,CIAT-5713,Centrosema macrocarpum,Climber,55.85141439,13.3,14.56730607,48.73243137
Genetic bank,CIAT-5713,Centrosema macrocarpum,Climber,53.10533011,13.6,14.69268403,52.86237454
Genetic bank,CIAT-7381,Galactia glaucescens,Herbaceous,30.1511709,12.3,14.197565,51.28003014
Genetic bank,CIAT-7381,Galactia glaucescens,Herbaceous,32.49296391,12.3,14.25445859,47.3011873
Genetic bank,CIAT-7381,Galactia glaucescens,Herbaceous,39.4764504,12.8,14.40358791,40.11293535
Genetic bank,CIAT-7799,Dioclea guianensis,Climber,26.17393951,12.3,13.25235719,50.86968187
Genetic bank,CIAT-7799,Dioclea guianensis,Climber,31.79220886,12.4,13.0586268,40.79573016
Genetic bank,CIAT-7799,Dioclea guianensis,Climber,27.05907021,12.1,12.88461833,46.80261288
Standard,BLANK 8H,BLANK 8H,BLANK 8H,,,,
Standard,BLANK 8H,BLANK 8H,BLANK 8H,,,,
Genetic bank,CIAT-7803,Dioclea holtiana,Climber,37.86975079,11.5,12.50442493,35.32450625
Genetic bank,CIAT-7803,Dioclea holtiana,Climber,41.45117672,11.9,12.6138505,31.92232712
Genetic bank,CIAT-7803,Dioclea holtiana,Climber,33.58896337,11.4,12.35300135,37.02684616
Genetic bank,CIAT-8182,Eriosema diffusum,Herbaceous,21.64114045,12.8,14.02778354,67.93241561
Genetic bank,CIAT-8182,Eriosema diffusum,Herbaceous,27.19306997,13,14.4409348,55.09766141
Genetic bank,CIAT-8182,Eriosema diffusum,Herbaceous,25.08163307,12.7,14.15844326,59.75229514
Genetic bank,CIAT-8434,Dioclea sericea,Climber,49.36410946,13.7,14.96102131,46.26664935
Genetic bank,CIAT-8434,Dioclea sericea,Climber,43.35917646,14.1,15.25925593,52.61743032
Genetic bank,CIAT-8434,Dioclea sericea,Climber,45.26094457,14.2,15.26038424,49.34903553
Genetic bank,CIAT-8702,Calopogonium caeruleum,Climber,48.82207953,14.4,15.36163275,59.84519469
Genetic bank,CIAT-8702,Calopogonium caeruleum,Climber,51.61751216,14.9,15.81949512,44.45179461
Genetic bank,CIAT-8702,Calopogonium caeruleum,Climber,52.70213813,14.3,15.66380313,42.78037163
Genetic bank,CIAT-8816,Crotalaria micans,Herbaceous,73.89909798,14,15.02856198,43.92223036
Genetic bank,CIAT-8816,Crotalaria micans,Herbaceous,71.12362728,13.5,14.60779281,45.00860609
Genetic bank,CIAT-8816,Crotalaria micans,Herbaceous,77.32216709,13.4,14.59862032,40.97883431
Genetic bank,CIAT-8826,Zapoteca formosa,Shrub,75.26667681,11,11.96559835,33.37152656
Genetic bank,CIAT-8826,Zapoteca formosa,Shrub,72.06282041,10.8,11.72344276,34.85051691
Genetic bank,CIAT-8826,Zapoteca formosa,Shrub,72.27608132,10.7,11.67011659,34.4174577
Genetic bank,CIAT-9578,Dioclea sericea,Climber,,,,
Genetic bank,CIAT-9578,Dioclea sericea,Climber,,,,
Genetic bank,CIAT-9578,Dioclea sericea,Climber,,,,
Genetic bank,CIAT-9740,Chamaecrista desvauxii,Herbaceous,56.63010816,10.7,13.93590609,43.02660688
Genetic bank,CIAT-9740,Chamaecrista desvauxii,Herbaceous,51.37276317,10.3,13.6236978,46.94163613
Genetic bank,CIAT-9740,Chamaecrista desvauxii,Herbaceous,53.49665561,10,13.48731067,44.33590282
Genetic bank,CIAT-9934,Aeschynomene americana,Herbaceous,61.00628627,13.4,14.70447655,48.76607525
Genetic bank,CIAT-9934,Aeschynomene americana,Herbaceous,58.85903572,13.1,14.48373007,51.90442751
Genetic bank,CIAT-9934,Aeschynomene americana,Herbaceous,58.21118277,13,14.32760759,51.92676064
Breeding,CIAT-PM21_4448,Megathyrsus maximus,Grasses,46.5912661,13.7,14.79475639,53.50650514
Breeding,CIAT-PM21_4448,Megathyrsus maximus,Grasses,50.42078943,13.8,14.74190261,46.1487424
Breeding,CIAT-PM21_4448,Megathyrsus maximus,Grasses,50.15184836,14,14.99410384,45.68110752
Breeding,CIAT-CIAT_16071,Megathyrsus maximus,Grasses,52.91841342,11.7,14.4752399,44.6641569
Breeding,CIAT-CIAT_16071,Megathyrsus maximus,Grasses,41.98901491,13.7,15.41513183,62.27523767
