exp_id,substrate_id,rumen_fluid_vid,center,channel_id,functional,family,genus,species,exclusion,parameter,param_base,unit,value_48
AMC 03,1000,37&261,ILRI,202,Legume,Fabaceae,Teramnus ,uncinatus,NA,Acetate [mmol/g],Acetate,mmol/g,3.4239535393381546
AMC 03,1000,37&261,ILRI,202,Legume,Fabaceae,Teramnus ,uncinatus,NA,Butyrate [mmol/g],Butyrate,mmol/g,0.4640587332895025
AMC 03,1000,37&261,ILRI,202,Legume,Fabaceae,Teramnus ,uncinatus,NA,CH4 [% GP],CH4,% GP,15.432089018846966
AMC 03,1000,37&261,ILRI,202,Legume,Fabaceae,Teramnus ,uncinatus,NA,CH4 [mL/mmol],CH4,mL/mmol,6.569849763163563
AMC 03,1000,37&261,ILRI,202,Legume,Fabaceae,Teramnus ,uncinatus,NA,CH4 [ml/L],CH4,ml/L,154.32089018846963
AMC 03,1000,37&261,ILRI,202,Legume,Fabaceae,Teramnus ,uncinatus,NA,CH4 [ml/g],CH4,ml/g,33.20128218577037
AMC 03,1000,37&261,ILRI,202,Legume,Fabaceae,Teramnus ,uncinatus,NA,Caproate [mmol/g],Caproate,mmol/g,0.007560815253122946
AMC 03,1000,37&261,ILRI,202,Legume,Fabaceae,Teramnus ,uncinatus,NA,GP [ml/g],GP,ml/g,215.1444444444441
AMC 03,1000,37&261,ILRI,202,Legume,Fabaceae,Teramnus ,uncinatus,NA,Isobutyrate [mmol/g],Isobutyrate,mmol/g,0.07429322813938197
AMC 03,1000,37&261,ILRI,202,Legume,Fabaceae,Teramnus ,uncinatus,NA,Isovalerate [mmol/g],Isovalerate,mmol/g,0.14891518737672582
AMC 03,1000,37&261,ILRI,202,Legume,Fabaceae,Teramnus ,uncinatus,NA,Propionate [mmol/g],Propionate,mmol/g,0.8528380451457372
AMC 03,1000,37&261,ILRI,202,Legume,Fabaceae,Teramnus ,uncinatus,NA,SCFA [mmol/g],SCFA,mmol/g,5.053583168967784
AMC 03,1000,37&261,ILRI,202,Legume,Fabaceae,Teramnus ,uncinatus,NA,Valerate [mmol/g],Valerate,mmol/g,0.08196362042515887
AMC 03,1000,37&261,ILRI,222,Legume,Fabaceae,Teramnus ,uncinatus,NA,Acetate [mmol/g],Acetate,mmol/g,4.711242863416778
AMC 03,1000,37&261,ILRI,222,Legume,Fabaceae,Teramnus ,uncinatus,NA,Butyrate [mmol/g],Butyrate,mmol/g,0.6488801054018447
AMC 03,1000,37&261,ILRI,222,Legume,Fabaceae,Teramnus ,uncinatus,NA,CH4 [% GP],CH4,% GP,15.000746353967548
AMC 03,1000,37&261,ILRI,222,Legume,Fabaceae,Teramnus ,uncinatus,NA,CH4 [mL/mmol],CH4,mL/mmol,4.641343393080431
AMC 03,1000,37&261,ILRI,222,Legume,Fabaceae,Teramnus ,uncinatus,NA,CH4 [ml/L],CH4,ml/L,150.00746353967548
AMC 03,1000,37&261,ILRI,222,Legume,Fabaceae,Teramnus ,uncinatus,NA,CH4 [ml/g],CH4,ml/g,32.188745802296715
AMC 03,1000,37&261,ILRI,222,Legume,Fabaceae,Teramnus ,uncinatus,NA,Caproate [mmol/g],Caproate,mmol/g,0.01108915239350022
AMC 03,1000,37&261,ILRI,222,Legume,Fabaceae,Teramnus ,uncinatus,NA,GP [ml/g],GP,ml/g,214.58096179183187
AMC 03,1000,37&261,ILRI,222,Legume,Fabaceae,Teramnus ,uncinatus,NA,Isobutyrate [mmol/g],Isobutyrate,mmol/g,0.0994729907773386
AMC 03,1000,37&261,ILRI,222,Legume,Fabaceae,Teramnus ,uncinatus,NA,Isovalerate [mmol/g],Isovalerate,mmol/g,0.19312692138779097
AMC 03,1000,37&261,ILRI,222,Legume,Fabaceae,Teramnus ,uncinatus,NA,Propionate [mmol/g],Propionate,mmol/g,1.1640316205533598
AMC 03,1000,37&261,ILRI,222,Legume,Fabaceae,Teramnus ,uncinatus,NA,SCFA [mmol/g],SCFA,mmol/g,6.935221783047869
AMC 03,1000,37&261,ILRI,222,Legume,Fabaceae,Teramnus ,uncinatus,NA,Valerate [mmol/g],Valerate,mmol/g,0.10737812911725955
AMC 03,1001,37&261,ILRI,214,Legume,Fabaceae,Teramnus ,labialis,NA,Acetate [mmol/g],Acetate,mmol/g,4.3983144821468185
AMC 03,1001,37&261,ILRI,214,Legume,Fabaceae,Teramnus ,labialis,NA,Butyrate [mmol/g],Butyrate,mmol/g,0.5790640940341539
AMC 03,1001,37&261,ILRI,214,Legume,Fabaceae,Teramnus ,labialis,NA,CH4 [% GP],CH4,% GP,15.013990391284167
AMC 03,1001,37&261,ILRI,214,Legume,Fabaceae,Teramnus ,labialis,NA,CH4 [mL/mmol],CH4,mL/mmol,5.3606477721301715
AMC 03,1001,37&261,ILRI,214,Legume,Fabaceae,Teramnus ,labialis,NA,CH4 [ml/L],CH4,ml/L,150.13990391284167
AMC 03,1001,37&261,ILRI,214,Legume,Fabaceae,Teramnus ,labialis,NA,CH4 [ml/g],CH4,ml/g,35.08733592789482
AMC 03,1001,37&261,ILRI,214,Legume,Fabaceae,Teramnus ,labialis,NA,Caproate [mmol/g],Caproate,mmol/g,0.007429585273896652
AMC 03,1001,37&261,ILRI,214,Legume,Fabaceae,Teramnus ,labialis,NA,GP [ml/g],GP,ml/g,233.6976047904194
AMC 03,1001,37&261,ILRI,214,Legume,Fabaceae,Teramnus ,labialis,NA,Isobutyrate [mmol/g],Isobutyrate,mmol/g,0.10889332446218675
AMC 03,1001,37&261,ILRI,214,Legume,Fabaceae,Teramnus ,labialis,NA,Isovalerate [mmol/g],Isovalerate,mmol/g,0.2194499889110668
AMC 03,1001,37&261,ILRI,214,Legume,Fabaceae,Teramnus ,labialis,NA,Propionate [mmol/g],Propionate,mmol/g,1.1213129296961633
AMC 03,1001,37&261,ILRI,214,Legume,Fabaceae,Teramnus ,labialis,NA,SCFA [mmol/g],SCFA,mmol/g,6.545353736970503
AMC 03,1001,37&261,ILRI,214,Legume,Fabaceae,Teramnus ,labialis,NA,Valerate [mmol/g],Valerate,mmol/g,0.11088933244621865
AMC 03,1001,37&261,ILRI,224,Legume,Fabaceae,Teramnus ,labialis,NA,Acetate [mmol/g],Acetate,mmol/g,4.1982701264138385
AMC 03,1001,37&261,ILRI,224,Legume,Fabaceae,Teramnus ,labialis,NA,Butyrate [mmol/g],Butyrate,mmol/g,0.5602129075182968
AMC 03,1001,37&261,ILRI,224,Legume,Fabaceae,Teramnus ,labialis,NA,CH4 [% GP],CH4,% GP,14.547394982346317
AMC 03,1001,37&261,ILRI,224,Legume,Fabaceae,Teramnus ,labialis,NA,CH4 [mL/mmol],CH4,mL/mmol,6.119755873212321
AMC 03,1001,37&261,ILRI,224,Legume,Fabaceae,Teramnus ,labialis,NA,CH4 [ml/L],CH4,ml/L,145.4739498234632
AMC 03,1001,37&261,ILRI,224,Legume,Fabaceae,Teramnus ,labialis,NA,CH4 [ml/g],CH4,ml/g,38.43407558607817
AMC 03,1001,37&261,ILRI,224,Legume,Fabaceae,Teramnus ,labialis,NA,Caproate [mmol/g],Caproate,mmol/g,0.006320691949434465
AMC 03,1001,37&261,ILRI,224,Legume,Fabaceae,Teramnus ,labialis,NA,GP [ml/g],GP,ml/g,264.19902417387465
AMC 03,1001,37&261,ILRI,224,Legume,Fabaceae,Teramnus ,labialis,NA,Isobutyrate [mmol/g],Isobutyrate,mmol/g,0.10501219782656909
AMC 03,1001,37&261,ILRI,224,Legume,Fabaceae,Teramnus ,labialis,NA,Isovalerate [mmol/g],Isovalerate,mmol/g,0.2101352849855844
AMC 03,1001,37&261,ILRI,224,Legume,Fabaceae,Teramnus ,labialis,NA,Propionate [mmol/g],Propionate,mmol/g,1.0951430472388557
AMC 03,1001,37&261,ILRI,224,Legume,Fabaceae,Teramnus ,labialis,NA,SCFA [mmol/g],SCFA,mmol/g,6.28032823242404
AMC 03,1001,37&261,ILRI,224,Legume,Fabaceae,Teramnus ,labialis,NA,Valerate [mmol/g],Valerate,mmol/g,0.10523397649146153
AMC 03,1002,37&261,ILRI,211,Legume,Fabaceae,Arachis,pintoi,NA,Acetate [mmol/g],Acetate,mmol/g,4.88016346366247
AMC 03,1002,37&261,ILRI,211,Legume,Fabaceae,Arachis,pintoi,NA,Butyrate [mmol/g],Butyrate,mmol/g,0.7348133421692069
AMC 03,1002,37&261,ILRI,211,Legume,Fabaceae,Arachis,pintoi,NA,CH4 [% GP],CH4,% GP,13.772061899949179
AMC 03,1002,37&261,ILRI,211,Legume,Fabaceae,Arachis,pintoi,NA,CH4 [mL/mmol],CH4,mL/mmol,5.965636852938946
AMC 03,1002,37&261,ILRI,211,Legume,Fabaceae,Arachis,pintoi,NA,CH4 [ml/L],CH4,ml/L,137.7206189994918
AMC 03,1002,37&261,ILRI,211,Legume,Fabaceae,Arachis,pintoi,NA,CH4 [ml/g],CH4,ml/g,43.605682231886384
AMC 03,1002,37&261,ILRI,211,Legume,Fabaceae,Arachis,pintoi,NA,Caproate [mmol/g],Caproate,mmol/g,0.005743317870554451
AMC 03,1002,37&261,ILRI,211,Legume,Fabaceae,Arachis,pintoi,NA,GP [ml/g],GP,ml/g,316.62421029379266
AMC 03,1002,37&261,ILRI,211,Legume,Fabaceae,Arachis,pintoi,NA,Isobutyrate [mmol/g],Isobutyrate,mmol/g,0.09851999116412634
AMC 03,1002,37&261,ILRI,211,Legume,Fabaceae,Arachis,pintoi,NA,Isovalerate [mmol/g],Isovalerate,mmol/g,0.19206980340181135
AMC 03,1002,37&261,ILRI,211,Legume,Fabaceae,Arachis,pintoi,NA,Propionate [mmol/g],Propionate,mmol/g,1.2711508725425227
AMC 03,1002,37&261,ILRI,211,Legume,Fabaceae,Arachis,pintoi,NA,SCFA [mmol/g],SCFA,mmol/g,7.309476474486412
AMC 03,1002,37&261,ILRI,211,Legume,Fabaceae,Arachis,pintoi,NA,Valerate [mmol/g],Valerate,mmol/g,0.12701568367572347
AMC 03,1002,37&261,ILRI,221,Legume,Fabaceae,Arachis,pintoi,NA,Acetate [mmol/g],Acetate,mmol/g,4.843404161133244
AMC 03,1002,37&261,ILRI,221,Legume,Fabaceae,Arachis,pintoi,NA,Butyrate [mmol/g],Butyrate,mmol/g,0.738490482514387
AMC 03,1002,37&261,ILRI,221,Legume,Fabaceae,Arachis,pintoi,NA,CH4 [% GP],CH4,% GP,13.618062524876397
AMC 03,1002,37&261,ILRI,221,Legume,Fabaceae,Arachis,pintoi,NA,CH4 [mL/mmol],CH4,mL/mmol,5.841710166038581
AMC 03,1002,37&261,ILRI,221,Legume,Fabaceae,Arachis,pintoi,NA,CH4 [ml/L],CH4,ml/L,136.18062524876396
AMC 03,1002,37&261,ILRI,221,Legume,Fabaceae,Arachis,pintoi,NA,CH4 [ml/g],CH4,ml/g,42.02721275717529
AMC 03,1002,37&261,ILRI,221,Legume,Fabaceae,Arachis,pintoi,NA,Caproate [mmol/g],Caproate,mmol/g,0.012062859672421423
AMC 03,1002,37&261,ILRI,221,Legume,Fabaceae,Arachis,pintoi,NA,GP [ml/g],GP,ml/g,308.6137450199198
AMC 03,1002,37&261,ILRI,221,Legume,Fabaceae,Arachis,pintoi,NA,Isobutyrate [mmol/g],Isobutyrate,mmol/g,0.09716688800354137
AMC 03,1002,37&261,ILRI,221,Legume,Fabaceae,Arachis,pintoi,NA,Isovalerate [mmol/g],Isovalerate,mmol/g,0.18802567507746787
AMC 03,1002,37&261,ILRI,221,Legume,Fabaceae,Arachis,pintoi,NA,Propionate [mmol/g],Propionate,mmol/g,1.1983178397521026
AMC 03,1002,37&261,ILRI,221,Legume,Fabaceae,Arachis,pintoi,NA,SCFA [mmol/g],SCFA,mmol/g,7.19433377600708
AMC 03,1002,37&261,ILRI,221,Legume,Fabaceae,Arachis,pintoi,NA,Valerate [mmol/g],Valerate,mmol/g,0.11686586985391767
AMC 03,987,37&261,ILRI,212,Legume,Fabaceae,Vicia,villosa,NA,Acetate [mmol/g],Acetate,mmol/g,4.752656042496679
AMC 03,987,37&261,ILRI,212,Legume,Fabaceae,Vicia,villosa,NA,Butyrate [mmol/g],Butyrate,mmol/g,0.8372067286409915
AMC 03,987,37&261,ILRI,212,Legume,Fabaceae,Vicia,villosa,NA,CH4 [% GP],CH4,% GP,15.04029050602642
AMC 03,987,37&261,ILRI,212,Legume,Fabaceae,Vicia,villosa,NA,CH4 [mL/mmol],CH4,mL/mmol,6.125310058292247
AMC 03,987,37&261,ILRI,212,Legume,Fabaceae,Vicia,villosa,NA,CH4 [ml/L],CH4,ml/L,150.40290506026417
AMC 03,987,37&261,ILRI,212,Legume,Fabaceae,Vicia,villosa,NA,CH4 [ml/g],CH4,ml/g,43.603856152013094
