21_no,21_date,21_set_ciat,21_sample_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_replication,21_empty_crucible_g,21_sample_weight_g,21_weight_105_g,21_weight_505,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_ash_dm,21_av_ash_percentage,21_om_percentage,21_av_om_percentage,
No,Date,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Replication,Empty crucible (g),Sample weight (g),Weight 105 (g),Weight 505 (g),"DM, %",Av DM 105,"Ash, %",Ash/DM,"Av Ash, %","OM, %","OM, %",
1,45572,1,F24 3416,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,A,7.5568,1.0001,8.4762,7.6738,91.93080692,91.97040346,11.69883012,12.72569067,12.67737636,87.27430933,87.32262364,
2,45572,1,F24 3416,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,B,12.1542,1,13.0743,12.2704,92.01,,11.62,12.62906206,,87.37093794,,
3,45572,1,F24 3417,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,A,12.4262,1.0003,13.3329,12.5342,90.64280716,90.09244937,10.79676097,11.91132679,12.07446643,88.08867321,87.92553357,
4,45572,1,F24 3417,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,B,7.4725,1.0002,8.3681,7.5821,89.54209158,,10.95780844,12.23760607,,87.76239393,,
5,45572,1,F24 3418,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,A,8.107,1.0002,9.0197,8.1774,91.25174965,91.30260413,7.038592282,7.71337789,7.76302443,92.28662211,92.23697557,
6,45572,1,F24 3418,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,B,8.3696,1.0004,9.2835,8.441,91.35345862,,7.137145142,7.812670971,,92.18732903,,
7,45572,1,F24 3419,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,A,11.3314,1.0001,12.2485,11.4365,91.70082992,91.74582542,10.50894911,11.46003707,11.547012,88.53996293,88.452988,
8,45572,1,F24 3419,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,B,8.3399,1.0001,9.2579,8.4467,91.79082092,,10.67893211,11.63398693,,88.36601307,,
9,45572,1,F24 3420,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,A,12.6439,1,13.5649,12.7243,92.1,92.16577684,8.04,8.729641694,8.700864207,91.27035831,91.29913579,
10,45572,1,F24 3420,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,B,7.8139,1.0002,8.7364,7.8939,92.23155369,,7.99840032,8.672086721,,91.32791328,,
11,45572,1,F24 3421,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,A,7.5508,1.0001,8.4657,7.6071,91.48085191,91.48585141,5.629437056,6.153677998,6.180664135,93.846322,93.81933586,
