22_no,22_date,22_technician_name,22_set_ciat,22_sample_id,22_column4,22_column5,22_column6,22_column3,22_replication,22_peso_muestra_g,22_peso_residual_muestra_g,22_peso_total_muestra_g,22_hcl_ml,22_nitrogeno,22_proteina_cruda_percentage_n_x_6_25,22_pc_percentage_dm,22_av_pc_percentage
No,Date,Techincian name,Set CIAT,Sample ID,Column4,Column5,Column6,Column3,Replication,Peso muestra ( g),Peso residual muestra (g),Peso Total Muestra (g),HCl (ml)  ,Nitrogeno (%),Proteina cruda (%) N x 6.25 ,"PC (%), DM","Av PC, %"
1,,,1,F24 3416,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,A,1.0004,0.0004,1,34.2,4.857585579,30.35990987,33.01052157,33.01052157
2,,,1,F24 3416,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,B,1.0004,0.0004,1,34.2,4.857585579,30.35990987,33.01052157,
3,,,1,F24 3417,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,A,1.0005,0.0005,1,25.8,3.660995583,22.88122239,25.39749175,25.39749175
4,,,1,F24 3417,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,B,1.0005,0.0005,1,25.8,3.660995583,22.88122239,25.39749175,
5,,,1,F24 3418,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,A,1.0004,0,1.0004,32.1,4.556615434,28.47884646,31.19171324,31.19171324
6,,,1,F24 3418,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,B,1.0004,0,1.0004,32.1,4.556615434,28.47884646,31.19171324,
7,,,1,F24 3419,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,A,1.0006,0.0006,1,28.9,4.102594272,25.6412142,27.94809909,27.94809909
8,,,1,F24 3419,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,B,1.0006,0.0006,1,28.9,4.102594272,25.6412142,27.94809909,
9,,,1,F24 3420,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,A,1.0005,0.0004,1.0001,30.6,4.344326862,27.15204289,29.46000546,29.46000546
10,,,1,F24 3420,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,B,1.0005,0.0004,1.0001,30.6,4.344326862,27.15204289,29.46000546,
11,,,1,F24 3421,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,A,1.0005,0.0003,1.0002,19.6,2.777242756,17.35776723,18.97317122,18.97317122
12,,,1,F24 3421,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,B,1.0005,0.0003,1.0002,19.6,2.777242756,17.35776723,18.97317122,
13,,,1,F24 3422,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,A,1.0005,0.0005,1,27.4,3.888917487,24.30573429,26.78170271,26.78170271
