23_set_ciat,23_sample_id,23_gene_bank_breeding_program_id,23_genus,23_species,23_tax_name,23_replication,23_bag_weight,23_sample_weight_with_bag_g,23_sample_weight_105_g,23_adf_percentage,23_adf_percentage_dm,23_av_adf_percentage_dm
Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Replication,Bag weight (g),Sample weight with bag (g),Sample weight 105 (g),"ADF, %","ADF, % (DM)"," Av ADF, % (DM)"
1,F24 3416,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,A,0.5648,0.5004,0.6955,26.20201313,28.48961421,28.05113538
1,F24 3416,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,B,0.5483,0.5001,0.6749,25.39547163,27.61265655,
1,F24 3417,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,A,0.5431,0.5004,0.6608,23.60090607,26.19631971,25.44058874
1,F24 3417,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,B,0.5543,0.5005,0.6652,22.23919299,24.68485778,
1,F24 3418,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,A,0.5557,0.5001,0.6771,24.35676651,26.67696802,25.82373269
1,F24 3418,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,B,0.5358,0.5,0.6494,22.79871435,24.97049736,
1,F24 3419,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,A,0.5773,0.5001,0.7055,25.71966718,28.03361032,28.74740224
1,F24 3419,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,B,0.5461,0.5002,0.6809,27.02941576,29.46119416,
1,F24 3420,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,A,0.5571,0.5004,0.6743,23.5030411,25.50083329,25.72686234
1,F24 3420,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,B,0.5424,0.5,0.6616,23.91968396,25.95289139,
1,F24 3421,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,A,0.5514,0.5003,0.6251,14.81211888,16.19061161,16.74207055
1,F24 3421,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,B,0.5738,0.5001,0.6525,15.82113271,17.2935295,
1,F24 3422,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,A,0.5715,0.5003,0.6855,22.8702369,25.19997454,26.08685186
1,F24 3422,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,B,0.5751,0.5005,0.6972,24.48000791,26.97372917,
1,F24 3423,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,A,0.5726,0.5001,0.6472,15.32920616,16.6837954,17.08170091
1,F24 3423,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,B,0.5695,0.5003,0.6478,16.06040376,17.47960642,
1,F24 3424,ABC-913-1,Cajanus,cajan,Cajanus cajan,A,0.5583,0.5004,0.746,37.59194627,39.66617808,40.42406934
1,F24 3424,ABC-913-1,Cajanus,cajan,Cajanus cajan,B,0.5723,0.5002,0.7671,39.02846518,41.1819606,
1,F24 3425,ABC-955-1,Clitoria,ternatea,Clitoria ternatea,A,0.5819,0.5003,0.6816,20.01347882,21.79751615,21.54706139
1,F24 3425,ABC-955-1,Clitoria,ternatea,Clitoria ternatea,B,0.554,0.5002,0.6514,19.55356669,21.29660663,
1,F24 1047,LMF,Albizzia,saman,Albizzia saman,A,0.6018,0.5004,0.9129,62.39995002,65.27783676,64.39270201
1,F24 1047,LMF,Albizzia,saman,Albizzia saman,B,0.6074,0.5002,0.9099,60.70772593,63.50756727,
1,F24 1070,LMF,Gliricidia ,sepium,Gliricidia sepium,A,0.5881,0.5005,0.8035,43.26137561,45.48742627,45.20354088
1,F24 1070,LMF,Gliricidia ,sepium,Gliricidia sepium,B,0.5796,0.5,0.7921,42.72139023,44.9196555,
1,F24 1075,LMF,Leucaena, diversifolia,Leucaena diversifolia,A,0.576,0.5002,0.8344,51.87926343,54.25441943,54.91455416
1,F24 1075,LMF,Leucaena, diversifolia,Leucaena diversifolia,B,0.5805,0.5,0.8451,53.14173401,55.5746889,
1,F24 1084,LMF,Brachiaria ,decumbens,Brachiaria decumbens,A,0.591,0.5003,0.899,61.7886715,64.8285246,63.590479
1,F24 1084,LMF,Brachiaria ,decumbens,Brachiaria decumbens,B,0.5987,0.5,0.8947,59.42868587,62.3524334,
