31_no,31_date,31_requisitioner,31_gene_bank_id,31_genus,31_species,31_tax_name,31_family,31_order,31_functional_group,31_ciat_id,31_set_ciat,31_batch,31_run,31_replication,31_syrange_no,31_sample_weight_g,31_dm_incubated_mg,31_digested_feed_mg,31_time_0h,31_gas_0h_ml,31_time_8h,31_gas_8h_ml,31_ch4_8h_percentage,31_v8_push_back_ml,31_time_24_h,31_gas_24h_ml,31_ch4_24h_percentage,31_remarks,31_gp_8h_ml,31_gp_8_24h_ml,31_net_gas_8h_ml,31_net_gas_24h_ml2,31_net_gas_24h_ml,31_ch4_8h_ml,31_ch4_8_24h_ml,31_ch4_24h_ml,31_gas_ml_g_dm_incubated_24h,31_percentage_dmd_truly_digestibility,31_part_fact,31_ch4_ml_in_gas_8h,31_ch4_ml_in_gas_24h,31_ch4_ml_g_dm_incubaed_24h,31_ch4_ml_g_dmd_24h,31_ch4_ml_g_ndf_digested_in_24h,31_ch4_g_g_dm_incubated_24h,31_ch4_g_g_dmd_24h
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Sample weight, g","DM Incubated, mg","Digested feed, mg",Time 0h,"Gas 0h, ml",Time 8h,"Gas 8h, ml",CH4 8h %,"V8 Push back, ml",Time 24h,"Gas 24h, ml","CH4 24h, %",Remarks,"GP 8h, ml","GP 8-24h, ml","Net gas 8h, ml","Net gas 8-24h, ml2","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 ml in gas, h8","CH4 ml in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
1,"22/10/24, Tue",Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1,1,1,1,1,,,0,0.354166667,39.5,0.692361111,43.5,Remove gas,40,0.364583333,45,,,4,5,,,,,,,,,,,,,,,,
2,"22/10/24, Tue",Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1,1,1,2,2,,,0,0.354861111,38.5,0.69375,42.5,Remove gas,40,0.364583333,44.5,,,4,4.5,,,,,,,,,,,,,,,,
3,"22/10/24, Tue",Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,1,1,1,3,0.5005,460.3118693,301.1118693,0.355555556,40,0.69375,75.5,14.2,39,0.365972222,82.5,20.8,,35.5,43.5,28.17271507,34.40463764,62.57735271,4.00052554,7.15616463,11.15669017,135.9455554,65.41475234,4.811834574,14.2,17.82863877,24.23724199,37.05164527,227.8476704,13.45208864,20.56430416
4,"22/10/24, Tue",Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,1,1,2,4,0.5001,459.9439877,293.4439877,0.35625,40,0.694444444,75.5,15,39,0.366666667,81,21.1,,35.5,42,28.17271507,33.07712751,61.24984258,4.22590726,6.979273904,11.20518116,133.168047,63.79993989,4.790934562,15,18.29422035,24.36205596,38.18507666,270.0095702,13.52136254,21.19337819
5,"22/10/24, Tue",Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,1,1,3,5,0.5001,459.9439877,295.9439877,0.35625,41,0.696527778,78,13.8,40,0.366666667,82.5,20.6,,37,42.5,29.5002252,33.51963089,63.01985609,4.071031078,6.905043963,10.97607504,137.0163711,64.34348434,4.696043534,13.8,17.41685196,23.86393851,37.08835285,249.4607864,13.24489874,20.5846775
6,"22/10/24, Tue",Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3417,1,1,1,1,6,0.5,450.4622468,270.9622468,0.356944444,40,0.697222222,78.5,13.9,41,0.36875,86.5,19.4,,38.5,45.5,30.82773534,36.17465116,67.00238649,4.285055212,7.017882324,11.30293754,148.7414028,60.15204354,4.044068593,13.9,16.86945515,25.09186422,41.7140678,175.9559634,13.92641876,23.15202933
7,"22/10/24, Tue",Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3417,1,1,1,2,7,0.5004,450.8226166,282.0226166,0.357638889,40,0.697916667,77,14,40,0.369444444,86,19.4,Inicio embolo duro,37,46,29.5002252,36.61715453,66.11737974,4.130031528,7.103727979,11.23375951,146.6594117,62.55733546,4.265483868,14,16.99063023,24.91835834,39.832832,149.5197103,13.83011999,22.10791091
8,"22/10/24, Tue",Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3417,1,1,1,3,8,0.5004,450.8226166,272.1226166,0.358333333,40,0.699305556,78.5,12.9,40,0.370138889,85.5,19.1,,38.5,45.5,30.82773534,36.17465116,67.00238649,3.976777859,6.909358371,10.88613623,148.6225048,60.36134981,4.061386928,12.9,16.2473858,24.14727174,40.00452577,166.8826099,13.40215359,22.20320392
9,"22/10/24, Tue",Genetic bank,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3418,1,1,1,1,9,0.5002,456.6956259,296.8956259,0.358333333,40.5,0.7,87.5,12.1,40,0.370833333,90,17.5,,47,50,38.35029276,40.15718156,78.50747432,4.640385424,7.027506773,11.6678922,171.9032762,65.00951817,3.781749807,12.1,14.86214185,25.54850876,39.29964331,128.459189,14.17986438,21.81198196
10,"22/10/24, Tue",Genetic bank,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3418,1,1,1,2,10,0.5005,456.9695337,283.5695337,0.359027778,40.5,0.701388889,90,12.5,41,0.372222222,87.5,18.2,,49.5,46.5,40.56280965,37.05965791,77.62246757,5.070351207,6.74485774,11.81520895,169.8635507,62.0543631,3.653188859,12.5,15.22137767,25.85557258,41.66600267,152.6909659,14.35029011,23.12535234
11,"22/10/24, Tue",Genetic bank,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3418,1,1,1,3,11,0.5003,456.7869285,256.1869285,0.359722222,40.5,0.702777778,90,12.4,40,0.372916667,90.5,17.8,,49.5,50.5,40.56280965,40.59968494,81.16249459,5.029788397,7.226743919,12.25653232,177.6812985,56.0845577,3.156469374,12.4,15.10122672,26.83205572,47.84214553,244.7406746,14.89225515,26.55321849
12,"22/10/24, Tue",Genetic bank,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,F24 3419,1,1,1,1,12,0.5004,459.0961104,282.9961104,0.360416667,40,0.703472222,84.5,14.1,40,0.374305556,81.5,18.1,,44.5,41.5,36.13777587,32.63462413,68.7724,5.095426398,5.906866968,11.00229337,149.7995702,61.64201874,4.114966329,14.1,15.99812332,23.96511998,38.87789606,189.5878352,13.30105621,21.57790494
13,"22/10/24, Tue",Genetic bank,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,F24 3419,1,1,1,2,13,0.5002,458.9126187,308.3126187,0.361111111,40.5,0.704166667,84.5,13.9,40,0.375694444,81,18.1,,44,41,35.6952725,32.19212075,67.88739325,4.961642877,5.826773856,10.78841673,147.9309796,67.18329507,4.541529789,13.9,15.89163498,23.5086513,34.99181051,129.2968683,13.0477082,19.42106023
14,"22/10/24, Tue",Genetic bank,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,F24 3419,1,1,1,3,14,0.5002,458.9126187,299.8126187,0.361805556,40.5,0.705555556,84.5,13,39,0.379861111,81,18.1,"Ambiente antes de lectura 20 lml 1.3%, se adiciona 10 ml, total 30 ml valor 0.03",44,42,35.6952725,33.07712751,68.7724,4.640385424,5.986960079,10.6273455,149.859466,65.3310906,4.359490416,13,15.45292225,23.15766677,35.44662512,141.813057,12.85290571,19.67349021
15,"22/10/24, Tue",Genetic bank,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3420,1,1,1,1,15,0.5002,461.0132158,305.0132158,0.361805556,40,0.705555556,79.5,13.6,40,0.38125,92.5,18.1,,39.5,52.5,31.71274209,42.36969845,74.08244054,4.312932925,7.668915419,11.98184834,160.6948304,66.16149068,4.117213385,13.6,16.17366849,25.99024916,39.28304652,127.5895418,14.42503794,21.80277045
16,"22/10/24, Tue",Genetic bank,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3420,1,1,1,2,16,0.5003,461.1053816,300.3053816,0.363194444,40,0.70625,81.5,13.2,40,0.384027778,91,17.6,Se coloco un standar antes de lectura,41.5,51,33.48275561,41.04218831,74.52494392,4.41972374,7.223425143,11.64314888,161.6223686,65.12727753,4.029595539,13.2,15.62315685,25.25051615,38.77102975,130.5881718,14.01447332,21.51859229
