32_no,32_date,32_gene_bank_id,32_name,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_ndf_digestibility_in_24h,32_remarks_2,,
No,Date,Gene Bank ID,Name,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks,,
1,45630,Blank,Blank,Blank,1,1,1,1,1,,,,,,,,,,,,
2,45630,Blank,Blank,Blank,1,1,1,2,2,,,,,,,,,,,,
3,45630,ABC-705-1,Indigofera suffruticosa,F24 3416,1,1,1,1,3,0.5477,0.7069,,0.1592,301.1118693,65.41475234,208.1655661,48.96556612,23.52241393,,,
4,45630,ABC-705-1,Indigofera suffruticosa,F24 3416,1,1,1,2,4,0.5513,0.7178,,0.1665,293.4439877,63.79993989,207.9992,41.49920003,19.95161521,,,
5,45630,ABC-705-1,Indigofera suffruticosa,F24 3416,1,1,1,3,5,0.5762,0.7402,,0.164,295.9439877,64.34348434,207.9992,43.99920003,21.15354291,,,
6,45630,ABC-707-1,Alysicarpus ovalifolius,F24 3417,1,1,1,1,6,0.5682,0.7477,,0.1795,270.9622468,60.15204354,243.7373087,64.23730867,26.35513989,,,
7,45630,ABC-707-1,Alysicarpus ovalifolius,F24 3417,1,1,1,2,7,0.5661,0.7349,,0.1688,282.0226166,62.55733546,243.9322985,75.13229852,30.80047168,,,
8,45630,ABC-707-1,Alysicarpus ovalifolius,F24 3417,1,1,1,3,8,0.5326,0.7113,,0.1787,272.1226166,60.36134981,243.9322985,65.23229852,26.74196854,,,
9,45630,ABC-712-1,Clitoria ternatea,F24 3418,1,1,1,1,9,0.5398,0.6996,,0.1598,296.8956259,65.00951817,250.6295645,90.82956453,36.24056272,,,
10,45630,ABC-712-1,Clitoria ternatea,F24 3418,1,1,1,2,10,0.5431,0.7165,,0.1734,283.5695337,62.0543631,250.7798821,77.37988214,30.85569763,,,
11,45630,ABC-712-1,Clitoria ternatea,F24 3418,1,1,1,3,11,0.547,0.7476,,0.2006,256.1869285,56.0845577,250.6796704,50.0796704,19.97755555,,,
12,45630,ABC-749-1,Crotalaria juncea,F24 3419,1,1,1,1,12,0.5252,0.7013,,0.1761,282.9961104,61.64201874,234.1326969,58.03269686,24.78624201,,,
13,45630,ABC-749-1,Crotalaria juncea,F24 3419,1,1,1,2,13,0.5598,0.7104,,0.1506,308.3126187,67.18329507,234.0391186,83.43911864,35.65178297,,,
14,45630,ABC-749-1,Crotalaria juncea,F24 3419,1,1,1,3,14,0.5513,0.7104,,0.1591,299.8126187,65.3310906,234.0391186,74.93911864,32.01991149,,,
15,45630,ABC-768-1,Clitoria ternatea,F24 3420,1,1,1,1,15,0.5352,0.6912,,0.156,305.0132158,66.16149068,249.9093297,93.90932969,37.57736048,,,
16,45630,ABC-768-1,Clitoria ternatea,F24 3420,1,1,1,2,16,0.5453,0.7061,,0.1608,300.3053816,65.12727753,249.9592916,89.15929157,35.66952483,,,
17,45630,ABC-768-1,Clitoria ternatea,F24 3420,1,1,1,3,17,0.5358,0.7051,,0.1693,291.7132158,63.27654084,249.9093297,80.60932969,32.25543032,,,
18,45630,ABC-772-1,Clitoria ternatea,F24 3421,1,1,1,1,18,0.5536,0.739,,0.1854,272.3952005,59.50154134,308.6374413,123.2374413,39.92951756,,,
19,45630,ABC-772-1,Clitoria ternatea,F24 3421,1,1,1,2,19,0.5463,0.7277,,0.1814,276.4866863,60.38321152,308.6991195,127.2991195,41.23727975,,,
20,45630,ABC-772-1,Clitoria ternatea,F24 3421,1,1,1,3,20,0.5587,0.7387,,0.18,277.5207429,60.65752148,308.4524069,128.4524069,41.64415774,,,
21,45630,ABC-819-1,Indigofera suffruticosa,F24 3422,1,1,1,1,21,0.5507,0.7397,,0.189,264.95651,58.36605581,240.8260596,51.82605965,21.52012109,,,
22,45630,ABC-819-1,Indigofera suffruticosa,F24 3422,1,1,1,2,22,0.556,0.7329,,0.1769,277.23802,61.04708432,240.9223516,64.02235155,26.573853,,,
23,45630,ABC-819-1,Indigofera suffruticosa,F24 3422,1,1,1,3,23,0.5524,0.7539,,0.2015,252.365755,55.60361235,240.7779137,39.27791369,16.31292218,,,
24,45630,Blank,Blank,Blank,1,1,1,1,24,,,,,,,,,,,,
