40gp_no,40gp_requisitioner,40gp_gene_bank_id,40gp_genus,40gp_species,40gp_tax_name,40gp_family,40gp_order,40gp_functional_group,40gp_ciat_id,40gp_set_ciat,40gp_batch,40gp_run,40gp_replication,40gp_ch4_8h_percentage,40gp_ch4_24h_percentage,40gp_net_gas_8h_ml,40gp_net_gas_24h_ml,40gp_gas_ml_g_dm_incubated_24h,40gp_percentage_dmd_truly_digestibility,40gp_part_fact,40gp_ch4_percentage_in_gas_8h,40gp_ch4_percentage_in_gas_24h,40gp_ch4_ml_g_dm_incubated_24h,40gp_ch4_ml_g_dmd_24h,40gp_ch4_ml_g_ndf_digested_in_24h,40gp_ch4_g_g_dm_incubated_24h,40gp_ch4_g_g_dmd_24h,40gp_remarks,40gp_remarks_2
No,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,CH4 8h %,"CH4 24h, %","Net gas 8h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Remarks,Remarks2
1,Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,1,1,1,14.2,20.8,28.17271507,62.57735271,135.9455554,65.41475234,4.811834574,14.2,17.82863877,24.23724199,37.05164527,227.8476704,13.45208864,20.56430416,,
2,Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,1,1,2,15,21.1,28.17271507,61.24984258,133.168047,63.79993989,4.790934562,15,18.29422035,24.36205596,38.18507666,270.0095702,13.52136254,21.19337819,,
3,Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,1,1,3,13.8,20.6,29.5002252,63.01985609,137.0163711,64.34348434,4.696043534,13.8,17.41685196,23.86393851,37.08835285,249.4607864,13.24489874,20.5846775,,
4,Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3417,1,1,1,1,13.9,19.4,30.82773534,67.00238649,148.7414028,60.15204354,4.044068593,13.9,16.86945515,25.09186422,41.7140678,175.9559634,13.92641876,23.15202933,,
5,Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3417,1,1,1,2,14,19.4,29.5002252,66.11737974,146.6594117,62.55733546,4.265483868,14,16.99063023,24.91835834,39.832832,149.5197103,13.83011999,22.10791091,Inicio embolo duro,
6,Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3417,1,1,1,3,12.9,19.1,30.82773534,67.00238649,148.6225048,60.36134981,4.061386928,12.9,16.2473858,24.14727174,40.00452577,166.8826099,13.40215359,22.20320392,,
7,Genetic bank,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3418,1,1,1,1,12.1,17.5,38.35029276,78.50747432,171.9032762,65.00951817,3.781749807,12.1,14.86214185,25.54850876,39.29964331,128.459189,14.17986438,21.81198196,,
8,Genetic bank,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3418,1,1,1,2,12.5,18.2,40.56280965,77.62246757,169.8635507,62.0543631,3.653188859,12.5,15.22137767,25.85557258,41.66600267,152.6909659,14.35029011,23.12535234,,
9,Genetic bank,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3418,1,1,1,3,12.4,17.8,40.56280965,81.16249459,177.6812985,56.0845577,3.156469374,12.4,15.10122672,26.83205572,47.84214553,244.7406746,14.89225515,26.55321849,,
