41_no,41_requisitioner,41_set_ciat,41_ciat_lab_id,41_gene_bank_breeding_program_id,41_genus,41_species,41_tax_name,41_family,41_order,41_functional_group,41_ch4_percentage_in_gas_8h,41_ch4_percentage_in_gas_24h,41_percentage_dmd_truly_digestibility_24h,41_ch4_ml_g_percentage_truly_dmd_24h,41_part_fact,41_date_of_report
No,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"CH4 % in gas, h8","CH4 % in gas, 24h","% DMD, Truly digestibility 24h","CH4 ml/g % Truly DMD, 24h",Part Fact,Date of report
1,Genetic bank,1,F24 3416,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,0.432335032,0.775643614,8.69091858,4.055537389,0.630654272,
2,Genetic bank,1,F24 3417,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,0.454877544,0.718717619,3.988277261,3.839859157,0.328935059,
3,Genetic bank,1,F24 3418,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,0.362092683,0.41274415,4.067993463,4.073741492,0.296988773,
4,Genetic bank,1,F24 3419,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,0.774596669,0.427017879,3.336931516,3.134401499,0.325638653,
5,Genetic bank,1,F24 3420,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,0.357287449,0.454655785,2.021057644,2.195828708,0.135665407,
6,Genetic bank,1,F24 3421,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,1.155769211,1.003184679,5.441965566,4.962330926,0.916953772,
7,Genetic bank,1,F24 3422,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,0.31124749,0.753831711,6.075911765,6.11531024,0.588167074,
8,Genetic bank,1,F24 3423,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,0.285881785,0.852702078,4.061015513,7.176101614,0.578097839,
9,Genetic bank,1,F24 3424,ABC-913-1,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,0.545690185,1.028825782,6.86251134,3.864590741,0.784733771,
