42_no,42_column1,42_ciat_lab_id,42_requisitioner,42_gene_bank_breeding_program_id,42_genus,42_species,42_tax_name,42_dm_percentage,42_ash_dm_percentage,42_protein_dm_percentage,42_adf_dm_percentage,42_ndf_dm_percentage,42_remarks
No,Column1,CIAT Lab-ID,Requisitioner,Gene bank /Breeding program ID,Genus,Species,Tax Name,"DM, %","Ash (DM), %","Protein (DM), %","ADF (DM), %"," NDF (DM), %",Remarks
1,1,F24 3416,,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,91.97040346,12.67737636,33.01052157,28.05113538,45.22272398,
2,1,F24 3417,Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,90.09244937,12.07446643,25.39749175,25.44058874,54.10826554,
3,1,F24 3418,Genetic bank,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,91.30260413,7.76302443,31.19171324,25.82373269,54.87890628,
4,1,F24 3419,Genetic bank,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,91.74582542,11.547012,27.94809909,28.74740224,50.9986235,
5,1,F24 3420,Genetic bank,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,92.16577684,8.700864207,29.46000546,25.72686234,54.20871271,
6,1,F24 3421,Genetic bank,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,91.48585141,6.180664135,18.97317122,16.74207055,67.4182344,
7,1,F24 3422,Genetic bank,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,90.755,17.05691212,26.78170271,26.08685186,53.05046945,
8,1,F24 3423,Genetic bank,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,91.88080884,14.53371512,24.61245901,17.08170091,36.56131246,
9,1,F24 3424,Genetic bank,ABC-913-1,Cajanus,cajan,Cajanus cajan,94.77077977,9.205037554,25.17714256,40.42406934,60.86165589,
10,1,F24 3425,Genetic bank,ABC-955-1,Clitoria,ternatea,Clitoria ternatea,91.81540996,5.695924509,22.01184157,21.54706139,61.6731124,
11,1,F24 1047,Genetic bank,,0,0,Albizzia saman,95.59132642,3.953147877,27.50772584,64.39270201,57.73693714,Ensayo interno
