43_no,43_requisitioner,43_set_ciat,43_ciat_lab_id,43_gene_bank_breeding_program_id,43_genus,43_species,43_tax_name,43_family,43_order,43_functional_group,43_dm_105_c,43_ash_dm,43_protein,43_adf,43_ndf,43_ch4_8h_percentage,43_ch4_24h_percentage,43_net_gas_8h,43_net_gas_24h_ml,43_gas_ml_g_dm_incubated_24h,43_dmd_truly_digestibility,43_part_fact,43_ch4_percentage_in_gas_8h,43_ch4_percentage_in_gas_24h,43_ch4_ml_g_dm_incubated_24h,43_ch4_ml_g_dmd_24h,43_ch4_ml_g_ndf_digested_in_24h,43_ch4_g_g_dm_incubated_24h,43_ch4_g_g_dmd_24h
No,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, 105C",Ash (DM),Protein,ADF, NDF,CH4 8h %,"CH4 24h, %","Net gas 8h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
1,Genetic bank,1,F24 3416,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,91.97040346,12.67737636,33.01052157,28.05113538,45.22272398,14.25555556,20.11111111,29.35272408,61.93818117,134.5874013,74.33876299,5.523987563,14.25555556,17.35352037,23.36157736,31.83660477,149.3171488,12.96607962,17.66986645
2,Genetic bank,1,F24 3417,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,90.09244937,12.07446643,25.39749175,25.44058874,54.10826554,13.54444444,18.54444444,30.58190013,66.26488086,147.0069685,65.96553027,4.491681326,13.54444444,16.24554319,23.89166798,36.43692643,125.1767979,13.26028908,20.22312457
3,Genetic bank,1,F24 3418,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,91.30260413,7.76302443,31.19171324,25.82373269,54.87890628,12.56666667,17.06666667,39.77613698,78.31080615,171.4501546,62.66438244,3.660327826,12.56666667,14.78993967,25.36878168,40.72874406,153.8297446,14.08011274,22.6051576
4,Genetic bank,1,F24 3419,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,91.74582542,11.547012,27.94809909,28.74740224,50.9986235,14.03333333,17.31111111,35.74443954,67.64155804,147.3944591,65.15035962,4.427620708,14.03333333,15.5916863,22.98395417,35.43436857,150.1490719,12.75649221,19.66668761
5,Genetic bank,1,F24 3420,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,92.16577684,8.700864207,29.46000546,25.72686234,54.20871271,13.48888889,17.55555556,33.53192265,74.13160758,160.7692941,64.82392255,4.033058883,13.48888889,15.73317916,25.30146114,39.07768747,134.6046722,14.04274868,21.68879263
6,Genetic bank,1,F24 3421,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,91.48585141,6.180664135,18.97317122,16.74207055,67.4182344,13.45555556,16.11111111,32.3027466,75.06578138,163.9925413,65.1012294,4.060672408,13.45555556,14.98567864,24.42004,37.9232549,77.571776,13.55354469,21.04806258
7,Genetic bank,1,F24 3422,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,90.755,17.05691212,26.78170271,26.08685186,53.05046945,14.225,19.725,32.19212075,63.24571719,139.3173663,60.93349666,4.391831639,14.225,16.94499362,23.63988921,39.39675804,201.4334196,13.1205475,21.86588232
8,Genetic bank,1,F24 3423,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,91.88080884,14.53371512,24.61245901,17.08170091,36.56131246,12.07777778,18.73333333,38.41912662,76.31665532,165.9988889,63.41720623,3.86507821,12.07777778,15.39794365,25.65092021,40.88064539,908.1149243,14.2367045,22.68946547
9,Genetic bank,1,F24 3424,ABC-913-1,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,94.77077977,9.205037554,25.17714256,40.42406934,60.86165589,13.53333333,18.05555556,23.96401627,58.26515196,122.8878024,60.86471966,5.008033488,13.53333333,16.14330515,19.75600502,32.8325974,102.8693606,10.96492459,18.2226596
10,Genetic bank,1,F24 3425,ABC-955-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,91.81540996,5.695924509,22.01184157,21.54706139,61.6731124,12.82222222,15.9,37.77995508,84.28891508,183.4996297,59.6485888,3.289114845,12.82222222,14.54174742,26.6704782,45.4542608,138.415581,14.80257683,25.22790115
11,LMF,1,F24 1047,,,,Albizzia saman,Fabaceae,Fabales,Tree,95.59132642,3.953147877,27.50772584,64.39270201,57.73693714,12.24444444,17.46666667,13.49143633,21.96854875,37.41779773,80.96688091,24.27125527,12.24444444,14.18723719,5.392408248,7.367505187,19.07044772,2.992879872,4.089092844
12,LMF,1,F24 1070,,,,Gliricidia sepium,Fabaceae,Fabales,Tree,95.10622858,11.55274975,19.36781668,45.20354088,57.90099126,10.3375,17.2125,21.42822608,47.00348501,79.63233728,76.63715751,10.69398412,10.3375,14.07081419,11.26366693,16.78691234,58.26417006,6.25153002,9.317026778
