50_no,50_requisitioner,50_gene_bank_id,50_genus,50_species,50_tax_name,50_ciat_id,50_set_ciat,50_batch,50_run,50_replication,50_net_gas_8h,50_net_gas_24h_ml,50_gas_ml_g_dm_incubated_24h,50_dmd_truly_digestibility,50_part_fact,50_ch4_percentage_in_gas_8h,50_ch4_percentage_in_gas_24h,50_ch4_ml_g_dm_incubated_24h,50_ch4_ml_g_dmd_24h,50_remarks2,50_remarks22,50_remarks3
No,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,CIAT ID,Set CIAT,Batch,Run,Replication,"Net gas 8h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",Remarks2,Remarks22,Remarks3
1,LMF,Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer Heustandard,F25 0017,5,13,1,1,38.82967142,87.67098178,191.8274241,70.02388183,3.650358241,16,18.28410095,35.07391986,50.08851115,"genera espuma cuando se agrega la sln digestora, a las 8H presenta muestra en el push back",,
2,LMF,Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer Heustandard,F25 0017,5,13,1,2,42.81220183,85.45846489,186.9489935,73.13626399,3.912097231,14.8,16.7961165,31.40017075,42.93379104,"genera espuma cuando se agrega la sln digestora, a las 8H presenta muestra en el push back",,
3,LMF,Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer Heustandard,F25 0017,5,13,1,3,54.75979303,96.96355271,212.2447508,71.1720199,3.353299417,15.8,17.75864233,37.69178615,52.95871355,"genera espuma cuando se agrega la sln digestora, a las 8H presenta muestra en el push back",,
4,LMF,Homenheim Concentrate,Homenheim Concentrate,Homenheim Concentrate,Homenheim Concentrate,F25 0018,5,13,1,1,63.60986059,113.7786811,253.5038615,86.63173844,3.417373523,15.8,18.26922703,46.31319599,53.45984835,Embolo duro en las 8H,,
5,LMF,Homenheim Concentrate,Homenheim Concentrate,Homenheim Concentrate,Homenheim Concentrate,F25 0018,5,13,1,2,64.49486735,113.3361777,252.5179447,82.91090563,3.28336688,16,18.45636896,46.60564357,56.21171691,Embolo duro en las 8H. Muestra en manguera 24H,,
6,LMF,Homenheim Concentrate,Homenheim Concentrate,Homenheim Concentrate,Homenheim Concentrate,F25 0018,5,13,1,3,61.83984708,114.2211845,254.6933702,92.70846889,3.640003225,16.1,18.48469734,47.07929861,50.78209054,"Muestra en manguera, embolo duro 24H",,
7,LMF,Sample 8,Sample 8,Sample 8,Cynodon nlemfuensis ,F25 0019,5,13,1,1,22.45704644,60.67827571,129.4474272,47.98915693,3.707231419,17.1,18.67474932,24.17398253,50.37384292,,,
8,LMF,Sample 8,Sample 8,Sample 8,Cynodon nlemfuensis ,F25 0019,5,13,1,2,20.68703292,59.35076558,126.5142049,48.35046938,3.821742343,16.9,18.65890028,23.60615933,48.82301999,,,
9,LMF,Sample 8,Sample 8,Sample 8,Cynodon nlemfuensis ,F25 0019,5,13,1,3,23.34205319,62.00578585,132.1737406,51.56923914,3.901625156,15.1,17.90597681,23.66699934,45.89363685,"Muestra en manguera, embolo duro 24H",,
10,LMF,Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer Heustandard,F25 0017,5,13,1,1,45.02471872,88.11348515,192.7956382,70.57089129,3.660398749,17.8,18.97363465,36.58034001,51.83488453,Muestra manguera 24H,,
