40qraw_no,40qraw_set_ciat,40qraw_sample_id,40qraw_gene_bank_breeding_program_id,40qraw_genus,40qraw_species,40qraw_tax_name,40qraw_family,40qraw_order,40qraw_functional_group,40qraw_replication_dm_percentage,40qraw_dm_percentage,40qraw_av_dm_105,40qraw_ash_dm,40qraw_av_ash_percentage,40qraw_om_percentage,40qraw_om_percentage,40qraw_pc_percentage_dm,40qraw_av_pc_percentage,40qraw_adf_percentage_dm,40qraw_av_adf_percentage_dm,40qraw_ndf_percentage_dm,40qraw_av_ndf_percentage_dm
No,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Replication,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
1,14,F24-3536,ABC-32379-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,A,92.91,92.94,8.21,8.245,91.79,91.755,27.65,27.65,19.6,18.95,75.23,74.625
2,14,F24-3536,ABC-32379-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,B,92.97,,8.28,,91.72,,27.65,,18.3,,74.02,
3,14,F24-3537,ABC-32380-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,A,93.26,93.3,8.8,8.765,91.2,91.235,29.33,29.33,31.17,30.895,77.81,78.27
4,14,F24-3537,ABC-32380-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,B,93.34,,8.73,,91.27,,29.33,,30.62,,78.73,
5,14,F24-3538,ABC-33249-1,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,A,93.06,93.13,9.7,9.675,90.3,90.325,16.48,16.48,42.74,42.75,76.85,79.24
6,14,F24-3538,ABC-33249-1,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,B,93.2,,9.65,,90.35,,16.48,,42.76,,81.63,
7,14,F24-3612,ABC-398,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,A,91.74,91.785,17.66,17.465,82.34,82.535,17.84,17.92,37.04,37.855,49.71,50.73
8,14,F24-3612,ABC-398,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,B,91.83,,17.27,,82.73,,18,,38.67,,51.75,
9,14,F24-3613,ABC-438,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,A,93.67,93.685,15.42,14.475,84.58,85.525,21.03,21.03,39.27,38.17,59.05,60.195
10,14,F24-3613,ABC-438,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,B,93.7,,13.53,,86.47,,21.03,,37.07,,61.34,
11,14,F24-3614,ABC-442,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,A,93.91,93.94,16.37,17.645,83.63,82.355,17.82,17.82,30.15,30.335,55.15,55.32
12,14,F24-3614,ABC-442,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,B,93.97,,18.92,,81.08,,17.82,,30.52,,55.49,
13,14,F24-3615,ABC-466,Vigna,umbellata,Vigna umbellata,Fabaceae,Fabales,Climber,A,92.8,92.76,18.93,18.265,81.07,81.735,16.36,16.36,18.24,18.73,45.8,45.095
14,14,F24-3615,ABC-466,Vigna,umbellata,Vigna umbellata,Fabaceae,Fabales,Climber,B,92.72,,17.6,,82.4,,16.36,,19.22,,44.39,
15,14,F24-3616,ABC-715,Canavalia,ensiformis,Canavalia ensiformis,Fabaceae,Fabales,Climber,A,90.61,90.62,18.58,18.665,81.42,81.335,20.82,20.82,18.29,18.46,42.01,41.73
16,14,F24-3616,ABC-715,Canavalia,ensiformis,Canavalia ensiformis,Fabaceae,Fabales,Climber,B,90.63,,18.75,,81.25,,20.82,,18.63,,41.45,
17,14,F24-3617,ABC-887,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,A,92.19,92.18,12.14,12.7,87.86,87.3,21,21,25.68,25.91,42.58,44.125
18,14,F24-3617,ABC-887,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,B,92.17,,13.26,,86.74,,21,,26.14,,45.67,
19,14,F24-3618,ABC-923,Galactia,latisiliqua,Galactia latisiliqua,Fabaceae,Fabales,Climber,A,92.77,92.825,15.71,15.71,84.3,84.3,18.23,18.23,16.43,16.145,45.43,46.705
20,14,F24-3618,ABC-923,Galactia,latisiliqua,Galactia latisiliqua,Fabaceae,Fabales,Climber,B,92.88,,15.71,,84.3,,18.23,,15.86,,47.98,
21,14,F24-3619,ABC-3813,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,A,93.12,93.1,13.69,13.82,86.31,86.18,17.62,17.62,47.31,46.86,55.32,54.955
22,14,F24-3619,ABC-3813,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,B,93.08,,13.95,,86.05,,17.62,,46.41,,54.59,
23,14,F24-3620,ABC-5512,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,A,92.23,92.27,9.71,9.81,90.29,90.19,22.16,22.16,28.75,28.675,44.88,46.385
24,14,F24-3620,ABC-5512,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,B,92.31,,9.91,,90.09,,22.16,,28.6,,47.89,
25,14,F24-3621,ABC-5568,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,A,91.54,91.58,11.33,11.85,88.67,88.15,17.29,17.29,40.22,39.06,59.28,58.435
26,14,F24-3621,ABC-5568,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,B,91.62,,12.37,,87.63,,17.29,,37.9,,57.59,
27,14,F24-3622,ABC-5657,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,A,91.88,91.835,10.69,10.665,89.31,89.335,21.64,21.64,31.31,30.825,55.32,54
28,14,F24-3622,ABC-5657,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,B,91.79,,10.64,,89.36,,21.64,,30.34,,52.68,
29,14,F24-3623,ABC-5744,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,A,93.59,93.595,14.87,14.865,85.13,85.135,17.67,17.67,33.13,33.74,56.74,56.91
30,14,F24-3623,ABC-5744,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,B,93.6,,14.86,,85.14,,17.67,,34.35,,57.08,
