42_no,42_requisitioer,42_set_ciat,42_ciat_lab_id,42_gene_bank_breeding_program_id,42_genus,42_species,42_tax_name,42_family,42_order,42_functional_group,42_net_gas_8_24h_ml,42_net_gas_24h_ml,42_gas_ml_g_dm_incubated_24h,42_percentage_dmd_truly_digestibility,42_part_fact,42_ch4_percentage_in_gas_8h,42_ch4_percentage_in_gas_24h,42_ch4_ml_g_dm_incubated_24h,42_ch4_ml_g_dmd_24h,42_ch4_ml_g_ndf_digested_in_24h,42_ch4_g_g_dm_incubated_24h,42_ch4_g_g_dmd_24h
No,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group7,"Net gas 8-24h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
1,Genetic bank,14,F24-3536,ABC-32379-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,0.716403779,1.056661417,2.303952384,5.659166113,0.457393902,0.503580927,0.721797771,1.115534857,4.58298077,7.583472178,0.619141145,2.543633617
2,Genetic bank,14,F24-3537,ABC-32380-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,0.776621404,0.735659556,1.57522061,3.791141789,0.304355431,0.434897462,0.714999889,0.723898196,4.822751134,4.843671635,0.401776023,2.676710318
3,Genetic bank,14,F24-3538,ABC-33249-1,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,0.718411078,0.948777417,2.063107358,2.996510971,0.235290799,0.347832796,0.693719091,1.212773522,5.303821279,3.781563568,0.673110287,2.943712571
4,Genetic bank,14,F24-3612,ABC-398,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,0.77350243,0.826203828,1.804496473,1.845178447,0.186700934,0.490904934,0.875901685,1.0724888,3.579137533,3.637253,0.595249839,1.986483254
5,Genetic bank,14,F24-3613,ABC-438,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,0.541953743,1.604062972,3.413434856,2.322269502,0.212299516,0.354163943,0.655703926,1.198768385,3.463508228,3.857910959,0.665337194,1.922306989
6,Genetic bank,14,F24-3614,ABC-442,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,0.813116448,1.677724,3.545957132,4.569233765,0.302778065,0.230940108,0.580128012,1.254346371,6.255923126,8.259641658,0.696183938,3.472145569
7,Genetic bank,14,F24-3615,ABC-466,Vigna,umbellata,Vigna umbellata,Fabaceae,Fabales,Climber,0.77350243,0.819594091,1.79548853,3.131792613,0.156249437,0.308320821,0.598802215,1.18700067,2.229292989,6.944877731,0.658805908,1.237296178
8,Genetic bank,14,F24-3616,ABC-715,Canavalia,ensiformis,Canavalia ensiformis,Fabaceae,Fabales,Climber,1.004621159,1.386628267,3.064007549,4.019173301,0.234302212,0.418993503,0.620292586,1.286623782,2.830020856,9.63137623,0.714098459,1.570710537
9,Genetic bank,14,F24-3617,ABC-887,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,0.655048203,0.738938277,1.634596117,2.795419255,0.187979029,0.330357083,0.571314306,0.96549604,2.047455123,6.335227773,0.535867006,1.136373016
