33_sample_serial_no,33_date,33_requisitioner,33_requisitioner_2,33_set_ciat,33_ciat_lab_id,33_gene_bank_breeding_program_id,33_genus,33_species,33_tax_name,33_family,33_order,33_functional_group,33_ot,33_remarks,33_ch4_8h_percentage,33_ch4_24h_percentage,33_net_gas_8h_ml,33_net_gas_8_24h_ml2,33_net_gas_24h_ml,33_ch4_8h_ml,33_ch4_8_24h_ml,33_ch4_24h_ml,33_gas_ml_g_dm_incubated_24h,33_percentage_dmd_truly_digestibility,33_part_fact,33_ch4_ml_in_gas_8h,33_ch4_ml_in_gas_24h,33_ch4_ml_g_dm_incubated_24h,33_ch4_ml_g_dmd_24h,33_ch4_ml_g_ndf_digested_in_24h,33_ch4_g_g_dm_incubated_24h,33_ch4_g_g_dmd_24h
Sample serial No,"Date (M,D.Y)",Requisitioner,Requisitioner (2),Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Remarks,ID LAB,CH4 8h %,"CH4 24h, %","Net gas 8h, ml","Net gas 8-24h, ml2","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 ml in gas, h8","CH4 ml in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
1,45923,Genetic bank,Juan José Gonzalez,23,F243540,ABC-1467-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,,12.97777778,15.88888889,44.87350942,53.29823902,98.17174845,5.83232023,8.459298113,14.29161834,211.6901112,58.71985099,2.773917587,12.925,14.52515349,30.74652128,52.38308744,272.2846751,17.06485126,29.07351981
2,45923,Genetic bank,Juan José Gonzalez,23,F243541,ABC-1475-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,Descatada Syr 2 Run 1 ,13.26666667,16.14444444,42.26239831,46.79823902,89.06063734,5.60769786,7.547858956,13.15555682,196.1181327,54.17210229,2.808143294,13.26666667,14.77404047,28.96950855,53.95676639,274.4441271,16.07857845,29.94693886
3,45923,Genetic bank,Jorge Penafiel,23,F25-0954,ABC-23326,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-005,,14.56666667,18.73333333,44.09573165,35.15379458,79.24952622,6.427470837,6.580921595,13.00839243,165.3157769,63.05411566,3.820690347,14.56666667,16.41454748,27.13568639,43.06813496,281.7710122,15.06077542,23.90356003
4,45923,Genetic bank,Jorge Penafiel,23,F25-0971,ABC-13149,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,OT-005,,13.02222222,15.43333333,35.26239831,31.29823902,66.56063734,4.596360232,4.827906842,9.424267075,141.8816786,46.63775979,3.286910053,13.02222222,14.15417382,20.08879467,43.24452117,446.7952587,11.1496286,24.00145742
5,45923,Genetic bank,Jorge Penafiel,23,F25-0974,ABC-13946,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,OT-005,,11.72222222,14.07777778,17.10145092,7.645835201,24.74728612,1.999499617,1.072670721,3.072170338,52.73206261,21.90499783,4.14858884,11.7,12.42634498,6.546281341,30.7597125,186.5054696,3.633299402,17.07217261
6,45923,Genetic bank,Jorge Penafiel,23,F25-0980,ABC-19867,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,OT-005,"Revisar Syr2, Run 1 ",15.54444444,17.06666667,40.54017609,32.24268347,72.78285956,6.30293424,5.495494936,11.79842918,151.7316509,53.37260736,3.520379803,15.54444444,16.20620112,24.5965071,47.39832009,426.7720159,13.65148699,26.30688769
7,45923,Genetic bank,Jorge Penafiel,23,F25-1651,CIAT-798,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,OT-008,,12.62222222,15.81111111,41.59573165,51.63157236,93.227304,5.251814585,8.162994265,13.41480885,201.2648865,57.23065636,2.844873998,12.62222222,14.391042,28.96075284,50.79680633,223.6034504,16.07371888,28.19310635
8,45923,Genetic bank,Jorge Penafiel,23,F25-1652,CIAT-822,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,OT-008,,13.54444444,16.07777778,43.04017609,37.18712791,80.227304,5.829230119,5.977069557,11.80629968,170.5337522,51.7016439,3.03300641,13.54444444,14.7182702,25.09582498,48.95101893,#DIV/0!,13.92861705,27.16866241
9,45923,Genetic bank,Jorge Penafiel,23,F25-1653,CIAT-852,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,,11.81111111,14.14444444,20.92906498,19.24268347,40.17174845,2.47199398,2.722025043,5.194019022,85.6524175,28.47867822,3.331840754,11.81111111,12.93176323,11.07442781,41.4939891,-190.7201044,6.146499032,23.02988184
10,45923,Genetic bank,Jorge Penafiel,23,F25-1654,CIAT-907,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,,13.25555556,16.12222222,30.1512872,41.76490569,71.91619289,4.001349545,6.733801409,10.73515095,154.6408739,45.26242543,2.935351654,13.25555556,14.92855514,23.08367183,52.96601648,91.8753358,12.81183724,29.39705551
11,45923,Genetic bank,Jorge Penafiel,23,F25-1655,CIAT-1992,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-008,,11.58888889,13.91111111,36.42906498,44.74268347,81.17174845,4.226172407,6.221123562,10.44729597,175.4925076,51.85954824,2.95426334,11.58888889,12.86738901,22.58693357,43.92298372,245.4315417,12.53613891,24.37801588
12,45923,Genetic bank,Jorge Penafiel,23,F25-1656,CIAT-3001,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,,12.26666667,15.02222222,28.37350942,30.96490569,59.33841511,3.483756669,4.652255019,8.136011688,125.5143582,36.91860039,2.93377952,12.26666667,13.71093538,17.20954056,49.08382303,203.5812613,9.551592755,27.24237098
