21_no,21_date,21_requisitioner,21_set_ciat,21_ciat_lab_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional_group,21_batches_ciat,21_id_lab,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_av_ash_percentage,21_om_percentage,21_om_percentage
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,"DM, %",Av DM 105,"Ash, %","Av Ash, %","OM, %","OM, %"
1,46041,Genbank,27,F251728,CIAT-13262,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),94.90254873,94.93228196,8.675533642,8.697026471,91.32446636,91.30297353
2,46041,Genbank,27,F251728,CIAT-13262,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),94.96201519,,8.7185193,,91.2814807,
3,46041,Genbank,27,F251729,CIAT-13528,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),95.00049995,95.04574088,7.585062735,7.584683557,92.41493727,92.41531644
4,46041,Genbank,27,F251729,CIAT-13528,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),95.0909818,,7.58430438,,92.41569562,
5,46041,Genbank,27,F251730,CIAT-13529,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),94.30284858,94.35698318,6.715805626,6.690322969,93.28419437,93.30967703
6,46041,Genbank,27,F251730,CIAT-13529,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),94.41111778,,6.664840312,,93.33515969,
7,46041,Genbank,27,F251731,CIAT-13710,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),94.09295352,94.1326423,7.549396897,7.491369387,92.4506031,92.50863061
8,46041,Genbank,27,F251731,CIAT-13710,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),94.17233107,,7.433341877,,92.56665812,
9,46041,Genbank,27,F251732,CIAT-22004,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),94.18058194,94.29584986,6.786470532,6.812638277,93.21352947,93.18736172
10,46041,Genbank,27,F251732,CIAT-22004,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),94.41111778,,6.838806021,,93.16119398,
11,46041,Genbank,27,F251733,CIAT-23104,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),92.62295082,92.63257908,7.035746071,6.998325401,92.96425393,93.0016746
12,46041,Genbank,27,F251733,CIAT-23104,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),92.64220734,,6.960904732,,93.03909527,
