31_no,31_date,31_requisitioner,31_gene_bank_id,31_genus,31_species,31_tax_name,31_family,31_order,31_functional_group,31_ciat_id,31_set_ciat,31_batch,31_run,31_replication,31_syrange_no,31_sample_weight_g,31_dm_incubated_mg,31_digested_feed_mg,31_time_0h,31_gas_0h_ml,31_time_8h,31_gas_8h_ml,31_ch4_8h_percentage,31_v8_push_back_ml,31_time_24h,31_gas_24h_ml,31_ch4_24h_percentage,31_remarks,31_gp_8h_ml,31_gp_8_24h,31_net_gas_8h_ml,31_net_gas_8_24h_ml,31_net_gas_24h_ml,31_ch4_8h_ml,31_ch4_8_24h_ml,31_ch4_24h_ml,31_gas_ml_g_dm_incubated_24h,31_percentage_dmd_truly_digestibility,31_part_fact,31_ch4_ml_in_gas_8h,31_ch4_ml_in_gas_24h,31_ch4_ml_g_dm_incubated_24h,31_ch4_ml_g_dmd_24h2,31_ch4_ml_g_ndf_digested_in_24h,31_ch4_g_g_dm_incubated_24h,31_ch4_g_g_dmd_24h,31_remarks
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Sample weight, g","DM Incubated, mg","Digested feed, mg",Time 0h,"Gas 0h, ml",Time 8h,"Gas 8h, ml",CH4 8h %,"V8 Push back, ml",Time 24h,"Gas 24h, ml","CH4 24h, %",Remarks,"GP 8h, ml","GP 8-24h, ml","Net gas 8h, ml","Net gas 8-24h, ml","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 ml in gas, h8","CH4 ml in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h2",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Remarks
1,46041,,BLANK 24 H,BLANK,,BLANK 24 H,,,,BLANK 24 H,27,58,1,1,181,,,,0.367361111,40,0.7,42.5,,40,0.366666667,43.5,,,2.5,3.5,,,,,,,,,,,,,,,,,
2,46041,,BLANK 24 H,BLANK,,BLANK 24 H,,,,BLANK 24 H,27,58,1,2,182,,,,0.368055556,39.5,0.7,42,,39,0.367361111,43.5,,,2.5,4.5,,,,,,,,,,,,,,,,,
3,46041,Genbank,CIAT-13262,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251728,27,58,1,1,183,0.5007,475.3259358,146.5259358,0.368055556,40.5,0.7,71,12.3,40,0.368055556,64.5,16.9,,30.5,24.5,27.84497973,20.81247185,48.65745158,3.424932507,3.517307743,6.94224025,102.3664983,30.82641294,3.011377107,12.3,14.26757881,14.60522081,47.37891768,-0.478196663,8.106150236,26.29611902,
4,46041,Genbank,CIAT-13262,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251728,27,58,1,2,184,0.5003,474.9462066,0,0.36875,41,0.700694444,71,13.8,41,0.36875,64.5,17.7,,30,23.5,,,,,,,,,,,,,,,,,Elimn Dig neg
5,46041,Genbank,CIAT-13262,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251728,27,58,1,3,185,0.5005,475.1360712,116.0360712,0.36875,41.5,0.700694444,73,13.7,40.5,0.369444444,64.5,17.8,,31.5,24,28.84497973,20.31247185,49.15745158,3.951762223,3.615619989,7.567382212,103.4597341,24.4216506,2.360498103,13.7,15.39417112,15.9267685,65.21577414,-0.301241039,8.839632068,36.19588295,
6,46041,Genbank,CIAT-13528,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251729,27,58,1,1,186,0.5,475.2287044,92.22870438,0.36875,41,0.702083333,69.5,12.4,40.5,0.370138889,57.5,16.6,,28.5,17,25.84497973,13.31247185,39.15745158,3.204777487,2.209870327,5.414647814,82.39706739,19.4072251,2.35532959,12.4,13.82788612,11.39377265,58.70892202,-0.129878029,6.323740944,32.58446745,
7,46041,Genbank,CIAT-13528,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251729,27,58,1,2,187,0.5005,475.7039331,115.2039331,0.369444444,41,0.702083333,66.5,13.5,40,0.370833333,57,16.6,,25.5,17,22.84497973,13.31247185,36.15745158,3.084072264,2.209870327,5.293942591,76.00830909,24.21757002,3.186174026,13.5,14.64135983,11.12865003,45.95279388,-0.159296905,6.176593306,25.50459563,
8,46041,Genbank,CIAT-13528,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251729,27,58,1,3,188,0.5004,475.6088873,126.9088873,0.369444444,41,0.702777778,67.5,12.9,40,0.370833333,58,16.7,,26.5,18,23.84497973,14.31247185,38.15745158,3.076002385,2.390182799,5.466185184,80.22863449,26.68345582,3.325926709,12.9,14.32534134,11.49302574,43.07172885,-0.189155084,6.378828127,23.9055547,
9,46041,Genbank,CIAT-13529,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251730,27,58,1,1,189,0.5007,472.4454148,129.8454148,0.370138889,41.5,0.703472222,73,13.2,40,0.370833333,71,17.3,,31.5,31,28.84497973,27.31247185,56.15745158,3.807537325,4.72505763,8.532594955,118.8654812,27.48368609,2.31216715,13.2,15.19405656,18.06048845,65.71348684,-0.406828154,10.02388355,36.47212211,
10,46041,Genbank,CIAT-13529,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251730,27,58,1,2,190,0.5005,472.2567008,0,0.370138889,41.5,0.703472222,68,15.3,41,0.788888889,71.5,17.5,,26.5,30.5,,,,,,,,,,,,,,,,,Elimn Dig neg
11,46041,Genbank,CIAT-13529,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251730,27,58,1,3,191,0.5004,472.1623438,142.9623438,0.36875,42.5,0.704166667,71.5,13.3,40.5,0.372222222,70.5,17.5,,29,30,26.34497973,26.31247185,52.65745158,3.503882304,4.604682574,8.108564878,111.5240389,30.27821801,2.714949917,13.3,15.39870357,17.17325616,56.71818649,-0.497105516,9.531454282,31.47957479,
