40_sample_serial_no,40_date,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_av_dm_105,40_av_ash_percentage,40_om_percente,40_av_pc_percentage,40_av_adf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Av DM 105,"Av Ash, %","OM, %","Av PC, %"," Av ADF, % (DM)"," Av NDF, % (DM)"
1,46041,Genbank,27,F251728,CIAT-13262,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.93228196,8.697026471,91.30297353,18.98095108,47.52317706,60.40435877
2,46041,Genbank,27,F251729,CIAT-13528,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,95.04574088,7.584683557,92.41531644,16.89700161,48.36218724,56.87954787
3,46041,Genbank,27,F251730,CIAT-13529,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.35698318,6.690322969,93.30967703,18.17097604,45.32812119,59.94398484
4,46041,Genbank,27,F251731,CIAT-13710,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,94.1326423,7.491369387,92.50863061,19.13818782,55.17177684,64.35700251
5,46041,Genbank,27,F251732,CIAT-22004,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.29584986,6.812638277,93.18736172,17.58227963,49.20313501,63.60852582
6,46041,Genbank,27,F251733,CIAT-23104,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,92.63257908,6.998325401,93.0016746,19.39471605,57.00503903,67.21953003
7,46041,Genbank,27,F251734,CIAT-23106,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.65267366,6.853220697,93.1467793,21.88530889,55.75098488,67.76100615
8,46041,Genbank,27,F251735,CIAT-23107,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.98700765,6.919239561,93.08076044,21.24081713,51.07086181,67.2167779
9,46041,Genbank,27,F251736,CIAT-23108,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.54327404,6.929175476,93.07082452,21.58733126,58.16741146,69.36610063
10,46041,Genbank,27,F251737,CIAT-23412,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.18764467,7.274745611,92.72525439,21.14714305,50.97707007,62.1361665
11,46041,Genbank,27,F251738,CIAT-23413,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,93.52667142,7.498658928,92.50134107,21.31752628,54.59114653,66.22603541
12,46041,Genbank,27,F251739,CIAT-23419,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,93.95743146,7.202507611,92.79749239,20.19491829,56.43442414,67.78394011
13,46041,Genbank,27,F251740,CIAT-23422,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,91.85744918,7.063174198,92.9368258,21.67495417,54.62975611,66.57310598
14,46041,Genbank,27,F251741,CIAT-23734,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.71104974,7.859177882,92.14082212,21.43501368,47.21960114,62.02315039
15,46041,Genbank,27,F251742,CIAT-23932,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.12195122,7.292980244,92.70701976,18.84082731,49.89224893,63.09107017
16,46041,Genbank,27,F251743,CIAT-23933,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,93.72124769,7.371449396,92.6285506,17.58420593,49.30848354,64.36924866
17,46041,Genbank,27,F251744,CIAT-23934,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.17175994,8.195338377,91.80466162,22.61279649,43.73700737,58.49671401
18,46041,Genbank,27,F251745,CIAT-23936,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.05856486,7.798969346,92.20103065,19.26631303,49.20967469,61.65556371
19,46041,Genbank,27,F251746,CIAT-33119,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.28710945,7.395369239,92.60463076,17.30043112,40.97747309,59.47836238
20,46041,Genbank,27,F251747,CIAT-33383,Dendrolobium,sp.,Dendrolobium sp.,Fabaceae,Fabales,Tree,94.67156206,9.804579653,90.19542035,14.66394754,47.33808634,59.75799108
21,46041,Genbank,27,F251748,CIAT-33402,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.631891,6.908571878,93.09142812,20.08407391,45.18159981,60.09139911
22,46041,Genbank,27,F251749,CIAT-33508,Dendrolobium,umbellatum,Dendrolobium umbellatum,Fabaceae,Fabales,Tree,93.74624719,8.665280104,91.3347199,22.60556623,45.81166384,58.36144016
23,46041,Genbank,27,F251750,CIAT-33515,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,93.4109897,11.11094838,88.88905162,20.96312701,51.4709948,63.31758966
