subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
3,1,Genetic bank,F24-3540,ABC-1467,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,92.5,8.49,91.51,13.64,35.11,53.65239714
3,2,Genetic bank,F24-3540,ABC-1467,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,92.73,8.59,91.41,13.64,34.44,52.20219129
3,3,Genetic bank,F24-3541,ABC-1475,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,90.62,8.7,91.3,17.29,37.69,58.2158637
3,4,Genetic bank,F24-3541,ABC-1475,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,90.96,8.81,91.19,17.29,37.17,54.69038649
3,5,Genetic bank,F25-0954,ABC-23326,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,23,95.77,14.95,85.05,18.11,23.08,40.57
3,6,Genetic bank,F25-0954,ABC-23326,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,23,95.91,15.15,84.85,18.11,22.92,39.43
3,7,Genetic bank,F25-0971,ABC-13149,Fabales,Fabaceae,Desmodium,strigillosum,Desmodium strigillosum,Herbaceous_legumes,23,93.7,8.14,91.86,13.45,35.26,51.0
3,8,Genetic bank,F25-0971,ABC-13149,Fabales,Fabaceae,Desmodium,strigillosum,Desmodium strigillosum,Herbaceous_legumes,23,93.85,8.23,91.77,13.45,35.39,48.35
3,9,Genetic bank,F25-0974,ABC-13946,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Herbaceous_legumes,23,93.83,6.83,93.17,14.37,52.96,60.63
3,10,Genetic bank,F25-0974,ABC-13946,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Herbaceous_legumes,23,93.82,6.78,93.22,14.37,53.2,61.03
3,11,Genetic bank,F25-0980,ABC-19867,Fabales,Fabaceae,Uraria,lagopodioides,Uraria lagopodioides,Herbaceous_legumes,23,95.86,15.49,84.51,19.32,25.22,43.08
3,12,Genetic bank,F25-0980,ABC-19867,Fabales,Fabaceae,Uraria,lagopodioides,Uraria lagopodioides,Herbaceous_legumes,23,95.94,15.42,84.58,19.32,26.44,45.49
3,13,Genetic bank,F25-1651,CIAT-798,Fabales,Fabaceae,Galactia,striata,Galactia striata,Herbaceous_legumes,23,92.59074093,11.098894,88.901106,17.13448106,24.78973458,56.07531623
3,14,Genetic bank,F25-1651,CIAT-798,Fabales,Fabaceae,Galactia,striata,Galactia striata,Herbaceous_legumes,23,92.63441935,11.09334788,88.90665212,17.16363176,25.10107275,57.71001155
3,15,Genetic bank,F25-1652,CIAT-822,Fabales,Fabaceae,Calopogonium,mucunoides,Calopogonium mucunoides,Herbaceous_legumes,23,94.03238705,6.706366116,93.29363388,17.00895537,27.16761458,47.17079133
3,16,Genetic bank,F25-1652,CIAT-822,Fabales,Fabaceae,Calopogonium,mucunoides,Calopogonium mucunoides,Herbaceous_legumes,23,94.07177847,6.579485935,93.42051406,17.00895537,26.27122145,46.43281125
