group,CH4_in_24h,CH4_DMD_24h
Herbaceous_legume,32.01,48.31
Herbaceous_legume,16.44,36.94
Herbaceous_legume,27.31,46.12
Herbaceous_legume,25.25,50.42
Herbaceous_legume,24.74,50.23
Herbaceous_legume,27.25,46.61
Herbaceous_legume,29.75,52.27
Herbaceous_legume,25.06,43.29
Herbaceous_legume,20.30,42.27
Herbaceous_legume,18.15,34.79
Herbaceous_legume,20.33,49.57
Herbaceous_legume,17.97,42.43
Herbaceous_legume,17.58,46.39
Herbaceous_legume,19.89,67.17
Shrub,20.84,45.78
Climber,21.91,43.28
Climber,27.49,45.93
Climber,23.41,38.17
Climber,21.93,60.50
Climber,17.75,41.62
Climber,18.34,50.24
Climber,19.57,46.86
Climber,24.68,50.03
Climber,25.24,51.76
Climber,29.23,48.35
Climber,26.33,42.52
Herbaceous_legume,22.53,48.11
Herbaceous_legume,20.75,54.40
Climber,22.96,47.69
Shrub,18.45,46.29
Herbaceous_legume,25.60,40.19
Herbaceous_legume,32.25,48.83
Herbaceous_legume,23.84,50.24
Herbaceous_legume,24.34,40.18
Herbaceous_legume,14.23,51.22
Climber,32.55,51.29
Climber,23.25,37.55
Climber,14.37,39.09
Herbaceous_legume,32.55,55.22
Herbaceous_legume,16.27,49.09
Shrub,21.31,42.47
Climber,27.52,47.47
Shrub,27.04,48.91
Herbaceous_legume,25.85,56.49
Shrub,22.07,63.26
Climber,29.34,53.02
Climber,32.52,54.18
Shrub,21.42,54.48
Shrub,20.67,40.20
Herbaceous_legume,32.30,60.94
Herbaceous_legume,25.22,49.61
Herbaceous_legume,22.11,36.23
Herbaceous_legume,19.62,38.58
Herbaceous_legume,19.17,34.19
Herbaceous_legume,22.50,51.56
Herbaceous_legume,22.10,44.91
Herbaceous_legume,24.97,45.55
Herbaceous_legume,21.82,45.45
Shrub,20.54,42.05
Climber,25.70,65.33
Shrub,27.11,43.52
Climber,26.31,44.50
Herbaceous_legume,25.62,42.54
Herbaceous_legume,23.89,49.24
Herbaceous_legume,22.87,49.01
Herbaceous_legume,24.34,49.18
Herbaceous_legume,25.59,55.12
Herbaceous_legume,25.49,48.49
Herbaceous_legume,23.69,43.21
Herbaceous_legume,20.77,39.74
Climber,24.65,39.14
Herbaceous_legume,18.29,33.82
Shrub,23.83,37.31
Herbaceous_legume,25.21,48.20
Herbaceous_legume,14.51,32.52
Herbaceous_legume,22.51,43.95
Herbaceous_legume,25.13,38.27
Herbaceous_legume,23.25,48.49
Climber,24.97,37.98
Climber,24.95,38.26
Herbaceous_legume,23.10,40.00
Herbaceous_legume,22.89,44.66
Climber,22.05,39.36
Climber,28.46,47.23
Climber,26.85,45.56
Climber,21.85,35.46
Herbaceous_legume,27.35,49.04
Climber,22.73,66.82
Climber,23.37,42.61
Shrub,18.67,44.02
Climber,20.23,37.14
Herbaceous_legume,25.14,47.36
Climber,26.58,40.30
Shrub,22.31,37.31
Shrub,15.60,46.93
Herbaceous_legume,22.85,39.86
Climber,34.37,59.47
Shrub,28.26,43.25
Herbaceous_legume,24.04,42.07
Herbaceous_legume,21.62,56.12
Herbaceous_legume,21.00,43.53
Herbaceous_legume,25.49,43.20
