obs_CH4_DMD,pred_SVRL,pred_NN,,obs_CH4_in,predicho,,Model,Variable,Importance,,Variable,Importance
36.94343786,40.91312479,40.8037796,,32.01257367,26.49549497,,SVR-L,Gas (ml/g DMD),9.92,,Gas_in_24,1.95
50.4200017,58.00892289,58.69704056,,29.74680924,26.45998698,,SVR-L,DMD,0.518,,DMD,1.1
50.22856478,54.33978881,52.65908432,,19.88500806,19.88212215,,SVR-L,Gas (ml/g DMI),0.11,,CP,0.492
46.60779238,47.025035,46.78554535,,20.83943355,20.98991068,,SVR-L,CP,0.0696,,ADF,0.251
52.26503186,50.00657899,49.31219864,,21.90746682,21.96541181,,SVR-L,HEM,0.0627,,Gas_DMD_2,0.127
43.29464125,43.76328253,43.7128334,,17.75097536,18.55052873,,SVR-L,NDF,0.0614,,NDF,0.0193
34.7881529,38.70298345,37.49248886,,18.34372247,19.9050004,,SVR-L,Ash,0.0128,,,
49.56558831,52.64916634,52.48674774,,19.56811603,21.55839839,,SVR-L,OM,0.0113,,,
38.16587888,40.99172362,42.40184021,,24.68327403,23.62707268,,SVR-L,ADF,0.0000455,,,
50.24145575,51.97515916,50.12784576,,29.2336436,27.73356769,,NN,Gas (ml/g DMD),7.8666,,,
42.51671563,45.39795289,46.20549774,,18.45282315,18.15213655,,NN,DMD,0.1542,,,
51.22049906,55.17324197,52.29481888,,32.55389379,29.88774301,,NN,Gas (ml/g DMI),0.2393,,,
47.46914801,42.61617189,43.46087265,,23.24924617,23.87040786,,NN,CP,0.3873,,,
53.01768122,51.53720366,52.1447258,,16.27211448,15.02193467,,NN,HEM,0.4855,,,
54.17824002,47.56662115,48.12726212,,27.04252615,24.61275235,,NN,NDF,0.125,,,
54.47579572,57.47737131,55.92879868,,22.0693308,20.51348105,,NN,Ash,0.0222,,,
34.19370223,32.11769272,32.93370438,,29.33549193,26.39840272,,NN,OM,0.0006,,,
51.55721765,46.26741447,46.0570488,,20.66874773,19.74260301,,NN,ADF,0.0431,,,
45.45268969,49.62232658,48.18716812,,25.21572231,25.01346802,,,,,,,
44.5012621,40.84226053,42.36738205,,21.82471816,22.51853363,,,,,,,
49.23770162,44.03203139,42.99730301,,20.54398093,25.51674233,,,,,,,
49.18474562,43.17836556,41.98709488,,25.69714895,23.23788832,,,,,,,
55.11822116,46.57334263,45.38106155,,23.88830215,20.78506451,,,,,,,
43.21309733,40.30136793,40.82433701,,25.58822172,21.36925464,,,,,,,
39.74486426,37.55463291,37.74934769,,25.49114839,22.41209907,,,,,,,
39.35711835,39.40930944,39.62168121,,24.95324093,25.39182531,,,,,,,
66.82458407,62.53586893,60.79581833,,28.46055309,27.18463639,,,,,,,
37.31381978,39.05842752,41.38979721,,26.84774345,27.848233,,,,,,,
46.9335207,44.23051069,43.4330101,,21.84876879,23.18286933,,,,,,,
43.52680643,44.48393629,43.88445663,,34.37267522,31.85882693,,,,,,,
43.20218015,42.3902048,42.82912827,,28.25525748,26.63283229,,,,,,,
24.78588428,25.99561791,30.7779808,,21.61568115,20.04598328,,,,,,,
50.72037488,50.85362297,50.32107925,,32.62709818,30.84216589,,,,,,,
45.37225983,47.09178969,46.5279808,,19.23822407,16.76126221,,,,,,,
50.95143878,49.72345913,50.3163414,,18.86243914,17.56809256,,,,,,,
57.35734204,52.39252236,50.58846664,,23.61970666,23.23315798,,,,,,,
31.70993772,32.93237914,34.23877335,,23.27759645,23.10896608,,,,,,,
90.8429576,75.75900894,72.39971924,,23.370765,22.17770259,,,,,,,
52.88948578,56.6159982,56.66127014,,22.59005096,21.90249884,,,,,,,
48.74075811,50.53227752,49.17152786,,24.30599216,25.79177042,,,,,,,
40.47050846,43.46401462,43.67218018,,24.44257307,21.98913585,,,,,,,
48.72615997,60.19865747,58.51007462,,16.26638912,18.11701821,,,,,,,
63.98935164,67.9475272,70.25571442,,16.31013803,19.53988183,,,,,,,
41.87144359,41.71830889,39.89406204,,16.78325289,20.48765118,,,,,,,
58.90652469,61.81190885,59.88872147,,21.13549599,21.26729786,,,,,,,
41.4906511,44.73797362,44.27838516,,11.74378799,13.65049472,,,,,,,
42.48540368,45.37568213,44.99028397,,17.55486466,18.67919402,,,,,,,
48.61358187,49.51138467,48.74474716,,23.42580894,24.12543442,,,,,,,
48.93500532,49.43671412,47.91445541,,24.03786735,21.98908445,,,,,,,
53.35416899,54.65419697,51.69074631,,19.98026265,18.74260811,,,,,,,
31.83660477,33.05660022,34.61513519,,24.42004,29.14734927,,,,,,,
36.43692643,38.46222098,40.81019974,,30.18893843,28.52085905,,,,,,,
36.64236954,38.11547461,38.40819168,,24.60171558,25.23319264,,,,,,,
42.9692466,43.28206144,46.28473282,,22.86414547,23.77631904,,,,,,,
35.43436857,38.74914601,40.5574379,,22.3308328,24.20734149,,,,,,,
39.07768747,42.6077937,45.66146851,,18.21498292,18.26601455,,,,,,,
40.1140517,41.88331207,42.28815842,,21.65639288,21.37610877,,,,,,,
38.02776209,38.23709896,36.85085297,,23.79404688,22.94413388,,,,,,,
47.06289764,45.10887519,47.28011703,,23.55101211,21.954109,,,,,,,
34.28266977,36.01700722,37.51080322,,24.6541427,19.54484357,,,,,,,
70.97066678,70.79546376,67.96562195,,23.05219947,19.68591118,,,,,,,
39.39675804,38.49245446,40.82118225,,23.10899216,22.32124862,,,,,,,
68.03125399,69.18352138,66.81005859,,19.28564295,20.22938516,,,,,,,
47.75477299,52.4587613,51.93629837,,23.84878448,23.99596767,,,,,,,
40.88064539,42.60807477,45.37273026,,19.75600502,20.0002163,,,,,,,
60.23094275,63.89472091,61.21389771,,25.73154351,27.0370795,,,,,,,
50.82738418,41.52616365,44.89769363,,31.24410274,26.30128289,,,,,,,
43.23141221,39.47634257,42.28423309,,33.30905861,27.63153674,,,,,,,
45.4542608,51.36571475,51.68729401,,24.1884174,23.77113821,,,,,,,
45.1294384,38.41998857,38.53149414,,23.76990102,24.36841128,,,,,,,
54.41194986,47.37578324,48.38985443,,19.29504962,16.63017154,,,,,,,
54.38707133,48.62915208,51.23023605,,34.56497717,34.43022705,,,,,,,
59.51626446,52.84518968,55.36314011,,12.82854272,10.53336467,,,,,,,
58.25749703,51.46101039,54.26370621,,34.3205787,33.08195971,,,,,,,
38.74068246,38.25244994,37.44464493,,31.82553127,27.92421809,,,,,,,
54.88118786,48.60958371,50.65991974,,29.31313901,27.14835182,,,,,,,
44.01892,44.63485336,44.40549469,,20.60930421,19.18203949,,,,,,,
64.56952557,56.70502045,59.72929764,,31.70955825,35.85276343,,,,,,,
89.52916338,74.04522486,80.10964966,,17.10035517,16.73979575,,,,,,,
45.10520438,44.36143804,44.52170181,,27.6686541,27.99682705,,,,,,,
70.34303406,65.99672864,69.49627686,,32.31515309,32.27439689,,,,,,,
48.94739166,50.17628959,48.21387863,,24.02374564,26.51140371,,,,,,,
52.15527062,48.88064856,47.72488785,,23.47528542,24.68024626,,,,,,,
53.58402717,50.03327979,48.51055908,,25.13967981,25.06977219,,,,,,,
53.6815281,56.67605684,55.05226135,,21.85063591,22.30624162,,,,,,,
46.01431242,49.60334961,47.25178146,,23.00754798,24.37016241,,,,,,,
44.01815237,43.20875519,41.91160965,,22.16241848,23.62168225,,,,,,,
35.75599615,39.55125571,36.64372253,,22.00332048,23.31610274,,,,,,,
36.15030967,40.3513373,39.16106796,,19.780826,21.96544441,,,,,,,
44.56775422,46.85795092,44.86185074,,20.84823738,21.65870574,,,,,,,
36.05625758,41.07709883,39.8799324,,17.89666064,17.55942279,,,,,,,
44.91457481,44.71202498,43.61211777,,17.031958,17.04316888,,,,,,,
43.98013472,46.03656302,44.57056427,,22.03603185,24.00964406,,,,,,,
51.21169886,57.36692124,57.40200043,,19.94742643,19.58370367,,,,,,,
55.77262201,55.93172621,54.18306351,,21.15828047,22.89318762,,,,,,,
37.06127543,43.74145803,42.62071609,,19.10258789,19.30419234,,,,,,,
41.66329172,42.55363618,42.55892944,,17.99068749,18.84026763,,,,,,,
49.08065254,55.02768676,58.21126175,,18.45702725,18.90690615,,,,,,,
59.59987178,56.25540326,59.56421661,,20.67811686,21.88036018,,,,,,,
52.60817434,51.91366819,53.45101929,,20.3586741,20.77050693,,,,,,,
39.78898786,42.19725773,41.76470184,,21.08613927,21.99124732,,,,,,,
43.50903541,48.56606926,47.22635269,,23.89404952,25.46092949,,,,,,,
43.15251079,49.14190503,48.1163826,,23.06372514,25.01350234,,,,,,,
49.0358581,48.05710763,45.79033279,,21.11159119,23.5024308,,,,,,,
49.42973751,48.63371006,46.49491119,,24.7046336,24.55655472,,,,,,,
45.19566798,50.75145901,48.62161636,,21.34725115,22.14440894,,,,,,,
44.43421886,51.14137408,49.1664238,,21.92878314,23.9015396,,,,,,,
47.14830808,46.03791548,43.9986763,,29.98924585,25.30670314,,,,,,,
43.70226169,50.74483422,48.14118576,,21.57098058,24.03435406,,,,,,,
46.87769488,47.21373239,45.47904205,,22.87311674,25.48617419,,,,,,,
43.89692047,44.42361016,42.72771072,,21.43210514,23.48381521,,,,,,,
50.5653913,49.55860124,47.31698227,,28.87701726,24.36751016,,,,,,,
47.30890563,47.009128,44.95661545,,23.32740833,26.02757805,,,,,,,
39.6039917,45.59995381,46.19358444,,19.29973339,22.50155994,,,,,,,
44.91379576,48.78391508,46.40536118,,22.53006771,22.30395887,,,,,,,
46.71627074,46.78465504,44.58010483,,22.34771663,24.44708673,,,,,,,
