gender,species,id
Stylosanthes,guianensis,CIAT11313
Stylosanthes,guianensis,CIAT11417
Stylosanthes,guianensis,CIAT12311
Stylosanthes,guianensis,CIAT12615
Stylosanthes,guianensis,CIAT12758
Stylosanthes,guianensis,CIAT1650
Stylosanthes,guianensis,CIAT1964
Stylosanthes,guianensis,CIAT2613
Stylosanthes,hamata,CIAT11199
Stylosanthes,hamata,CIAT11215
Stylosanthes,hamata,CIAT11220
Stylosanthes,hamata,CIAT11232
Stylosanthes,hamata,CIAT11762
Stylosanthes,hamata,CIAT11778
Stylosanthes,hamata,CIAT11784
Stylosanthes,hamata,CIAT12374
Stylosanthes,hamata,CIAT12381
Stylosanthes,hamata,CIAT12457
Stylosanthes,hamata,CIAT12462
Stylosanthes,hamata,CIAT12686
Stylosanthes,hamata,CIAT1467
Stylosanthes,hamata,CIAT1475
Stylosanthes,hamata,CIAT172
Stylosanthes,humilis,CIAT10440
Stylosanthes,humilis,CIAT11624
Stylosanthes,humilis,CIAT11690
Stylosanthes,humilis,CIAT12042
Stylosanthes,humilis,CIAT12115
Stylosanthes,humilis,CIAT12140
Stylosanthes,humilis,CIAT12184
Stylosanthes,humilis,CIAT12202
Stylosanthes,humilis,CIAT1706
Stylosanthes,humilis,CIAT1727
Stylosanthes,humilis,CIAT1803
Stylosanthes,humilis,CIAT2783
Stylosanthes,scabra,CIAT10613
Stylosanthes,scabra,CIAT10627
Stylosanthes,scabra,CIAT10634
Stylosanthes,scabra,CIAT10639
Stylosanthes,scabra,CIAT10725
Stylosanthes,scabra,CIAT11820
Stylosanthes,scabra,CIAT12485
Stylosanthes,scabra,CIAT12710
