id_lab,id,subset,no,requisitioner,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h,n_replicates_gas
Dieta-1_Exp1,Dieta-1-Exp-1,3,839,LMF-invivo,Dieta 1_Exp1,,26.17,60.87,136.67,29.35,2.15,15.67,15.45,21.11,81.06,360.94,6
Dieta-1_Exp2,Dieta-1-Exp-2,3,1019,LMF-invivo,Dieta 1_Exp2,,20.99,43.67,98.08,17.76,1.8,14.18,14.74,14.45,76.94,342.57,5
Dieta-2_Exp1,Dieta-2-Exp-1,3,738,LMF-invivo,Dieta 2_Exp1,,30.76,62.23,139.76,28.47,2.04,12.95,13.78,19.25,70.66,314.61,6
Dieta-2_Exp2,Dieta-2-Exp-2,3,1022,LMF-invivo,Dieta 2_Exp2,,25.22,50.07,112.45,25.08,2.23,13.6,14.19,15.96,63.75,283.91,6
F24-3416,CIAT-705,1,1,Genetic_bank,Indigofera suffruticosa,Herbaceous_legumes,29.35,61.94,134.59,74.34,5.52,14.26,17.35,23.36,31.84,149.32,9
F24-3417,CIAT-707,1,4,Genetic_bank,Alysicarpus ovalifolius,Herbaceous_legumes,30.58,66.26,147.01,65.97,4.49,13.54,16.25,23.89,36.44,125.18,9
F24-3418,CIAT-712,1,7,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,39.78,78.31,171.45,62.66,3.66,12.57,14.79,25.37,40.73,153.83,9
F24-3419,CIAT-749,1,10,Genetic_bank,Crotalaria juncea,Herbaceous_legumes,35.74,67.64,147.39,65.15,4.43,14.03,15.59,22.98,35.43,150.15,9
F24-3420,CIAT-768,1,13,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,33.53,74.13,160.77,64.82,4.03,13.49,15.73,25.3,39.08,134.6,9
F24-3421,CIAT-772,1,16,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,32.3,75.07,163.99,65.1,4.06,13.46,14.99,24.42,37.92,77.57,9
