subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,sample_weight_g,undigested_dm_g,dm_incubated,digested_feed_mg,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_8h_percentage,ch4_24h_percentage,gas_ml_g_dm_incubated_24h,part_fact,ch4_ml_g_dm_incubaed_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm,information_remarks_1,information_remarks_2,gas_remarks_1,gas_remarks_2,digest_remarks_1,digest_remarks_2,delete
1,3,Genetic bank,F24-3416,CIAT-705,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,1,1,1,3,0.5005,0.1592,460.3118693,301.1118693,28.17271507,62.57735271,4.00052554,11.15669017,14.2,20.8,135.9455554,4.811834574,24.23724199,227.8476704,37.05164527,65.41475234,,"1,2,3",,,,,no
1,4,Genetic bank,F24-3416,CIAT-705,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,1,1,2,4,0.5001,0.1665,459.9439877,293.4439877,28.17271507,61.24984258,4.22590726,11.20518116,15,21.1,133.168047,4.790934562,24.36205596,270.0095702,38.18507666,63.79993989,,"1,2,3",,,,,no
1,5,Genetic bank,F24-3416,CIAT-705,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,1,1,3,5,0.5001,0.164,459.9439877,295.9439877,29.5002252,63.01985609,4.071031078,10.97607504,13.8,20.6,137.0163711,4.696043534,23.86393851,249.4607864,37.08835285,64.34348434,,"1,2,3",,,,,no
1,6,Genetic bank,F24-3417,CIAT-707,Fabales,Fabaceae,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Herbaceous_legumes,1,1,1,1,6,0.5,0.1795,450.4622468,270.9622468,30.82773534,67.00238649,4.285055212,11.30293754,13.9,19.4,148.7414028,4.044068593,25.09186422,175.9559634,41.7140678,60.15204354,,,,,,,no
1,7,Genetic bank,F24-3417,CIAT-707,Fabales,Fabaceae,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Herbaceous_legumes,1,1,1,2,7,0.5004,0.1688,450.8226166,282.0226166,29.5002252,66.11737974,4.130031528,11.23375951,14,19.4,146.6594117,4.265483868,24.91835834,149.5197103,39.832832,62.55733546,,,Inicio embolo duro,Inicio embolo duro,,,no
1,8,Genetic bank,F24-3417,CIAT-707,Fabales,Fabaceae,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Herbaceous_legumes,1,1,1,3,8,0.5004,0.1787,450.8226166,272.1226166,30.82773534,67.00238649,3.976777859,10.88613623,12.9,19.1,148.6225048,4.061386928,24.14727174,166.8826099,40.00452577,60.36134981,,,,,,,no
1,9,Genetic bank,F24-3418,CIAT-712,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,1,1,1,9,0.5002,0.1598,456.6956259,296.8956259,38.35029276,78.50747432,4.640385424,11.6678922,12.1,17.5,171.9032762,3.781749807,25.54850876,128.459189,39.29964331,65.00951817,,,,,,,no
1,10,Genetic bank,F24-3418,CIAT-712,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,1,1,2,10,0.5005,0.1734,456.9695337,283.5695337,40.56280965,77.62246757,5.070351207,11.81520895,12.5,18.2,169.8635507,3.653188859,25.85557258,152.6909659,41.66600267,62.0543631,,,,,,,no
1,11,Genetic bank,F24-3418,CIAT-712,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,1,1,3,11,0.5003,0.2006,456.7869285,256.1869285,40.56280965,81.16249459,5.029788397,12.25653232,12.4,17.8,177.6812985,3.156469374,26.83205572,244.7406746,47.84214553,56.0845577,,,,,,,no
1,12,Genetic bank,F24-3419,CIAT-749,Fabales,Fabaceae,Crotalaria,juncea,Crotalaria juncea,Herbaceous_legumes,1,1,1,1,12,0.5004,0.1761,459.0961104,282.9961104,36.13777587,68.7724,5.095426398,11.00229337,14.1,18.1,149.7995702,4.114966329,23.96511998,189.5878352,38.87789606,61.64201874,,,,,,,no
1,13,Genetic bank,F24-3419,CIAT-749,Fabales,Fabaceae,Crotalaria,juncea,Crotalaria juncea,Herbaceous_legumes,1,1,1,2,13,0.5002,0.1506,458.9126187,308.3126187,35.6952725,67.88739325,4.961642877,10.78841673,13.9,18.1,147.9309796,4.541529789,23.5086513,129.2968683,34.99181051,67.18329507,,,,,,,no
