approach,gene_bank_breeding_id,tax_name,functional_group,ch4_intensity_ml_g_tddm,tddm_percentage,ch4_intensity_decrease,ch4_percentage_8h,ch4_percentage_24h,,,,,,,
Approach,Gene bank / Breeding ID,Tax Name,"Functional 
Group","CH4 Intensity 
[ml/g TDDM]",TDDM [%],CH4 Intensity  Decrease%,CH4% 8h,CH4% 24h,,,,,,,
Approach 1 (a),CIAT-772,Clitoria ternatea,Climber,37.9,65.1,41%,13.45555556,14.98567864,,,,,,,
Approach 1 (a),CIAT-19213,Clitoria ternatea,Climber,39.1,63.7,39%,14.98888889,16.08929282,,,,,,,
Approach 2,CIAT-9434,Clitoria ternatea,Climber,46.51,51.78,33%,14.36666667,15.85424307,,,,,,,
Approach 2,CIAT-955,Clitoria ternatea,Climber,45.45,59.65,30%,12.82222222,14.54174742,,,,,,,
Approach 4,CIAT-9432,Clitoria ternatea,Climber,57.24,50.87,11%,17.36,18.90480266,,,,,,,
Approach 4,CIAT-18447,Clitoria ternatea,Climber,53.0,55.3,18%,14.51111111,16.92415425,,,,,,,
Approach 1 (a),CIAT-7317,Canavalia sp.,Climber,33.0,69.5,49%,14.86111111,16.36328667,,,,,,,
Approach 1 (a),CIAT-8719,Canavalia sp.,Climber,35.8,69.0,45%,14.66388889,16.92290927,,,,,,,
Approach 2,CIAT-20803,Canavalia sp.,Climber,42.61,55.70,34%,13.8,15.97697193,,,,,,,
Approach 4,CIAT-19032,Canavalia sp.,Climber,65.33,43.83,6%,13.875,16.02639497,,,,,,,
Approach 1 (a),CIAT-15154,Centrosema molle,Climber,38.17,61.95,41%,14,16.05586855,,,,,,,
Approach 2,CIAT-15551,Centrosema molle,Climber,50.03,49.72,28%,14.78888889,17.4926182,,,,,,,
Approach 2,CIAT-15474,Centrosema molle,Climber,46.86,45.01,28%,14.02222222,14.87009771,,,,,,,
Approach 4,CIAT-15160,Centrosema molle,Climber,60.50,42.24,6%,12.63333333,14.0434111,,,,,,,
Approach 4,CIAT-15561,Centrosema molle,Climber,51.76,49.92,20%,13.58,16.04183987,,,,,,,
Approach 1 (a),CIAT-7972,Canavalia brasiliensis,Climber,36.7,68.1,43%,14.17222222,16.55086921,,,,,,,
Approach 1 (a),CIAT-905,Canavalia brasiliensis,Climber,40.88,63.42,37%,12.07777778,15.39794365,,,,,,,
Approach 2,CIAT-17009,Canavalia brasiliensis,Climber,47.69,48.66,31%,12.76666667,14.19438157,,,,,,,
Approach 2,CIAT-20304,Canavalia brasiliensis,Climber,45.56,59.51,30%,13.23333333,15.13242984,,,,,,,
Approach 4,CIAT-7894,Canavalia brasiliensis,Climber,61.21,43.94,12%,14.23333333,15.26985051,,,,,,,
Approach 1 (a),CIAT-5234,Centrosema brasilianum,Climber,37.8,61.6,42%,14.23402778,16.24126828,,,,,,,
Approach 2,CIAT-15401,Centrosema brasilianum,Climber,41.62,44.31,36%,13.7,14.29085867,,,,,,,
Approach 2,CIAT-25113,Centrosema brasilianum,Climber,50.74,48.89,22%,13.85,15.55644407,,,,,,,
Approach 4,CIAT-5512,Centrosema brasilianum,Climber,58.91,34.34,9%,13.08333333,14.2142089,,,,,,,
Approach 4,CIAT-5657,Centrosema brasilianum,Climber,54.17,34.23,16%,12.575,13.8185352,,,,,,,
Approach 1 (a),CIAT-Mulato_II,Brachiaria interespecifico,Grass,34.27,65.32,55%,14.21111111,14.64108542,,,,,,,
Approach 1 (a),CIAT-BR02_1752,Brachiaria interespecifico,Grass,33.83,67.39,56%,13.97777778,14.6106914,,,,,,,
Approach 2,CIAT-BR15_2891,Brachiaria interespecifico,Grass,52.43,31.55,31%,11.675,12.86289766,,,,,,,
Approach 2,CIAT-BR19_5029,Brachiaria interespecifico,Grass,54.60,30.08,29%,12.42222222,14.26422386,,,,,,,
Approach 1 (a),CIAT-21565,Chamaecrista rotundifolia,Herbaceous legume,39.86,57.70,38%,12.46666667,14.72668721,,,,,,,
Approach 2,CIAT-8202,Chamaecrista rotundifolia,Herbaceous legume,51.27,47.59,26%,13.9625,15.70541132,,,,,,,
Approach 2,CIAT-18004,Chamaecrista rotundifolia,Herbaceous legume,49.09,36.11,24%,12.35714286,13.5860802,,,,,,,
Approach 4,CIAT-8156,Chamaecrista rotundifolia,Herbaceous legume,70.97,32.89,-10%,13.675,14.88618091,,,,,,,
Approach 4,CIAT-17000,Chamaecrista rotundifolia,Herbaceous legume,54.40,42.26,16%,12.42857143,13.81173159,,,,,,,
Approach 1 (a),CIAT-705,Indigofera suffruticosa,Shrub,31.84,74.34,50%,14.25555556,17.35352037,,,,,,,
Approach 1 (a),CIAT-8402,Indigofera suffruticosa,Shrub,36.8,64.3,42%,16.81888889,18.51920477,,,,,,,
Approach 2,CIAT-7991,Indigofera suffruticosa,Shrub,43.16,52.59,33%,#N/A,#N/A,,,,,,,
Approach 4,CIAT-9189,Indigofera suffruticosa,Shrub,56.32,47.16,19%,#N/A,#N/A,,,,,,,
Approach 1 (a),CIAT-913,Cajanus cajan,Shrub,32.8,60.9,48%,13.53333333,16.14330515,,,,,,,
Approach 2,CIAT-18701,Cajanus cajan,Shrub,40.20,52.59,37%,13.3,14.78899087,,,,,,,
Approach 2,CIAT-20891,Cajanus cajan,Shrub,44.02,44.37,30%,12.35555556,14.04445838,,,,,,,
Approach 4,CIAT-18700,Cajanus cajan,Shrub,54.48,42.00,14%,12.6875,13.99887238,,,,,,,
