subset,requisitioner,no,id_lab,id,n_replicates,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,Genetic bank,197,F24-3469,CIAT-10647,2,Fabales,Fabaceae,Stylosanthes,scabra,Stylosanthes scabra,Herbaceous_legumes,6,92.93,9.36,90.64,20.02,32.44,56.19
1,Genetic bank,199,F24-3470,CIAT-11194,2,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,6,92.89,9.61,90.39,21.18,30.18,55.94
1,Genetic bank,201,F24-3471,CIAT-11999,2,Fabales,Fabaceae,Stylosanthes,guianensis,Stylosanthes guianensis,Herbaceous_legumes,7,93.5,10.46,89.54,20.09,33.9,61.32
1,Genetic bank,203,F24-3472,CIAT-12318,2,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,7,94.1,11.08,88.92,22.05,29.34,55.26
1,Genetic bank,113,F24-3427,CIAT-1257,2,Fabales,Fabaceae,Stylosanthes,scabra,Stylosanthes scabra,Herbaceous_legumes,5,92.72,9.52,90.48,17.96,35.9,69.91
1,Genetic bank,205,F24-3473,CIAT-13575,2,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,7,94.14,11.52,88.48,23.17,44.09,57.61
1,Genetic bank,207,F24-3474,CIAT-13609,2,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,7,93.4,11.58,88.42,20.01,40.85,58.78
1,Genetic bank,209,F24-3475,CIAT-15551,2,Fabales,Fabaceae,Centrosema,molle,Centrosema molle,Herbaceous_legumes,7,93.75,10.48,89.52,22.31,23.67,61.59
1,Genetic bank,211,F24-3476,CIAT-17024,2,Fabales,Fabaceae,Desmanthus,pernambucanus,Desmanthus pernambucanus,Shrub_Trees,7,92.53,8.23,91.77,24.63,32.03,58.24
1,Genetic bank,213,F24-3477,CIAT-17091,2,Fabales,Fabaceae,Crotalaria,micans,Crotalaria micans,Herbaceous_legumes,7,94.56,8.37,91.63,24.38,17.15,49.73
1,Genetic bank,215,F24-3478,CIAT-17365,2,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,7,93.39,7.63,92.37,32.12,23.37,51.72
1,Genetic bank,217,F24-3479,CIAT-17451,2,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp.,Herbaceous_legumes,7,91.64,19.48,80.53,22.34,20.08,49.14
1,Genetic bank,219,F24-3480,CIAT-17775,2,Fabales,Fabaceae,Christia,obcordata,Christia obcordata,Herbaceous_legumes,7,94.3,10.72,89.28,16.05,26.04,54.97
1,Genetic bank,221,F24-3481,CIAT-18016,2,Fabales,Fabaceae,Sesbania,emerus,Sesbania emerus,Shrub_Trees,7,93.22,7.68,92.32,24.16,28.12,56.38
1,Genetic bank,223,F24-3482,CIAT-18044,2,Fabales,Fabaceae,Christia,sp.,Christia sp.,Herbaceous_legumes,7,93.67,14.44,85.56,21.0,22.69,54.68
1,Genetic bank,225,F24-3483,CIAT-18288,2,Fabales,Fabaceae,Sesbania,exasperata,Sesbania exasperata,Shrub_Trees,7,92.91,8.89,91.11,23.18,27.95,51.1
1,Genetic bank,227,F24-3484,CIAT-18447,2,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,7,92.93,7.5,92.5,29.41,26.2,54.05
1,Genetic bank,229,F24-3485,CIAT-18455,2,Fabales,Fabaceae,Christia,obcordata,Christia obcordata,Herbaceous_legumes,7,93.2,14.45,85.55,21.77,22.27,52.43
1,Genetic bank,231,F24-3486,CIAT-18707,2,Fabales,Fabaceae,Crotalaria,pallida,Crotalaria pallida,Herbaceous_legumes,7,92.83,7.44,92.56,37.5,22.03,51.93
1,Genetic bank,233,F24-3487,CIAT-18749,2,Fabales,Fabaceae,Arachis,pintoi,Arachis pintoi,Herbaceous_legumes,7,92.7,14.32,85.68,21.13,27.42,51.53
1,Genetic bank,235,F24-3488,CIAT-18813,2,Fabales,Fabaceae,Crotalaria,nitens,Crotalaria nitens,Herbaceous_legumes,7,91.8,16.91,83.09,17.16,28.69,52.37
1,Genetic bank,237,F24-3489,CIAT-18848,2,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,94.43,24.5,75.5,19.99,28.13,48.33
1,Genetic bank,239,F24-3490,CIAT-18862,2,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,93.07,16.36,83.65,24.58,21.72,49.43
1,Genetic bank,241,F24-3491,CIAT-18931,2,Fabales,Fabaceae,Tephrosia,linearis,Tephrosia linearis,Shrub_Trees,7,93.54,10.78,89.22,28.56,19.07,61.09
1,Genetic bank,243,F24-3492,CIAT-19038,2,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp.,Shrub_Trees,7,90.17,16.04,83.96,23.78,17.61,47.65
1,Genetic bank,245,F24-3493,CIAT-19118,2,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,92.92,11.39,88.61,22.8,24.18,44.31
1,Genetic bank,247,F24-3494,CIAT-19127,2,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,92.25,10.39,89.62,19.5,34.91,57.93
1,Genetic bank,249,F24-3495,CIAT-19128,2,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,92.69,9.45,90.55,17.09,40.01,61.97
1,Genetic bank,251,F24-3496,CIAT-19129,2,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,93.46,11.98,88.02,17.81,36.71,62.08
1,Genetic bank,253,F24-3497,CIAT-19133,2,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,93.13,11.81,88.19,17.49,35.06,55.15
1,Genetic bank,255,F24-3498,CIAT-19137,2,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,93.77,10.96,89.04,18.13,33.34,57.07
1,Genetic bank,257,F24-3499,CIAT-19138,2,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,92.69,11.37,88.63,21.32,32.54,54.03
1,Genetic bank,259,F24-3500,CIAT-19139,2,Fabales,Fabaceae,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Herbaceous_legumes,7,94.61,12.04,87.96,18.54,35.03,58.31
1,Genetic bank,311,F24-3501,CIAT-19213,2,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,9,93.84,11.79,88.21,31.12,37.56,51.31
1,Genetic bank,313,F24-3502,CIAT-19421,2,Fabales,Fabaceae,Uraria,lagopodioides,Uraria lagopodioides,Herbaceous_legumes,9,94.09,18.68,81.32,20.04,27.8,46.04
1,Genetic bank,315,F24-3503,CIAT-19566,2,Fabales,Fabaceae,Tephrosia,noctiflora,Tephrosia noctiflora,Shrub_Trees,9,93.74,12.42,87.58,25.36,19.49,42.6
1,Genetic bank,317,F24-3504,CIAT-19667,2,Fabales,Fabaceae,Indigofera,hirsuta,Indigofera hirsuta,Herbaceous_legumes,9,92.42,9.96,90.04,26.0,37.56,50.53
1,Genetic bank,319,F24-3505,CIAT-19673,2,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,9,92.51,11.98,88.02,25.41,27.8,53.08
1,Genetic bank,321,F24-3506,CIAT-19895,2,Fabales,Fabaceae,Aeschynomene ,americana,Aeschynomene americana,Herbaceous_legumes,10,93.36,11.41,88.59,25.26,25.71,62.06
1,Genetic bank,323,F24-3507,CIAT-20093,2,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,94.36,12.87,87.13,24.07,16.58,50.41
1,Genetic bank,325,F24-3508,CIAT-20113,2,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,94.64,15.79,84.21,18.07,15.92,48.43
1,Genetic bank,327,F24-3509,CIAT-20125,2,Fabales,Fabaceae,Coursetia ,caribaea,Coursetia caribaea,Herbaceous_legumes,10,93.5,13.24,86.76,20.44,18.08,44.23
1,Genetic bank,329,F24-3510,CIAT-20298,2,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,93.66,16.19,83.81,22.85,21.72,43.09
1,Genetic bank,331,F24-3511,CIAT-20305,2,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,93.54,18.34,81.66,23.35,19.38,39.7
1,Genetic bank,333,F24-3512,CIAT-20803,2,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,93.38,15.93,84.06,22.07,15.58,49.53
1,Genetic bank,335,F24-3513,CIAT-21031,2,Fabales,Fabaceae,Christia ,obcordata,Christia obcordata,Herbaceous_legumes,10,94.06,19.67,80.33,20.42,8.94,46.57
1,Genetic bank,337,F24-3514,CIAT-21128,2,Fabales,Fabaceae,Crotalaria,pallida,Crotalaria pallida,Herbaceous_legumes,10,93.46,10.34,89.66,29.38,36.54,43.84
1,Genetic bank,339,F24-3515,CIAT-21212,2,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,93.67,15.0,85.0,22.98,20.77,39.82
1,Genetic bank,341,F24-3516,CIAT-21263,2,Fabales,Fabaceae,Sesbania,rostrata,Sesbania rostrata,Shrub_Trees,10,92.58,13.36,86.64,25.01,15.32,40.69
1,Genetic bank,343,F24-3517,CIAT-21514,2,Fabales,Fabaceae,Desmanthus ,virgatus,Desmanthus virgatus,Shrub_Trees,10,93.55,9.91,90.08,23.25,15.23,55.95
1,Genetic bank,345,F24-3518,CIAT-21565,2,Fabales,Fabaceae,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Herbaceous_legumes,10,92.64,7.89,92.11,19.59,33.72,58.3
1,Genetic bank,347,F24-3519,CIAT-21709,2,Fabales,Fabaceae,Crotalaria ,juncea,Crotalaria juncea,Herbaceous_legumes,10,92.16,16.8,83.2,25.97,23.18,43.06
1,Genetic bank,349,F24-3520,CIAT-22286,2,Fabales,Fabaceae,Crotalaria,micans,Crotalaria micans,Herbaceous_legumes,10,93.58,10.4,89.6,25.3,24.48,43.59
1,Genetic bank,351,F24-3521,CIAT-22475,2,Fabales,Fabaceae,Alysicarpus ,rugosus,Alysicarpus rugosus,Herbaceous_legumes,10,94.16,12.42,87.57,17.41,31.68,64.15
1,Genetic bank,353,F24-3522,CIAT-22481,2,Fabales,Fabaceae,Sesbania,cochinchinensis,Sesbania cochinchinensis,Shrub_Trees,10,91.97,10.46,89.54,31.18,26.64,61.96
1,Genetic bank,355,F24-3523,CIAT-22520,2,Fabales,Fabaceae,Arachis,pusilla,Arachis pusilla,Herbaceous_legumes,10,93.06,14.93,85.07,20.36,22.79,61.22
1,Genetic bank,357,F24-3524,CIAT-22570,2,Fabales,Fabaceae,Desmanthus,bicornutus,Desmanthus bicornutus,Shrub_Trees,10,92.67,8.46,91.54,32.64,19.87,64.71
1,Genetic bank,359,F24-3525,CIAT-22594,2,Fabales,Fabaceae,Desmanthus,pernambucanus,Desmanthus pernambucanus,Shrub_Trees,10,94.58,8.87,91.13,27.26,23.96,58.58
1,Genetic bank,361,F24-3526,CIAT-22754,2,Fabales,Fabaceae,Lablab ,purpureus,Lablab purpureus,Herbaceous_legumes,10,91.68,12.14,87.86,30.03,24.88,51.34
