gene_bank_breeding_id,tax_name,functional_group,ch4_percentage_8h,ch4_percentage_24h,ch4_intensity_ml_g_tddm,tddm_mg_g,ch4_intensity_decrease_percentage,benchmark_vs_control,ch4_intensity_category,tddm_category,score_ch4_intensity,score_tddm,composite_score,x,overall_rank,selected,ch4_percentage_8h_reduction_percentage,ch4_percentage_24h_reduction,top_10_percentage_of_methane_emitters
Gene bank / Breeding ID,Tax Name,"Functional 
Group",CH4% (8h),CH4% (24h),"CH4 Intensity 
[ml/g TDDM]",TDDM [mg/g],CH4 Intensity  Decrease%,Benchmark vs. Control,"CH4 Intensity 
Category","TDDM 
Category","Score
CH4 Intensity","Score
TDDM","Composite 
Score",,"Overall 
Rank",Selected,"CH4% (8h)
Reduction%","CH4% (24h)
Reduction%",Top 10% of methane emitters
CIAT-10647,Stylosanthes scabra,Herbaceous legume,15.9,18.79192154,48.30685803,67.34093523,0.3,#N/A,Medium,High,0,0,0,-99,0,0,-0.137,-0.2,Gene bank / Breeding ID
CIAT-11162,Stylosanthes scabra,Herbaceous legume,12.86666667,13.74138071,36.94343786,45.77448107,0.47,,Low,Not High,0,0,0,-99,0,0,0.08,0.122,CIAT-13651
CIAT-11194,Stylosanthes hamata,Herbaceous legume,15.16666667,18.02387196,46.11538379,59.24865579,0.33,,Medium,Not High,0,0,0,-99,0,0,-0.085,-0.151,CIAT-15160
CIAT-11833,Stylosanthes guianensis,Herbaceous legume,12.71666667,13.8317177,50.4200017,49.86070983,0.27,,Medium,Not High,0,0,0,-99,0,0,0.091,0.117,CIAT-18437
CIAT-11998,Stylosanthes guianensis,Herbaceous legume,12.78,14.57000098,50.22856478,49.7484762,0.27,,Medium,Not High,0,0,0,-99,0,0,0.086,0.07,CIAT-18707
CIAT-11999,Stylosanthes guianensis,Herbaceous legume,12.97777778,16.25165268,46.60779238,58.54567987,0.33,,Medium,Not High,0,0,0,-99,0,0,0.072,-0.038,CIAT-19032
CIAT-12318,Stylosanthes hamata,Herbaceous legume,13.98888889,16.96005211,52.26503186,56.88386164,0.24,,Medium,Not High,0,0,0,-99,0,0,0,-0.083,CIAT-20709
CIAT-1257,Stylosanthes scabra,Herbaceous legume,14.53333333,16.39871277,43.29464125,58.67446657,0.37,,Low,Not High,0,0,0,-99,0,0,-0.039,-0.047,CIAT-21603
CIAT-13268,Tadehagi triquetrum,Herbaceous legume,13.1,14.35436282,42.26789048,51.72237659,0.39,,Low,Not High,0,0,0,-99,0,0,0.063,0.083,CIAT-25704
