40nutrition_no,40nutrition_date,40nutrition_requisitioner,40nutrition_set_ciat,40nutrition_sample_id,40nutrition_gene_bank_breeding_program_id,40nutrition_genus,40nutrition_species,40nutrition_tax_name,40nutrition_dm_percentage,40nutrition_av_dm_105,40nutrition_ash_dm,40nutrition_av_ash_percentage,40nutrition_om_percentage,40nutrition_om_percentage,40nutrition_pc_percentage_dm,40nutrition_av_pc_percentage,40nutrition_adf_percentage_dm,40nutrition_av_adf_percentage_dm,40nutrition_ndf_percentage_dm,40nutrition_av_ndf_percentage_dm
No,Date,,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
1,45572,Genetic bank,1,F24 3416,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,91.93080692,91.97040346,12.72569067,12.67737636,87.27430933,87.32262364,33.01052157,33.01052157,28.48961421,28.05113538,45.21032889,45.22272398
2,45572,Genetic bank,1,F24 3416,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,92.01,,12.62906206,,87.37093794,,33.01052157,,27.61265655,,45.23511907,
3,45572,Genetic bank,1,F24 3417,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,90.64280716,90.09244937,11.91132679,12.07446643,88.08867321,87.92553357,25.39749175,25.39749175,26.19631971,25.44058874,54.55645373,54.10826554
4,45572,Genetic bank,1,F24 3417,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,89.54209158,,12.23760607,,87.76239393,,25.39749175,,24.68485778,,53.66007735,
5,45572,Genetic bank,1,F24 3418,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,91.25174965,91.30260413,7.71337789,7.76302443,92.28662211,92.23697557,31.19171324,31.19171324,26.67696802,25.82373269,55.20337963,54.87890628
6,45572,Genetic bank,1,F24 3418,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,91.35345862,,7.812670971,,92.18732903,,31.19171324,,24.97049736,,54.55443293,
7,45572,Genetic bank,1,F24 3419,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,91.70082992,91.74582542,11.46003707,11.547012,88.53996293,88.452988,27.94809909,27.94809909,28.03361032,28.74740224,52.76025243,50.9986235
8,45572,Genetic bank,1,F24 3419,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,91.79082092,,11.63398693,,88.36601307,,27.94809909,,29.46119416,,49.23699458,
9,45572,Genetic bank,1,F24 3420,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,92.1,92.16577684,8.729641694,8.700864207,91.27035831,91.29913579,29.46000546,29.46000546,25.50083329,25.72686234,53.02758632,54.20871271
10,45572,Genetic bank,1,F24 3420,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,92.23155369,,8.672086721,,91.32791328,,29.46000546,,25.95289139,,55.3898391,
11,45572,Genetic bank,1,F24 3421,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,91.48085191,91.48585141,6.153677998,6.180664135,93.846322,93.81933586,18.97317122,18.97317122,16.19061161,16.74207055,68.96562435,67.4182344
12,45572,Genetic bank,1,F24 3421,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,91.49085091,,6.207650273,,93.79234973,,18.97317122,,17.2935295,,65.87084445,
