10_sample_serial_no,10_date,10_requisitioner,10_requisitioner_2,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_remarks,10_id_lab,10_remarks
Sample serial No,"Date (M,D.Y)",Requisitioner,Requisitioner (2),Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Remarks,ID LAB,Remarks
1,45789,Genetic bank,Juan Jose Gonzáles,14,F24-3536,ABC-32379-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,,OT-033,
2,45789,Genetic bank,Juan Jose Gonzáles,14,F24-3537,ABC-32380-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,,OT-033,
3,45789,Genetic bank,Juan Jose Gonzáles,14,F24-3538,ABC-33249-1,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,,OT-033,
4,45789,Genetic bank,Jorge Peñafiel,14,F24-3612,ABC-398,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,,OT-036,
5,45789,Genetic bank,Jorge Peñafiel,14,F24-3613,ABC-438,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,,OT-036,
6,45789,Genetic bank,Jorge Peñafiel,14,F24-3614,ABC-442,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,,OT-036,
7,45789,Genetic bank,Jorge Peñafiel,14,F24-3615,ABC-466,Vigna,umbellata,Vigna umbellata,Fabaceae,Fabales,Climber,,OT-036,
8,45789,Genetic bank,Jorge Peñafiel,14,F24-3616,ABC-715,Canavalia,ensiformis,Canavalia ensiformis,Fabaceae,Fabales,Climber,,OT-036,
9,45789,Genetic bank,Jorge Peñafiel,14,F24-3617,ABC-887,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,,OT-036,
10,45789,Genetic bank,Jorge Peñafiel,14,F24-3618,ABC-923,Galactia,latisiliqua,Galactia latisiliqua,Fabaceae,Fabales,Climber,,OT-036,
11,45789,Genetic bank,Jorge Peñafiel,14,F24-3619,ABC-3813,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,,OT-036,
12,45789,Genetic bank,Jorge Peñafiel,14,F24-3620,ABC-5512,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,,OT-036,
13,45789,Genetic bank,Jorge Peñafiel,14,F24-3621,ABC-5568,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,,OT-036,
14,45789,Genetic bank,Jorge Peñafiel,14,F24-3622,ABC-5657,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,,OT-036,
15,45789,Genetic bank,Jorge Peñafiel,14,F24-3623,ABC-5744,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,,OT-036,
16,45789,Genetic bank,Jorge Peñafiel,14,F24-3624,ABC-7131,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,,OT-036,
17,45789,Genetic bank,Jorge Peñafiel,14,F24-3625,ABC-7318,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,,OT-036,
18,45789,Genetic bank,Jorge Peñafiel,14,F24-3626,ABC-7395,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,,OT-036,
19,45789,Genetic bank,Jorge Peñafiel,14,F24-3627,ABC-7648,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,,OT-036,
20,45789,Genetic bank,Jorge Peñafiel,14,F24-3628,ABC-7746,Crotalaria,paulina,Crotalaria paulina,Fabaceae,Fabales,Herbaceous,,OT-036,
21,45789,Genetic bank,Jorge Peñafiel,14,F24-3629,ABC-7813,Indigofera,cryptantha,Indigofera cryptantha,Fabaceae,Fabales,Herbaceous,,OT-036,
22,45789,Genetic bank,Jorge Peñafiel,14,F24-3630,ABC-7831,Tephrosia,rhodesica,Tephrosia rhodesica,Fabaceae,Fabales,Shrub,,OT-036,
23,45789,Genetic bank,Jorge Peñafiel,14,F24-3631,ABC-7894,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,,OT-036,
24,45789,Genetic bank,Jorge Peñafiel,14,F24-3632,ABC-7991,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,,OT-036,
25,45789,Genetic bank,Jorge Peñafiel,14,F24-3633,ABC-8202,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,,OT-036,
26,45789,Genetic bank,Jorge Peñafiel,14,F24-3634,ABC-9189,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,,OT-036,
27,45789,Genetic bank,Jorge Peñafiel,14,F24-3635,ABC-9434,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,,OT-036,
28,45789,Genetic bank,Jorge Peñafiel,14,F24-3636,ABC-11162,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,,OT-036,
29,45789,Genetic bank,Jorge Peñafiel,14,F24-3637,ABC-13301,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,,OT-036,
