31_no,31_date,31_requisitioner,31_gene_bank_id,31_genus,31_species,31_tax_name,31_family,31_order,31_functional_group,31_ciat_id,31_set_ciat,31_batch,31_run,31_replication,31_syrange_no,31_sample_weight_g,31_dm_incubated_mg,31_digested_feed_mg,31_time_0h,31_gas_0h_ml,31_time_8h,31_gas_8h_ml,31_ch4_8h_percentage,31_v8_push_back_ml,31_time_24h,31_gas_24h_ml,31_ch4_24h_percentage,31_remarks,31_gp_8h_ml,31_gp_8_24h_ml,31_net_gas_8h_ml,31_net_gas_8_24h_ml2,31_net_gas_24h_ml,31_ch4_8h_ml,31_ch4_8_24h_ml,31_ch4_24h_ml,31_gas_ml_g_dm_incubated_24h,31_percentage_dmd_truly_digestibility,31_part_fact,31_ch4_percentage_in_gas_8h,31_ch4_percentage_in_gas_24h,31_ch4_ml_g_dm_incubated_24h,31_ch4_ml_g_dmd_24h,31_ch4_ml_g_ndf_digested_in_24h,31_ch4_g_g_dm_incubated_24h,31_ch4_g_g_dmd_24h
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Sample weight, g","DM Incubated, mg","Digested feed, mg",Time 0h,"Gas 0h, ml",Time 8h,"Gas 8h, ml",CH4 8h %,"V8 Push back, ml",Time 24h,"Gas 24h, ml","CH4 24h, %",Remarks,"GP 8h, ml","GP 8-24h, ml","Net gas 8h, ml","Net gas 8-24h, ml2","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
1,45789,,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,,,,BLANK 24 H,14,34,1,1,1,,,,0.340972222,39,0.666666667,45,,39.5,0.333333333,46,,,6,6.5,,,,,,,,,,,,,,,,
2,45789,,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,,,,BLANK 24 H,14,34,1,2,3,,,,0.341666667,39,0.666666667,45,,39,0.334027778,46.5,,,6,7.5,,,,,,,,,,,,,,,,
3,45789,Genetic bank,ABC-32379-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,F24-3536,14,34,1,1,4,0.5,464.7,386.8,0.342361111,41,0.666666667,79.5,12.7,40,0.334722222,80,17.5,,38.5,40,0.885006756,29.86897802,30.75398477,0.112395858,5.227071153,5.339467011,66.18029863,83.23649666,12.57723195,12.7,17.3618705,11.49013775,13.80420634,77.53634394,6.377225241,7.661573344
4,45789,Genetic bank,ABC-32379-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,F24-3536,14,34,1,2,5,0.5001,464.79294,237.79294,0.342361111,40.5,0.668055556,78,13.4,40,0.335416667,81,18.3,,37.5,41,28.46771732,30.75398477,59.2217021,3.814674121,5.627979214,9.442653335,127.4152359,51.16104819,4.015300668,13.4,15.94458281,20.31582781,39.70956133,34.55416842,11.27563592,22.03949355
5,45789,Genetic bank,ABC-32379-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,F24-3536,14,34,1,3,6,0.5004,465.07176,246.37176,0.343055556,41,0.668055556,79,13.3,40,0.335416667,80,18.4,,38,40,28.9102207,29.86897802,58.77919872,3.845059353,5.495891955,9.340951308,126.3873745,52.97499896,4.19147871,13.3,15.89159348,20.08496777,37.91405033,36.98492322,11.1475046,21.04295389
6,45789,Genetic bank,ABC-32380-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,F24-3537,14,34,1,1,7,0.5002,466.6866,183.1866,0.343055556,40.5,0.66875,73.5,13.9,40,0.336111111,77.5,18.8,,33,37.5,24.48518692,27.65646113,52.14164805,3.403440982,5.199414692,8.602855674,111.7273306,39.25259478,3.513249137,13.9,16.4990099,18.43390334,46.96225419,22.38737036,10.23113528,26.06486357
7,45789,Genetic bank,ABC-32380-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,F24-3537,14,34,1,2,8,0.5004,466.8732,160.6732,0.34375,40,0.669444444,75,13.4,40,0.336805556,76,18.8,,35,36,26.25520043,26.32895099,52.58415142,3.518196858,4.949842787,8.468039645,112.6304774,34.41474045,3.055544221,13.4,16.10378682,18.13777198,52.70349781,16.20638872,10.06677725,29.25135311
8,45789,Genetic bank,ABC-32380-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,F24-3537,14,34,1,3,9,0.5002,466.6866,186.8866,0.344444444,40,0.669444444,74,13.2,40,0.336805556,77,18.8,,34,37,25.37019367,27.21395775,52.58415142,3.348865565,5.116224057,8.465089622,112.6755116,40.04541806,3.554048034,13.2,16.09817672,18.13870298,45.2953268,23.40030415,10.06729397,25.13969003
9,45789,Genetic bank,ABC-33249-1,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,F24-3538,14,34,1,1,10,0.5002,465.83626,184.53626,0.344444444,40,0.670138889,81,15,40,0.3375,81.5,18.3,,41,41.5,31.56524097,31.19648815,62.76172912,4.734786145,5.708957332,10.44374348,134.7291624,39.61397509,2.940267303,15,16.64030552,22.41934425,56.59453311,23.79350718,12.44312394,31.41094502
