32_no,32_date,32_requisitioner,32_gene_bank_id,32_genus,32_species,32_tax_name,32_family,32_order,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_ndf_digestibillity_in_24h,32_remarks
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks
1,45789,,BLANK 24 H,,,BLANK 24 H,,,,BLANK 24 H,14,34,1,1,1,,,,,,,,,,
2,45789,,BLANK 24 H,,,BLANK 24 H,,,,BLANK 24 H,14,34,1,2,3,,,,,,,,,,
3,45789,Genetic bank,ABC-32379-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,F24-3536,14,34,1,1,4,0.6072,0.6851,"Bolsa abierta, perdida de muestra",0.0779,386.8,83.23649666,346.782375,268.882375,77.53634394,Eliminó
4,45789,Genetic bank,ABC-32379-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,F24-3536,14,34,1,2,5,0.5856,0.8126,,0.227,237.79294,51.16104819,346.8517315,119.8517315,34.55416842,
5,45789,Genetic bank,ABC-32379-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,F24-3536,14,34,1,3,6,0.5837,0.8024,,0.2187,246.37176,52.97499896,347.0598009,128.3598009,36.98492322,
6,45789,Genetic bank,ABC-32380-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,F24-3537,14,34,1,1,7,0.5931,0.8766,,0.2835,183.1866,39.25259478,365.2756018,81.77560182,22.38737036,
7,45789,Genetic bank,ABC-32380-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,F24-3537,14,34,1,2,8,0.5994,0.9056,,0.3062,160.6732,34.41474045,365.4216536,59.22165364,16.20638872,
8,45789,Genetic bank,ABC-32380-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,F24-3537,14,34,1,3,9,0.6091,0.8889,,0.2798,186.8866,40.04541806,365.2756018,85.47560182,23.40030415,
9,45789,Genetic bank,ABC-33249-1,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,F24-3538,14,34,1,1,10,0.6196,0.9009,,0.2813,184.53626,39.61397509,369.1286524,87.82865242,23.79350718,
10,45789,Genetic bank,ABC-33249-1,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,F24-3538,14,34,1,2,11,0.602,0.8701,,0.2681,197.64313,42.43608059,369.0548562,100.9548562,27.35497298,
11,45789,Genetic bank,ABC-33249-1,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,F24-3538,14,34,1,3,12,0.5805,0.8698,,0.2893,176.35,37.87179212,368.98106,79.68106,21.59489162,
12,45789,Genetic bank,ABC-398,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,F24-3612,14,34,1,1,13,0.5949,0.8871,,0.2922,166.90857,36.35492363,232.9057776,-59.29422244,-25.45845924,
13,45789,Genetic bank,ABC-398,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,F24-3612,14,34,1,2,14,0.6045,0.8788,,0.2743,184.900355,40.26572562,232.9523401,-41.34765991,-17.74940741,
14,45789,Genetic bank,ABC-398,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,F24-3612,14,34,1,3,15,0.5863,0.8687,,0.2824,176.983925,38.52636441,233.0454652,-49.35453485,-21.17807133,
15,45789,Genetic bank,ABC-438,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,F24-3613,14,34,1,1,16,0.5975,0.8915,,0.294,174.425,37.23648396,281.9684288,-12.03157125,-4.266992338,
16,45789,Genetic bank,ABC-438,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,F24-3613,14,34,1,2,17,0.5887,0.8666,,0.2779,190.89974,40.72095688,282.1940035,4.294003493,1.521649447,
17,45789,Genetic bank,ABC-438,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,F24-3613,14,34,1,3,18,0.5848,0.8634,,0.2786,190.293425,40.58351319,282.2503972,3.650397179,1.293318704,
18,45789,Genetic bank,ABC-442,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,F24-3614,14,34,1,1,19,0.5919,0.8837,,0.2918,177.99394,37.88766198,259.8900076,-31.90999239,-12.27826829,
19,45789,Genetic bank,ABC-442,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,F24-3614,14,34,1,2,20,0.584,0.8302,,0.2462,223.87576,47.62546361,260.0459104,13.84591043,5.324409989,
20,45789,Genetic bank,ABC-442,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,F24-3614,14,34,1,3,21,0.5644,0.8427,,0.2783,191.49394,40.76126227,259.8900076,-18.40999239,-7.083763074,
21,45789,Genetic bank,ABC-466,Vigna,umbellata,Vigna umbellata,Fabaceae,Fabales,Climber,F24-3615,14,34,1,1,22,0.6024,0.7753,,0.1729,290.99276,62.72845474,209.1924401,36.29244012,17.34882967,
22,45789,Genetic bank,ABC-466,Vigna,umbellata,Vigna umbellata,Fabaceae,Fabales,Climber,F24-3615,14,34,1,2,23,0.5564,0.7271,,0.1707,293.28552,63.2100588,209.2342702,38.53427024,18.41680629,
