10_sample_serial_no,10_date,10_requisitioner,10_requisitioner_2,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_remarks,10_id_lab,10_remarks_2
Sample serial No,"Date (M,D.Y)",Requisitioner,Requisitioner (2),Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Remarks,ID LAB,Remarks
1,45923,Genetic bank,Juan José Gonzalez,23,F243540,ABC-1467-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,,
2,45923,Genetic bank,Juan José Gonzalez,23,F243541,ABC-1475-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,,
3,45923,Genetic bank,Jorge Penafiel,23,F25-0954,ABC-23326,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-005,,
4,45923,Genetic bank,Jorge Penafiel,23,F25-0971,ABC-13149,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,OT-005,,
5,45923,Genetic bank,Jorge Penafiel,23,F25-0974,ABC-13946,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,OT-005,,
6,45923,Genetic bank,Jorge Penafiel,23,F25-0980,ABC-19867,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,OT-005,,
7,45923,Genetic bank,Jorge Penafiel,23,F25-1651,CIAT-798,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,OT-008,,
8,45923,Genetic bank,Jorge Penafiel,23,F25-1652,CIAT-822,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,OT-008,,
9,45923,Genetic bank,Jorge Penafiel,23,F25-1653,CIAT-852,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,,
10,45923,Genetic bank,Jorge Penafiel,23,F25-1654,CIAT-907,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,,
11,45923,Genetic bank,Jorge Penafiel,23,F25-1655,CIAT-1992,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-008,,
12,45923,Genetic bank,Jorge Penafiel,23,F25-1656,CIAT-3001,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,,
13,45923,Genetic bank,Jorge Penafiel,23,F25-1657,CIAT-3304,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,OT-008,,
14,45923,Genetic bank,Jorge Penafiel,23,F25-1658,CIAT-5713,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,OT-008,,
15,45923,Genetic bank,Jorge Penafiel,23,F25-1659,CIAT-7381,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,OT-008,,
16,45923,Genetic bank,Jorge Penafiel,23,F25-1660,CIAT-7799,Dioclea,guianensis,Dioclea guianensis,Fabaceae,Fabales,Climber,OT-008,,
17,45923,Genetic bank,Jorge Penafiel,23,F25-1661,CIAT-7803,Dioclea,holtiana,Dioclea holtiana,Fabaceae,Fabales,Climber,OT-008,,
18,45923,Genetic bank,Jorge Penafiel,23,F25-1662,CIAT-8182,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,OT-008,,
19,45923,Genetic bank,Jorge Penafiel,23,F25-1663,CIAT-8434,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,,
20,45923,Genetic bank,Jorge Penafiel,23,F25-1664,CIAT-8702,Calopogonium,caeruleum,Calopogonium caeruleum,Fabaceae,Fabales,Climber,OT-008,,
21,45923,Genetic bank,Jorge Penafiel,23,F25-1665,CIAT-8816,Crotalaria,micans,Crotalaria micans,Fabaceae,Fabales,Herbaceous,OT-008,,
22,45923,Genetic bank,Jorge Penafiel,23,F25-1666,CIAT-8826,Zapoteca,formosa,Zapoteca formosa,Fabaceae,Fabales,Shrub,OT-008,,
23,45923,Genetic bank,Jorge Penafiel,23,F25-1667,CIAT-9578,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,,ELIMINADA REPETIDA SET CIAT 24
24,45923,Genetic bank,Jorge Penafiel,23,F25-1668,CIAT-9740,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,,
25,45923,Genetic bank,Jorge Penafiel,23,F25-1669,CIAT-9934,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,OT-008,,
26,45923,Breeding,,23,F25-2096,CIAT-PM21_4448,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,OT-013,,
27,45923,Breeding,,23,F25-2101,CIAT-CIAT_16071,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,OT-013,,
28,45923,Breeding,,23,F25-2105,CIAT-BR09_4467,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,OT-013,,
29,45923,LMF-invivo,Isabel Molina,23,F25-2131,Muestra # 02,Cynodon,nlenfuensis,Cynodon nlemfuensis, Poaceae,Poales,grasses,OT-016,,
30,45923,Breeding,,23,F25-2170,CIAT-BH22_0765,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-020,,
31,45923,Breeding,,23,F25-2171,CIAT-BH22_2531,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-020,,
32,45923,LMF,,23,F25-0017,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,,,,OT-002,,
33,45923,LMF,,23,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,,,,OT-001,,
34,45950,Genetic bank,Jorge Penafiel,24,F25-1667,CIAT-9578,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,"49,50,51",
35,45950,Genetic bank,Jorge Penafiel,24,F25-1670,CIAT-13158,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",
36,45950,Genetic bank,Jorge Penafiel,24,F25-1671,CIAT-13329,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",
37,45950,Genetic bank,Jorge Penafiel,24,F25-1672,CIAT-13387,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",
38,45950,Genetic bank,Jorge Penafiel,24,F25-1673,CIAT-13547,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",
39,45950,Genetic bank,Jorge Penafiel,24,F25-1674,CIAT-13953,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",
40,45950,Genetic bank,Jorge Penafiel,24,F25-1675,CIAT-15086,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,OT-008,"49,50,51",
41,45950,Genetic bank,Jorge Penafiel,24,F25-1676,CIAT-17403,Flemingia,macrophylla,Flemingia macrophylla,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",
42,45950,Genetic bank,Jorge Penafiel,24,F25-1677,CIAT-17519,Mimosa,somnians,Mimosa somnians,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",
43,45950,Genetic bank,Jorge Penafiel,24,F25-1678,CIAT-17896,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",
