24_no,24_requisitioner,24_set_ciat,24_ciat_lab_id,24_gene_bank_breeding_program_id,24_genus,24_species,24_tax_name,24_family,24_order,24_functional_group,24_replication,24_ndf,24_av_ndf_percentage_dm,
No,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Replication,," Av NDF, % (DM)",
1,Genetic bank,23,F243540,ABC-1467-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,53.65239714,52.92729421,
2,Genetic bank,23,F243540,ABC-1467-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,52.20219129,,
3,Genetic bank,23,F243541,ABC-1475-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,58.2158637,56.45312509,
4,Genetic bank,23,F243541,ABC-1475-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,54.69038649,,
5,Genetic bank,23,F25-0954,ABC-23326,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,A,40.57,40,
6,Genetic bank,23,F25-0954,ABC-23326,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,B,39.43,,
7,Genetic bank,23,F25-0971,ABC-13149,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,A,51,49.675,
8,Genetic bank,23,F25-0971,ABC-13149,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,B,48.35,,
9,Genetic bank,23,F25-0974,ABC-13946,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,A,60.63,60.83,
10,Genetic bank,23,F25-0974,ABC-13946,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,B,61.03,,
11,Genetic bank,23,F25-0980,ABC-19867,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,A,43.08,44.285,
12,Genetic bank,23,F25-0980,ABC-19867,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,B,45.49,,
13,Genetic bank,23,F25-1651,CIAT-798,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,A,56.07531623,56.89266389,
14,Genetic bank,23,F25-1651,CIAT-798,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,B,57.71001155,,
15,Genetic bank,23,F25-1652,CIAT-822,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,A,47.17079133,46.80180129,
