32_no,32_date,32_gene_bank_id,32_tax_name,32_family,32_order,32_genus2,32_species3,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_percentage_ndf_digestibility_in_24h,32_remarks2
No,Date,Gene Bank ID,Tax Name,Family,Order,Genus2,Species3,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks
1,45630,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,23,46,1,1,1,,,,,,,,,,
2,45630,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,23,46,1,2,2,,,,,,,,,,
3,45630,ABC-1467-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243540,23,46,1,1,3,0.608,0.608,,0.18,283.075,61.12940668,245.0930677,65.09306768,26.55851032,
4,45630,ABC-1467-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243540,23,46,1,2,4,0.6378,0.6378,"Se descarta muestra, porque a la hora del filtrado la bolsa se rompio por la parte inferior, hubo perdida de muestra.",,,,,,,
5,45630,ABC-1467-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243540,23,46,1,3,5,0.5954,0.5954,,0.172,291.26023,62.87183987,245.1911049,73.1911049,29.85063628,
6,45630,ABC-1475-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243541,23,46,1,1,6,0.6015,0.6015,,0.203,250.95,55.28141866,256.2689614,53.26896136,20.78634926,
7,45630,ABC-1475-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243541,23,46,1,2,7,0.5987,0.5987,,0.178,276.40395,60.8278053,256.5252303,78.52523032,30.61111386,
8,45630,ABC-1475-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243541,23,46,1,3,8,0.5775,0.5775,,0.194,259.95,57.26401586,256.2689614,62.26896136,24.29828452,
9,45630,ABC-23326,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-0954,23,46,1,1,9,0.5883,0.5883,,0.183,296.39168,61.82662161,191.756672,8.756672,4.566554013,
