32_no,32_date,32_requisitioner,32_gene_bank_id,32_genus,32_species,32_tax_name,32_family,32_order,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_percentage_ndf_digestibility_in_24h,32_remarks_1,32_remarks_2
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks,
1,45630,0,BLANK 24 H,BLANK,0,BLANK 24 H,0,0,0,BLANK24H,27,58,1,1,181,,,,,,,,,,,
2,45630,0,BLANK 24 H,BLANK,0,BLANK 24 H,0,0,0,BLANK24H,27,58,1,2,182,,,,,,,,,,,
3,45630,Genbank,CIAT-13262,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251728,27,58,1,1,183,0.5707,0.8995,,0.3288,146.5259358,30.82641294,287.1175836,-41.68241641,-14.51754222,,
4,45630,Genbank,CIAT-13262,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251728,27,58,1,2,184,0.5789,1.0675,,,,,,,,*,Eliminado Dig negativo
5,45630,Genbank,CIAT-13262,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251728,27,58,1,3,185,0.5888,0.9479,,0.3591,116.0360712,24.4216506,287.0028971,-72.09710289,-25.12068819,*,Eliminado Dig negativo
6,45630,Genbank,CIAT-13528,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251729,27,58,1,1,186,0.5609,0.9439,,0.383,92.22870438,19.4072251,270.3079384,-112.6920616,-41.69025234,,
7,45630,Genbank,CIAT-13528,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251729,27,58,1,2,187,0.574,0.9345,,0.3605,115.2039331,24.21757002,270.5782463,-89.92175367,-33.23317927,,
8,45630,Genbank,CIAT-13528,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251729,27,58,1,3,188,0.549,0.8977,,0.3487,126.9088873,26.68345582,270.5241847,-78.17581526,-28.89790254,,
9,45630,Genbank,CIAT-13529,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251730,27,58,1,1,189,0.5667,0.9093,,0.3426,129.8454148,27.48368609,283.2026078,-59.39739221,-20.97346231,,
