40_sample_serial_no,40_dat,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_av_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
1,46041,Genbank,27,F251728,CIAT-13262,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.90254873,94.93228196,8.675533642,8.697026471,91.32446636,91.30297353,18.98095108,18.98095108,47.87499326,47.52317706,61.50467768,60.40435877
2,46041,Genbank,27,F251728,CIAT-13262,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.96201519,,8.7185193,,91.2814807,,18.98095108,,47.17136086,,59.30403987,
3,46041,Genbank,27,F251729,CIAT-13528,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,95.00049995,95.04574088,7.585062735,7.584683557,92.41493727,92.41531644,16.89700161,16.89700161,48.31275422,48.36218724,57.21705512,56.87954787
4,46041,Genbank,27,F251729,CIAT-13528,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,95.0909818,,7.58430438,,92.41569562,,16.89700161,,48.41162026,,56.54204062,
5,46041,Genbank,27,F251730,CIAT-13529,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.30284858,94.35698318,6.715805626,6.690322969,93.28419437,93.30967703,18.17097604,18.17097604,44.49306584,45.32812119,61.91582388,59.94398484
6,46041,Genbank,27,F251730,CIAT-13529,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.41111778,,6.664840312,,93.33515969,,18.17097604,,46.16317653,,57.97214579,
7,46041,Genbank,27,F251731,CIAT-13710,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,94.09295352,94.1326423,7.549396897,7.491369387,92.4506031,92.50863061,19.13818782,19.13818782,53.58756689,55.17177684,63.79573738,64.35700251
8,46041,Genbank,27,F251731,CIAT-13710,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,94.17233107,,7.433341877,,92.56665812,,19.13818782,,56.75598679,,64.91826764,
9,46041,Genbank,27,F251732,CIAT-22004,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.18058194,94.29584986,6.786470532,6.812638277,93.21352947,93.18736172,17.58227963,17.58227963,49.28870337,49.20313501,62.6581936,63.60852582
10,46041,Genbank,27,F251732,CIAT-22004,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.41111778,,6.838806021,,93.16119398,,17.58227963,,49.11756665,,64.55885804,
11,46041,Genbank,27,F251733,CIAT-23104,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,92.62295082,92.63257908,7.035746071,6.998325401,92.96425393,93.0016746,19.39471605,19.39471605,55.82959129,57.00503903,66.32656095,67.21953003
12,46041,Genbank,27,F251733,CIAT-23104,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,92.64220734,,6.960904732,,93.03909527,,19.39471605,,58.18048678,,68.11249911,
13,46041,Genbank,27,F251734,CIAT-23106,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.50274863,94.65267366,6.800422386,6.853220697,93.19957761,93.1467793,21.88530889,21.88530889,56.17069553,55.75098488,68.63441637,67.76100615
14,46041,Genbank,27,F251734,CIAT-23106,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.8025987,,6.906019007,,93.09398099,,21.88530889,,55.33127423,,66.88759593,
15,46041,Genbank,27,F251735,CIAT-23107,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.96251874,94.98700765,6.839621318,6.919239561,93.16037868,93.08076044,21.24081713,21.24081713,51.06696558,51.07086181,67.34624903,67.2167779
16,46041,Genbank,27,F251735,CIAT-23107,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.01149655,,6.998857805,,93.0011422,,21.24081713,,51.07475804,,67.08730677,
17,46041,Genbank,27,F251736,CIAT-23108,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.47331601,94.54327404,6.871035941,6.929175476,93.12896406,93.07082452,21.58733126,21.58733126,58.3132482,58.16741146,69.58716574,69.36610063
18,46041,Genbank,27,F251736,CIAT-23108,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.61323206,,6.987315011,,93.01268499,,21.58733126,,58.02157471,,69.14503552,
19,46041,Genbank,27,F251737,CIAT-23412,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.38168549,94.18764467,7.238693183,7.274745611,92.76130682,92.72525439,21.25980993,21.14714305,49.55988298,50.97707007,62.08548365,62.1361665
20,46041,Genbank,27,F251737,CIAT-23412,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,93.99360384,,7.310798039,,92.68920196,,21.03447618,,52.39425717,,62.18684935,
21,46041,Genbank,27,F251738,CIAT-23413,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,93.17273091,93.52667142,7.502879142,7.498658928,92.49712086,92.50134107,21.31752628,21.31752628,53.27133251,54.59114653,65.337062,66.22603541
22,46041,Genbank,27,F251738,CIAT-23413,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,93.88061194,,7.494438713,,92.50556129,,21.31752628,,55.91096055,,67.11500881,
23,46041,Genbank,27,F251739,CIAT-23419,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,93.81309345,93.95743146,7.223065372,7.202507611,92.77693463,92.79749239,20.19491829,20.19491829,56.13635627,56.43442414,67.803578,67.78394011
24,46041,Genbank,27,F251739,CIAT-23419,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.10176947,,7.181949849,,92.81805015,,20.19491829,,56.73249201,,67.76430223,
25,46041,Genbank,27,F251740,CIAT-23422,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,91.79328269,91.85744918,7.08423443,7.063174198,92.91576557,92.9368258,21.67495417,21.67495417,52.99601533,54.62975611,66.23846684,66.57310598
26,46041,Genbank,27,F251740,CIAT-23422,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,91.92161568,,7.042113967,,92.95788603,,21.67495417,,56.26349688,,66.90774512,
27,46041,Genbank,27,F251741,CIAT-23734,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.63053695,94.71104974,7.844129164,7.859177882,92.15587084,92.14082212,21.43501368,21.43501368,46.54285785,47.21960114,61.49707875,62.02315039
28,46041,Genbank,27,F251741,CIAT-23734,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.79156253,,7.8742266,,92.1257734,,21.43501368,,47.89634444,,62.54922202,
29,46041,Genbank,27,F251742,CIAT-23932,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.12195122,95.12195122,7.292980244,7.292980244,92.70701976,92.70701976,18.84082731,18.84082731,48.77625445,49.89224893,63.45312053,63.09107017
30,46041,Genbank,27,F251742,CIAT-23932,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.12195122,,7.292980244,,92.70701976,,18.84082731,,51.00824342,,62.72901982,
