40n_no,40n_set_ciat,40n_sample_id,40n_gene_bank_breeding_program_id,40n_genus,40n_species,40n_tax_name,40n_family,40n_order,40n_functional_group,40n_ot,40n_dm_percentage,40n_av_dm_105,40n_ash_dm,40n_av_ash_percentage,40n_om_percentage,40n_om_percentage,40n_pc_percentage_dm,40n_av_pc_percentage,40n_adf_percentage_dm,40n_av_adf_percentage_dm,40n_ndf_percentage_dm,40n_av_ndf_percentage_dm
No,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,OT,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
1,23,F24 3540,ABC-1467-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,92.5,92.615,8.49,8.54,91.51,91.46,13.64,13.64,35.11,34.775,53.65239714,52.92729421
2,23,F24 3540,ABC-1467-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,92.73,,8.59,,91.41,,13.64,,34.44,,52.20219129,
3,23,F24 3541,ABC-1475-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,90.62,90.79,8.7,8.755,91.3,91.245,17.29,17.29,37.69,37.43,58.2158637,56.45312509
4,23,F24 3541,ABC-1475-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,90.96,,8.81,,91.19,,17.29,,37.17,,54.69038649,
5,23,F25 0954,ABC-23326,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-005,95.77,95.84,14.95,15.05,85.05,84.95,18.11,18.11,23.08,23,40.57,40
6,23,F25 0954,ABC-23326,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-005,95.91,,15.15,,84.85,,18.11,,22.92,,39.43,
7,23,F25 0971,ABC-13149,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,OT-005,93.7,93.775,8.14,8.185,91.86,91.815,13.45,13.45,35.26,35.325,51,49.675
8,23,F25 0971,ABC-13149,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,OT-005,93.85,,8.23,,91.77,,13.45,,35.39,,48.35,
9,23,F25 0974,ABC-13946,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,OT-005,93.83,93.825,6.83,6.805,93.17,93.195,14.37,14.37,52.96,53.08,60.63,60.83
10,23,F25 0974,ABC-13946,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,OT-005,93.82,,6.78,,93.22,,14.37,,53.2,,61.03,
11,23,F25 0980,ABC-19867,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,OT-005,95.86,95.9,15.49,15.455,84.51,84.545,19.32,19.32,25.22,25.83,43.08,44.285
12,23,F25 0980,ABC-19867,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,OT-005,95.94,,15.42,,84.58,,19.32,,26.44,,45.49,
13,23,F25 1651,CIAT-798,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,OT-008,92.59074093,92.61258014,11.098894,11.09612094,88.901106,88.90387906,17.13448106,17.14905641,24.78973458,24.94540367,56.07531623,56.89266389
14,23,F25 1651,CIAT-798,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,OT-008,92.63441935,,11.09334788,,88.90665212,,17.16363176,,25.10107275,,57.71001155,
15,23,F25 1652,CIAT-822,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,OT-008,94.03238705,94.05208276,6.706366116,6.642926026,93.29363388,93.35707397,17.00895537,17.00895537,27.16761458,26.71941801,47.17079133,46.80180129
16,23,F25 1652,CIAT-822,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,OT-008,94.07177847,,6.579485935,,93.42051406,,17.00895537,,26.27122145,,46.43281125,
17,23,F25 1653,CIAT-852,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,93.72313843,93.7684251,9.540020776,9.555531325,90.45997922,90.44446867,14.73367257,14.73367257,45.57818948,45.61641176,64.52916051,63.41092761
18,23,F25 1653,CIAT-852,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,93.81371177,,9.571041874,,90.42895813,,14.73367257,,45.65463403,,62.29269472,
19,23,F25 1654,CIAT-907,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,92.92212336,92.96745912,9.290787184,9.284946755,90.70921282,90.71505325,16.70905083,16.70905083,33.0690178,33.35026429,61.15222931,61.77493281
20,23,F25 1654,CIAT-907,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,93.01279488,,9.279106326,,90.72089367,,16.70905083,,33.63151079,,62.39763632,
21,23,F25 1655,CIAT-1992,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-008,93.64,92.46630611,8.467949386,8.31531848,91.53205061,91.68468152,19.94531352,19.94531352,37.8621994,38.55258672,60.93641064,60.22108633
22,23,F25 1655,CIAT-1992,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-008,91.29261222,,8.162687575,,91.83731243,,19.94531352,,39.24297403,,59.50576202,
23,23,F25 1656,CIAT-3001,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,94.43111378,94.49582886,6.961877939,6.972807418,93.03812206,93.02719258,15.81615439,15.81615439,39.57242705,40.09354549,58.11104238,57.839963
24,23,F25 1656,CIAT-3001,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,94.56054395,,6.983736897,,93.0162631,,15.81615439,,40.61466393,,57.56888362,
25,23,F25 1657,CIAT-3304,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,OT-008,94.87102579,94.91076537,8.19553428,8.195944015,91.80446572,91.80405598,20.82484313,20.82484313,24.77690357,24.96748591,47.72310356,46.60975324
26,23,F25 1657,CIAT-3304,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,OT-008,94.95050495,,8.196353751,,91.80364625,,20.82484313,,25.15806825,,45.49640292,
27,23,F25 1658,CIAT-5713,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,OT-008,94.60269865,94.6424129,9.377996552,9.341498746,90.62200345,90.65850125,15.88423229,15.88423229,24.7272453,24.60852453,45.3831957,45.89872594
28,23,F25 1658,CIAT-5713,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,OT-008,94.68212715,,9.305000939,,90.69499906,,15.88423229,,24.48980377,,46.41425618,
29,23,F25 1659,CIAT-7381,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,OT-008,94.14175747,94.47087874,12.68793541,12.77452078,87.31206459,87.22547922,13.57733849,13.57733849,46.78905476,46.85874716,69.35196774,68.33942305
30,23,F25 1659,CIAT-7381,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,OT-008,94.8,,12.86110616,,87.13889384,,13.57733849,,46.92843955,,67.32687836,
31,23,F25 1660,CIAT-7799,Dioclea,guianensis,Dioclea guianensis,Fabaceae,Fabales,Climber,OT-008,93.39198241,93.46293104,7.818936959,7.769646262,92.18106304,92.23035374,20.9527222,20.37739203,52.63036648,52.91980391,65.46390562,65.24709435
32,23,F25 1660,CIAT-7799,Dioclea,guianensis,Dioclea guianensis,Fabaceae,Fabales,Climber,OT-008,93.53387967,,7.720355565,,92.27964444,,19.80206186,,53.20924133,,65.03028307,
33,23,F25 1661,CIAT-7803,Dioclea,holtiana,Dioclea holtiana,Fabaceae,Fabales,Climber,OT-008,94.21289355,94.24259232,11.443454,11.45463261,88.556546,88.54536739,20.26242214,20.30719452,42.34795436,41.01564449,57.90467215,58.23852862
34,23,F25 1661,CIAT-7803,Dioclea,holtiana,Dioclea holtiana,Fabaceae,Fabales,Climber,OT-008,94.27229108,,11.46581123,,88.53418877,,20.3519669,,39.68333463,,58.57238508,
35,23,F25 1662,CIAT-8182,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,OT-008,93.16478465,93.32304419,7.26000462,7.31538588,92.73999538,92.68461412,13.82686494,13.82686494,47.43167711,46.99468757,63.34230175,63.36005574
36,23,F25 1662,CIAT-8182,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,OT-008,93.48130374,,7.37076714,,92.62923286,,13.82686494,,46.55769802,,63.37780974,
