ch4_ml_g_ndf_digested_24h,CH4_Decrease_Pct,Benchmark_vs_Control,CH4_Category,TDDM_Category,Z_Score_CH4,Z_Score_TDDM,Composite_Score,Overall_Rank,CH4_8h_Reduction_Pct,CH4_24h_Reduction_Pct,Accession_ID,CH4_Intensity,TDDM,CH4_8h,category,functional_group
100.2753571,58.54606055,33.71693585,Low,High,1.287870623,2.003778284,4.57951953,1,-2.206782773,#N/A,CIAT-BR-02-1752,33.82558661,67.38520137,13.97777778,Category_1a,Grasses
91.55408067,57.99987939,32.8436157,Low,High,1.255894612,1.786520215,4.298309439,2,-3.912937334,#N/A,CIAT-Mulato-II,34.27125952,65.31952458,14.21111111,Category_1a,Grasses
108.1966359,55.82738514,29.36989094,Low,High,1.128706592,1.925807647,4.18322083,3,-0.632652076,#N/A,CIAT-BR-09-1232,36.04397144,66.64386119,13.7625,Category_1a,Grasses
103.446458,56.18030467,29.93419408,Low,High,1.149368159,1.85107277,4.149809088,4,-4.887882798,#N/A,CIAT-BR-12-4951,35.75599615,65.93328643,14.34444444,Category_1a,Grasses
108.270091,55.90497795,29.49395851,Low,High,1.133249239,1.676498646,3.942997125,5,-6.847929407,#N/A,CIAT-BR-06-0423,35.98065725,64.27344606,14.6125,Category_1a,Grasses
116.139978,56.16582004,29.91103377,Low,High,1.148520161,1.644553484,3.941593805,6,-0.825610032,#N/A,CIAT-BR-02-1794,35.76781532,63.96971335,13.78888889,Category_1a,Grasses
314.5182096,55.06447926,28.15003729,Low,High,1.084042497,1.690867234,3.858952229,7,12.57989009,#N/A,CIAT-BR-12-1362,36.6664874,64.41006173,11.95555556,Category_1a,Grasses
107.1233399,54.46273375,27.18787214,Low,High,1.048813488,1.593354279,3.690981255,8,-1.881800951,#N/A,CIAT-BR-19-0423,37.15749971,63.48291436,13.93333333,Category_1a,Grasses
106.3740181,55.81232822,29.34581558,Low,High,1.127825089,1.348198324,3.603848501,9,-2.46067482,#N/A,CIAT-BR-15-6487,36.05625758,61.15198613,14.0125,Category_1a,Grasses
105.0022714,55.69706548,29.16151542,Low,High,1.121077067,1.320861078,3.563015211,10,-4.400410066,#N/A,CIAT-BR-15-0722,36.15030967,60.89206522,14.27777778,Category_1a,Grasses
345.7941643,55.8354115,29.38272475,Low,High,1.129176493,1.241183904,3.499536889,11,9.330071881,#N/A,CIAT-BR-12-1620,36.03742209,60.13449939,12.4,Category_1a,Grasses
335.9709798,53.79743753,26.12409213,Low,High,1.009863922,1.394368218,3.414096061,12,8.436371872,#N/A,CIAT-BR-12-0461,37.70036814,61.59096673,12.52222222,Category_1a,Grasses
117.4763639,53.14511733,25.08106021,Low,High,0.971674032,1.436946992,3.380295056,13,-1.912267997,#N/A,CIAT-BR-19-0029,38.2326484,61.99580318,13.9375,Category_1a,Grasses
374.3268936,54.07255661,26.56399568,Low,High,1.025970685,1.239709269,3.291650638,14,9.980035523,#N/A,CIAT-BR-12-0255,37.47587647,60.12047865,12.31111111,Category_1a,Grasses
331.7563919,47.81359167,16.55618027,Low,High,0.659541471,1.25855956,2.577642503,15,-0.338137301,#N/A,CIAT-PM-21-2580,42.58306684,60.2997061,13.72222222,Category_1a,Grasses
119.9833225,38.92112806,2.337513868,Low,High,0.138934873,1.239364865,1.51723461,16,-26.01170118,#N/A,CIAT-PM-21-6628,49.83913953,60.11720408,17.23333333,Category_1a,Grasses
139.4125121,35.13342413,-3.71886162,Low,High,-0.082815111,1.470756966,1.305126744,17,-24.30554662,#N/A,CIAT-PM-21-3537,52.92983029,62.31726641,17,Category_1a,Grasses
635.5422785,58.99168682,34.42947307,Low,Not High,1.313959679,0.79383283,1.313959679,1,18.99828106,#N/A,CIAT-BR-12-3868,33.46196447,55.88111201,11.07777778,Category_2,Grasses
416.360862,56.15040715,29.88638922,Low,Not High,1.147617818,0.828033136,1.147617818,2,5.349044571,#N/A,CIAT-BR-12-2462,35.78039193,56.20628648,12.94444444,Category_2,Grasses
408.0486319,55.10106779,28.20854077,Low,Not High,1.086184562,1.015158066,1.086184562,3,14.85476284,#N/A,CIAT-BR-12-1889,36.63663189,57.98545919,11.64444444,Category_2,Grasses
164.5140248,54.89540679,27.87969769,Low,Not High,1.0741442,0.893583876,1.0741442,4,12.33615373,#N/A,CIAT-BR-15-2811,36.80444716,56.82953902,11.98888889,Category_2,Grasses
385.1211006,53.27585779,25.29010857,Low,Not High,0.979328193,0.824520516,0.979328193,5,10.54875371,#N/A,CIAT-BR-12-4039,38.1259668,56.17288871,12.23333333,Category_2,Grasses
437.1241867,53.12875128,25.0548916,Low,Not High,0.970715886,0.945873035,0.970715886,6,10.87373553,#N/A,CIAT-BR-15-2558,38.24600277,57.32670123,12.18888889,Category_2,Grasses
772.2863773,51.98369208,23.22399124,Low,Not High,0.903678741,0.239851729,0.903678741,7,13.39234465,#N/A,CIAT-BR-19-1343,39.18034821,50.61389268,11.84444444,Category_2,Grasses
501.4826746,50.67814511,21.13647786,Low,Not High,0.827245888,0.693696347,0.827245888,8,4.374099107,#N/A,CIAT-BR-15-2891,40.24564846,54.9290203,13.07777778,Category_2,Grasses
535.60664,50.55860623,20.94534034,Low,Not High,0.82024752,0.629571331,0.82024752,9,7.217690043,#N/A,CIAT-BR-15-3248,40.34318979,54.31932346,12.68888889,Category_2,Grasses
317.9425895,50.43228817,20.74336321,Low,Not High,0.812852268,1.103411427,0.812852268,10,-6.106564627,#N/A,CIAT-PM-21-6106,40.4462628,58.82456689,14.51111111,Category_2,Grasses
522.8730909,50.11701092,20.23924845,Low,Not High,0.794394456,0.127349716,0.794394456,11,8.192635506,#N/A,CIAT-BR-12-4856,40.70352275,49.54423024,12.55555556,Category_2,Grasses
98.89072681,50.09017312,20.19633597,Low,Not High,0.792823245,0.860038471,0.792823245,12,-8.381437376,#N/A,CIAT-CIAT-6962,40.72542185,56.51059131,14.82222222,Category_2,Grasses
342.0183261,49.88806213,19.8731692,Low,Not High,0.780990718,0.653267791,0.780990718,13,3.724135465,#N/A,CIAT-CIAT-16886,40.89034038,54.54462799,13.16666667,Category_2,Grasses
