CH4_Decrease_Pct,Benchmark_vs_Control,CH4_Category,TDDM_Category,Z_Score_CH4,Z_Score_TDDM,Composite_Score,Overall_Rank,CH4_8h_Reduction_Pct,CH4_24h_Reduction_Pct,Accession_ID,CH4_Intensity,TDDM,CH4_8h,CH4_24h,category,functional_group
50.41462081,33.5436943,Low,High,1.563137793,1.935601099,5.061876685,1,-16.65065344,-13.4543995,CIAT-7317,34.29812028,70.23628082,15.92222222,17.40268672,Category_1a,Herbaceous_legumes
54.15640061,38.55857704,Low,High,1.823778474,1.147840138,4.795397086,2,0.118386765,4.114620564,CIAT-24466,31.70993772,61.86948506,13.63333333,14.70778768,Category_1a,Herbaceous_legumes
47.32251216,29.39952679,Low,High,1.347751173,1.533496082,4.228998428,3,0.769611627,-5.910562963,CIAT-707,36.43692643,65.96553027,13.54444444,16.24554319,Category_1a,Herbaceous_legumes
48.7390821,31.2980704,Low,High,1.446425005,1.167169656,4.060019667,4,6.87484471,4.009328876,CIAT-20305,35.45708748,62.07478354,12.71111111,14.72393829,Category_1a,Herbaceous_legumes
45.0972869,26.41719102,Low,High,1.192748939,1.513475364,3.898973242,5,-7.777714689,-3.939231037,CIAT-20093,37.97611086,65.75289056,14.71111111,15.94316204,Category_1a,Herbaceous_legumes
45.17370167,26.51960515,Low,High,1.198071753,1.452119351,3.848262857,6,1.420836489,2.302949068,CIAT-772,37.9232549,65.1012294,13.45555556,14.98567864,Category_1a,Herbaceous_legumes
47.61937954,29.79740031,Low,High,1.368430026,1.07693448,3.813794533,7,14.36393062,-3.266616814,CIAT-18749,36.23158379,61.11639727,11.68888889,15.83999024,Category_1a,Herbaceous_legumes
44.68482779,25.86439685,Low,High,1.164018327,1.470573324,3.798609978,8,4.595557692,1.52088936,CIAT-20113,38.26140811,65.29722873,13.02222222,15.1056382,Category_1a,Herbaceous_legumes
45.71149313,27.24037474,Low,High,1.235532624,1.166337364,3.637402613,9,6.223619847,-1.756691463,CIAT-17451,37.55126549,62.06594378,12.8,15.6083839,Category_1a,Herbaceous_legumes
41.35429359,21.40068188,Low,High,0.932023728,1.753772983,3.61782044,10,3.47626496,5.738878157,CIAT-8013,40.56513281,68.30508749,13.175,14.45864401,Category_1a,Herbaceous_legumes
43.50471876,24.28276759,Low,High,1.081815622,1.426010012,3.589641256,11,1.176627166,-2.570276788,CIAT-768,39.07768747,64.82392255,13.48888889,15.73317916,Category_1a,Herbaceous_legumes
36.59792221,15.02600299,Low,High,0.60070977,2.35066835,3.552087891,12,-26.09341394,-24.13906111,CIAT-7322,43.85510659,74.64470302,17.21111111,19.04159909,Category_1a,Herbaceous_legumes
41.73795335,21.91487803,Low,High,0.958748268,1.564866638,3.482363174,13,2.234867567,-5.210579845,CIAT-21212,40.29975602,66.29871641,13.34444444,16.1381733,Category_1a,Herbaceous_legumes
43.41806502,24.16663079,Low,High,1.075779594,1.31599821,3.467557398,14,-9.812792383,-4.891910387,CIAT-19213,39.13762571,63.65548908,14.98888889,16.08929282,Category_1a,Herbaceous_legumes
42.30325778,22.6725216,Low,High,0.998125607,1.235559806,3.231811021,15,-15.20574827,-10.45581901,CIAT-17360,39.90873593,62.80115416,15.725,16.94273667,Category_1a,Herbaceous_legumes
40.66755341,20.48028527,Low,High,0.884187555,1.432177419,3.20055253,16,-13.19102136,-16.20697479,CIAT-7816,41.04014979,64.88942648,15.45,17.82490221,Category_1a,Herbaceous_legumes
40.38330474,20.09932384,Low,High,0.864387681,1.398782865,3.127558227,17,2.47907689,7.801801149,CIAT-20345,41.2367641,64.53474349,13.31111111,14.14221377,Category_1a,Herbaceous_legumes
40.89815166,20.78934225,Low,High,0.900250308,1.293563107,3.094063723,18,11.51482185,-0.384755475,CIAT-905,40.88064539,63.41720623,12.07777778,15.39794365,Category_1a,Herbaceous_legumes
41.41874645,21.48706419,Low,High,0.936513314,1.212907487,3.085934114,19,-13.64891384,-13.73302758,CIAT-5234,40.52055088,62.56056426,15.5125,17.44542527,Category_1a,Herbaceous_legumes
38.56691986,17.66493228,Low,High,0.73786399,1.438213509,2.913941489,20,1.095224058,3.372121155,CIAT-22423,42.49315436,64.95353569,13.5,14.82167912,Category_1a,Herbaceous_legumes
36.12455338,14.39157518,Low,High,0.567736378,1.53768455,2.673157307,21,-18.92994045,-21.4813616,CIAT-7972,44.18253499,66.01001592,16.23333333,18.63393652,Category_1a,Herbaceous_legumes
37.59057646,16.35639786,Low,High,0.669854961,1.314179156,2.653889079,22,0.199789872,4.312827752,CIAT-9537,43.16848938,63.63616893,13.62222222,14.67738483,Category_1a,Herbaceous_legumes
36.38026018,14.73428364,Low,High,0.585548114,1.479613745,2.650709974,23,-21.0057197,-24.9856883,CIAT-8719,44.00566304,65.39324689,16.51666667,19.17146261,Category_1a,Herbaceous_legumes
35.85311418,14.02778151,Low,High,0.548828772,1.492114446,2.589771989,24,-27.35516211,-21.66111317,CIAT-7714,44.37028901,65.52601662,17.38333333,18.66150848,Category_1a,Herbaceous_legumes
37.07741299,15.66863569,Low,High,0.634109599,1.28943222,2.557651419,25,-8.266133336,-14.747285,CIAT-19038,43.52344365,63.37333215,14.77777778,17.60100147,Category_1a,Herbaceous_legumes
37.09824936,15.69656142,Low,High,0.635560996,1.20698677,2.478108761,26,10.20074311,10.20567445,CIAT-12140,43.50903117,62.49768043,12.25714286,13.77348541,Category_1a,Herbaceous_legumes
32.708663,9.813462456,Medium,High,0.329796135,2.271263317,2.930855587,1,-22.22676632,-21.25430098,CIAT-7858,46.5453004,73.80134352,16.68333333,18.59910786,Category_1b,Herbaceous_legumes
31.67503391,8.428151468,Medium,High,0.257796765,2.161671357,2.677264886,2,-24.91306888,-23.86643989,CIAT-9982,47.26025984,72.63736918,17.05,18.99978192,Category_1b,Herbaceous_legumes
31.06612919,7.612073029,Medium,High,0.215382365,1.795459098,2.226223829,3,-3.300543762,-2.001551801,CIAT-22770,47.68143818,68.74783501,14.1,15.64594285,Category_1b,Herbaceous_legumes
30.86381646,7.340925428,Medium,High,0.201289893,1.621981028,2.024560814,4,-29.18673203,-24.46799475,CIAT-4279,47.82137754,66.90532738,17.63333333,19.09205398,Category_1b,Herbaceous_legumes
33.35591783,10.68093922,Medium,High,0.374881882,1.182407348,1.932171112,5,-12.66190116,-9.108701263,CIAT-18430,46.09759537,62.23662281,15.37777778,16.73610327,Category_1b,Herbaceous_legumes
