id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm,ch4_category,tddm_category,lmf_category,lmf_category_rank,quartile,quartile_rank
F24-3470,CIAT-11194,1,199,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,2,92.89,9.61,90.39,21.18,30.18,55.94,6,15.17,18.02,46.12,59.25,Medium,Not High,Category_2,81,Q1,58
F24-3471,CIAT-11999,1,201,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,2,93.5,10.46,89.54,20.09,33.9,61.32,9,12.98,16.25,46.61,58.55,Medium,Not High,Category_2,88,Q1,66
F24-3472,CIAT-12318,1,203,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,2,94.1,11.08,88.92,22.05,29.34,55.26,9,13.99,16.96,52.27,56.88,Medium,Not High,Category_2,148,Q2,78
F24-3427,CIAT-1257,1,113,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,2,92.72,9.52,90.48,17.96,35.9,69.91,9,15.71,17.6,46.32,58.95,Medium,Not High,Category_2,84,Q1,62
F24-3473,CIAT-13575,1,205,Genetic_bank,Desmodium incanum,Herbaceous_legumes,2,94.14,11.52,88.48,23.17,44.09,57.61,9,13.6,16.23,42.43,42.85,Low,Not High,Category_2,46,Q3,224
F24-3474,CIAT-13609,1,207,Genetic_bank,Desmodium incanum,Herbaceous_legumes,2,93.4,11.58,88.42,20.01,40.85,58.78,9,13.66,16.31,46.39,38.4,Medium,Not High,Category_2,86,Q4,261
F24-3475,CIAT-15551,1,209,Genetic_bank,Centrosema molle,Herbaceous_legumes,2,93.75,10.48,89.52,22.31,23.67,61.59,9,14.79,17.49,50.03,49.72,Medium,Not High,Category_2,129,Q3,168
F24-3476,CIAT-17024,1,211,Genetic_bank,Desmanthus pernambucanus,Shrub_Trees,2,92.53,8.23,91.77,24.63,32.03,58.24,9,14.17,16.84,46.29,40.14,Low,Not High,Category_2,53,Q3,84
F24-3477,CIAT-17091,1,213,Genetic_bank,Crotalaria micans,Shrub_Trees,2,94.56,8.37,91.63,24.38,17.15,49.73,9,15.17,17.47,48.83,66.12,Low,High,Category_1a,16,Q1,7
F24-3478,CIAT-17365,1,215,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,93.39,7.63,92.37,32.12,23.37,51.72,9,15.12,17.56,51.29,63.39,Medium,High,Category_1b,18,Q1,35
F24-3435,CIAT-7317,1,129,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,92.45,19.06,80.94,23.88,24.73,52.26,9,15.92,17.4,34.3,70.24,Low,High,Category_1a,1,Q1,4
F24-3480,CIAT-17775,1,219,Genetic_bank,Christia obcordata,Herbaceous_legumes,2,94.3,10.72,89.28,16.05,26.04,54.97,9,15.26,18.43,55.22,59.09,Medium,Not High,Category_2,183,Q1,61
F24-3481,CIAT-18016,1,221,Genetic_bank,Sesbania emerus,Shrub_Trees,2,93.22,7.68,92.32,24.16,28.12,56.38,9,14.23,15.96,42.47,50.31,Low,Not High,Category_2,37,Q2,46
F24-3482,CIAT-18044,1,223,Genetic_bank,Christia sp.,Herbaceous_legumes,2,93.67,14.44,85.56,21,22.69,54.68,8,15.28,18.25,47.47,58.33,Medium,Not High,Category_2,99,Q1,67
F24-3483,CIAT-18288,1,225,Genetic_bank,Sesbania exasperata,Shrub_Trees,2,92.91,8.89,91.11,23.18,27.95,51.1,8,14.9,16.94,48.91,55.66,Low,Not High,Category_2,67,Q1,31
F24-3484,CIAT-18447,1,227,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,92.93,7.5,92.5,29.41,26.2,54.05,9,14.51,16.92,53.02,55.28,Medium,Not High,Category_2,162,Q2,100
F24-3485,CIAT-18455,1,229,Genetic_bank,Christia obcordata,Herbaceous_legumes,2,93.2,14.45,85.55,21.77,22.27,52.43,9,15.41,18.54,54.18,59.86,Medium,Not High,Category_2,173,Q1,53
