trial,field,plot,rep,X,Y,lab_delivery_date,sampling_date,material,requisitioner,id,genotype,state,comercial_name,type,biomass_g,dry_biomass_g,dry_matter_pct,height_cm,leaf_number,cover_m2,yield_g_m2,yield_kgDM_ha_cut,yield_ton_ha_cut,yield_ton_ha_year
,E1S,3,,,,3/30/2026 0:00,3/25/2026 0:00,Interespecific U.,in vivo,CIAT-BR-06-0423,BR06_423,Exc,Cayman,hybrid,2126.5,406.9,0.191347284,61,3.5,1.6427,247.7019541,1507.895258,1.507895258,9.04737155
,E1S,2,,,,3/30/2026 0:00,3/25/2026 0:00,Interespecific U.,in vivo,CIAT-BR-06-0423,BR06_423,Exc,Cayman,hybrid,1595,287.4,0.180188088,62,3.5,1.277213,225.0211985,1761.814188,1.761814188,10.57088513
,E1S,1,,,,3/30/2026 0:00,3/25/2026 0:00,Interespecific U.,in vivo,CIAT-BR-06-0423,BR06_423,Exc,Cayman,hybrid,1746.8,302.9,0.173402794,60,4,0.721346,419.9094471,5821.193256,5.821193256,34.92715954
,E1S,3,,,,3/30/2026 0:00,3/3/2026 0:00,Interespecific U.,in vivo,CIAT-Mulato-II,CIAT_36087,Exc,Mulato II,hybrid,1406.7,244.4,0.173739959,52,3.5,1.88158822,129.890269,690.3225031,0.690322503,4.141935018
,E1S,2,,,,3/30/2026 0:00,3/3/2026 0:00,Interespecific U.,in vivo,CIAT-Mulato-II,CIAT_36087,Exc,Mulato II,hybrid,1665.9,306.2,0.18380455,54,4,1.85459567,165.1033726,890.2391789,0.890239179,5.341435073
,E1S,1,,,,3/30/2026 0:00,3/3/2026 0:00,Interespecific U.,in vivo,CIAT-Mulato-II,CIAT_36087,Exc,Mulato II,hybrid,1138.2,212.1,0.186346863,53,3.5,1.37819391,153.8970666,1116.657573,1.116657573,6.699945437
,E1S,3,,,,3/30/2026 0:00,2/17/2026 0:00,Interespecific U.,in vivo,CIAT-BR-02-1752,BR02_1752,Opt,Cayman,hybrid,652,123.4,0.189263804,65,3.5,0.90631582,136.1556284,1502.297824,1.502297824,9.013786942
,E1S,1,,,,3/30/2026 0:00,2/17/2026 0:00,Interespecific U.,in vivo,CIAT-BR-02-1752,BR02_1752,Opt,Cayman,hybrid,811.5,135.1,0.166481824,59,3.5,0.83759394,161.2953408,1925.698517,1.925698517,11.5541911
,E1S,2,,,,3/30/2026 0:00,2/17/2026 0:00,Interespecific U.,in vivo,CIAT-BR-02-1752,BR02_1752,Opt,Cayman,hybrid,799.2,141.1,0.176551552,63,3.5,0.80337072,175.6349796,2186.225801,2.186225801,13.11735481
,E1S,2,,,,3/30/2026 0:00,4/1/2026 0:00,Interespecific U.,in vivo,CIAT-BR-06-0423,BR06_423,Opt,Cayman,hybrid,640.4,174,0.271705184,36.6,2.5,0.61596002,282.4858665,4586.107172,4.586107172,27.51664303
