#,Treatment,Additive,Batch,Run,Replication,Syrange_No,Sample_weight_g,DM_Incubated_mg,Digested_feed_mg,CH4_24h_ml,Gas_ml_g_DM_Incubated_24h,TDDM_percentage,Part_Fact,CH4_percentage_in_gas_8h,CH4_percentage_in_gas_24h,CH4_ml_g_DM_incubated_24h,"CH4_ml_g_DMD,_24h",CH4_g_g_DM_incubated_24h,CH4_g_g_DMD_24h,pH,NH4_ppm,BLANK_24H_promedio_corrida_ppm,Amonio_corregido_ppm
1,T0,CTRL_PREM,95,1,1,3,0.5006,447.1,359.9,18.9,282.7,80.5,2.8,14.8,15,42.3,52.6,23.5,29.2,7.39,360.7,419.25,-58.55
2,T0,CTRL_PREM,95,1,2,4,0.5001,446.6,370.8,20.7,296.4,83,2.8,15.9,15.6,46.2,55.7,25.7,30.9,7.29,455.1,419.25,35.85
3,T0,CTRL_PREM,95,1,3,5,0.5002,446.7,351.8,18.9,266.2,78.8,3,16,15.9,42.3,53.7,23.5,29.8,7.21,404.6,419.25,-14.65
4,T0,CTRL_PREM,96,2,1,3,0.5003,446.8,330.8,19.5,277.8,74,2.7,15.3,15.7,43.5,58.8,24.2,32.6,7.57,357.6,363.4,-5.8
5,T0,CTRL_PREM,96,2,2,4,0.5,446.6,350.9,20.1,281.3,78.6,2.8,16.4,16,44.9,57.2,24.9,31.7,7.4,292.2,363.4,-71.2
6,T0,CTRL_PREM,96,2,3,5,0.5001,446.6,351.1,20.1,279,78.6,2.8,16.4,16.1,44.9,57.1,24.9,31.7,7.43,359.6,363.4,-3.8
7,T0,CTRL_PREM,97,3,1,3,0.5003,446.8,319.3,19.7,270.8,71.5,2.6,15,16.3,44,61.6,24.4,34.2,7.11,605.5,439.525,165.975
8,T0,CTRL_PREM,97,3,2,4,0.5001,446.6,355.4,20.3,272,79.6,2.9,16,16.7,45.4,57.1,25.2,31.7,7.14,609.7,439.525,170.175
9,T0,CTRL_PREM,97,3,3,5,0.5002,446.7,341.6,21.3,288.7,76.5,2.6,15.8,16.5,47.7,62.4,26.5,34.6,7.1,734.3,439.525,294.775
10,T1,CTRL_KIK,95,1,1,6,0.5002,465.4,296.9,12.9,171.7,63.8,3.7,14.2,16.1,27.6,43.3,15.3,24,7.33,514.1,419.25,94.85
11,T1,CTRL_KIK,95,1,2,7,0.5001,465.3,296.8,13,170.6,63.8,3.7,14,16.3,27.9,43.7,15.5,24.2,7.39,508.3,419.25,89.05
12,T1,CTRL_KIK,95,1,3,8,0.5001,465.3,284.4,13.2,170.6,61.1,3.6,14.2,16.6,28.3,46.4,15.7,25.7,7.44,514.2,419.25,94.95
13,T1,CTRL_KIK,96,2,1,6,0.5001,465.3,295.7,12.8,171.1,63.6,3.7,14.4,16.1,27.5,43.3,15.3,24,7.61,504.6,363.4,141.2
14,T1,CTRL_KIK,96,2,2,7,0.5002,465.4,284,13.2,175.4,61,3.5,14.3,16.2,28.4,46.6,15.8,25.9,7.69,492,363.4,128.6
15,T1,CTRL_KIK,96,2,3,8,0.5003,465.5,296.8,12.8,168.9,63.8,3.8,14.5,16.3,27.6,43.3,15.3,24,7.59,491.1,363.4,127.7
16,T1,CTRL_KIK,97,3,1,6,0.5,465.3,252.4,13.4,166.5,54.2,3.3,14.8,17.3,28.8,53.1,16,29.5,7.32,535,439.525,95.475
17,T1,CTRL_KIK,97,3,2,7,0.5,465.3,253.6,13.8,166.5,54.5,3.3,15.5,17.8,29.6,54.3,16.4,30.1,7.25,478.4,439.525,38.875
18,T1,CTRL_KIK,97,3,3,8,0.5001,465.3,274.7,13.5,164.4,59,3.6,14.9,17.6,28.9,49,16.1,27.2,7.34,509.6,439.525,70.075
19,T10,AGO_2X,95,1,1,33,0.5001,460.4,283.2,18.5,225.7,61.5,2.7,16.2,17.8,40.3,65.5,22.4,36.3,7.14,557.3,419.25,138.05
20,T10,AGO_2X,95,1,2,34,0.5003,460.6,277.8,16.8,204.9,60.3,2.9,16.3,17.8,36.4,60.3,20.2,33.5,7.24,529.8,419.25,110.55
21,T10,AGO_2X,95,1,3,35,0.5,460.4,313,17.1,209.4,68,3.2,16.2,17.8,37.2,54.8,20.7,30.4,7.09,500.3,419.25,81.05
22,T10,AGO_2X,96,2,1,33,0.5006,460.9,310.4,15,184.7,67.3,3.6,16.3,17.6,32.4,48.2,18,26.7,7.3,693,363.4,329.6
23,T10,AGO_2X,96,2,2,34,0.5002,460.5,307.3,15.3,190.3,66.7,3.5,16,17.4,33.1,49.7,18.4,27.6,7.45,690.5,363.4,327.1
24,T10,AGO_2X,96,2,3,35,0.5003,460.6,334.2,16.5,205.4,72.6,3.5,16,17.4,35.7,49.2,19.8,27.3,7.37,647.5,363.4,284.1
25,T10,AGO_2X,97,3,1,33,0.5003,460.6,306.3,16.9,199.7,66.5,3.3,16.3,18.3,36.6,55.1,20.3,30.6,7.34,587.5,439.525,147.975
26,T10,AGO_2X,97,3,2,34,0.5,460.4,293,16.6,202,63.6,3.2,15.8,17.8,36,56.6,20,31.4,7.3,519.4,439.525,79.875
27,T10,AGO_2X,97,3,3,35,0.5002,460.5,316.8,16.4,196.5,68.8,3.5,16.1,18.2,35.7,51.9,19.8,28.8,7.15,516.4,439.525,76.875
28,T11,BOV_2X,95,1,1,36,0.5002,460.3,296.2,14.2,186.6,64.4,3.4,12.6,16.5,30.7,47.8,17.1,26.5,7.03,532.6,419.25,113.35
29,T11,BOV_2X,95,1,2,37,0.5001,460.2,291,14.3,194.2,63.2,3.3,11.7,16,31.1,49.2,17.3,27.3,7.15,538.1,419.25,118.85
30,T11,BOV_2X,95,1,3,38,0.5003,460.4,310,14.2,192,67.3,3.5,11.5,16,30.8,45.7,17.1,25.4,7.23,582.1,419.25,162.85
31,T11,BOV_2X,96,2,1,36,0.5001,460.2,335.4,14.3,195.8,72.9,3.7,11.2,15.9,31.2,42.8,17.3,23.7,7.38,587.3,363.4,223.9
32,T11,BOV_2X,96,2,2,37,0.5003,460.4,319.2,13.6,195.7,69.3,3.5,9.1,15.1,29.5,42.5,16.4,23.6,7.28,609.5,363.4,246.1
33,T11,BOV_2X,96,2,3,38,0.5,460.2,321.2,13.9,202.4,69.8,3.4,9.1,15,30.3,43.4,16.8,24.1,7.36,568,363.4,204.6
34,T11,BOV_2X,97,3,1,36,0.5006,460.7,331.9,14.1,188.8,72,3.8,11.4,16.3,30.7,42.6,17,23.6,7.18,656.7,439.525,217.175
35,T11,BOV_2X,97,3,2,37,0.5003,460.4,309,13.3,185.7,67.1,3.6,9.7,15.5,28.8,42.9,16,23.8,7.15,695.7,439.525,256.175
