id,methane_intensity,tddm,ch4_8h,ch4_24h,functional_group,taxonomic_name,family,,
IGC-2012-78-4-18,14.32,78.53,14.32,17.13,Legume,1(385x 2329)xIGC 2011-61,,,
IGC-2012-78-4-18,15.91,76.8,15.91,18.01,Legume,1(385x 2329)xIGC 2011-61,,,
F3-16-16-107,14.01,81.46,14.01,16.41,Legume,1348x1330,,,
F3-16-16-107,17.77,74.83,17.77,18.3,Legume,1348x1330,,,
F3-9-9-70,13.19,75.63,13.19,15.64,Legume,1904x170,,,
F3-9-9-77,13.31,81.25,13.31,15.75,Legume,1904x170,,,
F3-9-9-93,13.98,78.23,13.98,16.33,Legume,1904x170,,,
F3-9-9-70,16.2,75.69,16.2,17.67,Legume,1904x170,,,
F3-9-9-77,14.01,81.85,14.01,16.18,Legume,1904x170,,,
F3-9-9-93,13.86,75.57,13.86,15.9,Legume,1904x170,,,
F3-6-6-129,13.84,79.58,13.84,16.51,Legume,1904x1916,,,
F3-6-6-60,13.48,80.23,13.48,15.36,Legume,1904x1916,,,
F3-6-6-129,16.71,78.02,16.71,17.7,Legume,1904x1916,,,
F3-6-6-60,15.59,73.66,15.59,17.1,Legume,1904x1916,,,
F3-7-7-85,13.03,80.09,13.03,15.61,Legume,1904x398,,,d
F3-7-7-85,16.41,73.42,16.41,17.86,Legume,1904x398,,,
F3-8-8-128,13.09,78.92,13.09,16.16,Legume,1904x736,,,
F3-8-8-128,14.38,81.25,14.38,16.32,Legume,1904x736,,,
F3-13-13-115,14.04,78.55,14.04,16.94,Legume,299x650,,,
F3-13-13-115,13.97,80.87,13.97,16.16,Legume,299x650,,,
F3-12-12-57,13.07,80.36,13.07,15.62,Legume,554x650,,,
F3-12-12-57,15.23,74.62,15.23,17.38,Legume,554x650,,,
F3-10-10-134,13.72,78.87,13.72,16.47,Legume,736x190,,,
F3-10-10-125,13.7,78.32,13.7,16.45,Legume,736x190,,,
F3-10-10-65,14.2,74.05,14.2,16.44,Legume,736x190,,,
F3-10-10-134,15.78,77.98,15.78,17.2,Legume,736x190,,,
F3-10-10-65,14.72,77.29,14.72,16.48,Legume,736x190,,,
F3-11-11-77,13.24,77.8,13.24,16.38,Legume,736x273,,,
F3-11-11-77,15.74,79.7,15.74,16.76,Legume,736x273,,,
16635,13.17,75.92,13.17,14.19,Legume,Astragalus boeticus,,,
108004,13.84,62.49,13.84,15.55,Legume,Hedysarum carnosum,Hedysarum,,
108006,13.54,69.59,13.54,15.94,Legume,Hedysarum spinosissimum,Hedysarum,,
108010,13.78,65.1,13.78,15.62,Legume,Hedysarum spinosissimum,Hedysarum,,
108012,13.62,55.98,13.62,15.56,Legume,Hedysarum spinosissimum,Hedysarum,,
65481,15.88,70.52,15.88,17.33,Legume,Lathyrus annuus,Lathyrus,,
65349,15.74,67.1,15.74,17.05,Legume,Lathyrus aphaca,Lathyrus,,
65642,12.92,74.63,12.92,15.74,Legume,Lathyrus aphaca var. affinis,Lathyrus,,
65503,13.68,70.58,13.68,15.49,Legume,lathyrus aphaca var. aphaca,Lathyrus,,
65343,14.43,70.33,14.43,16.68,Legume,Lathyrus aphaca var. biflorus,Lathyrus,,
65722,13.68,67.79,13.68,16.04,Legume,Lathyrus aphaca var. floribundus,Lathyrus,,
65421,14.4,73.7,14.4,16.14,Legume,Lathyrus aphaca var. modestus,Lathyrus,,
