icarda_id,functional_group,tanoxomic_name,gb_id,genus,run,replication,dm,ndf,om,gas_g_dm_incubated,ch4_g_dm_incubated,ch4_ndf,ch4_g_digested,tddm,ch4_g_kg_dm
ICARDA ID,Functional group,Latin name,GB ID,Genus,Run,Replication,DM,NDF,OM,Gas /g DM Incubated,CH4/gDM incubated,CH4/NDF,Ch4 /g digested,True digestebility,CH4 (g/kg DM) 
250100028,Legume,Medicago sativa ,101045,Medicago,1,1,92.76548217,92.76548217,88.03689603,201.4431243,28.90708834,28.90708834,40.75785051,70.92397655,16.04393415
250100028,Legume,Medicago sativa ,101045,Medicago,1,2,92.76548217,39.23080084,88.03689603,179.8429447,24.41046826,5.772119889,34.38596823,70.98962023,13.54823221
250100028,Legume,Medicago sativa ,101045,Medicago,1,3,92.76548217,39.23080084,88.03689603,255.2845249,34.68222616,8.200988417,48.98399969,70.80317325,19.24923556
250100029,Legume,Medicago sativa,101063,Medicago,1,1,94.97554156,50.67460138,89.57815622,210.2458116,30.26493688,5.672326356,49.88415981,60.67043525,16.79756358
250100029,Legume,Medicago sativa,101063,Medicago,1,2,94.97554156,50.67460138,89.57815622,222.7978003,33.38619808,6.257320545,59.39074511,56.21447924,18.52991755
250100029,Legume,Medicago sativa,101063,Medicago,1,3,94.97554156,50.67460138,89.57815622,214.6633439,32.20634135,6.036188994,56.26967849,57.23569463,17.87507665
250100030,Legume,Medicago sativa,101065,Medicago,1,1,94.55973598,45.96391947,89.33570223,223.6441978,32.56018026,6.698475858,51.87388148,62.76796594,18.07146337
250100030,Legume,Medicago sativa,101065,Medicago,1,2,94.55973598,45.96391947,89.33570223,200.2503359,27.80581309,5.720378887,43.52022558,63.89170259,15.43270734
250100030,Legume,Medicago sativa,101065,Medicago,1,3,94.55973598,45.96391947,89.33570223,213.4914979,29.95722835,6.162980957,45.84315253,65.3472257,16.62678003
250100031,Legume,Medicago sativa,101076,Medicago,1,1,94.11254912,50.19399211,89.49776942,191.7061881,26.81317812,5.027407539,44.03219442,60.89448522,14.88177776
250100031,Legume,Medicago sativa,101076,Medicago,1,2,94.11254912,50.19399211,89.49776942,189.8931292,25.80331137,4.838059909,42.22153058,61.11410699,14.32128424
250100032,Legume,Medicago sativa,101077,Medicago,1,2,94.81654008,39.17100141,89.19875488,181.9110527,23.99770608,5.808836584,,,13.31914206
250100032,Legume,Medicago sativa,101077,Medicago,1,3,94.81654008,39.17100141,89.19875488,192.3280167,25.47196435,6.165692583,42.88060465,59.40206429,14.1373809
250100033,Legume,Medicago sativa,101094,Medicago,1,1,94.63798987,45.15915203,89.14939321,178.076607,23.26270563,4.875059874,39.40704597,59.03184332,12.9112041
250100033,Legume,Medicago sativa,101094,Medicago,1,2,94.63798987,45.15915203,89.14939321,174.9640877,23.42331724,4.908718521,37.76210809,62.02862716,13.00034631
250100033,Legume,Medicago sativa,101094,Medicago,1,3,94.63798987,45.15915203,89.14939321,160.2266518,21.79448995,4.567372563,39.11220618,55.722988,12.09631899
250100034,Legume,Medicago sativa,101095,Medicago,1,2,94.85692556,41.23542082,89.51456595,189.5927958,24.04390836,5.531000242,,,13.34478512
250100034,Legume,Medicago sativa,101095,Medicago,1,3,94.85692556,41.23542082,89.51456595,177.8784532,23.01157765,5.29352548,36.21578933,63.54017977,12.77182372
250100035,Legume,Medicago sativa,101097,Medicago,1,1,95.6714815,40.01079244,88.98042022,188.6870939,24.13173155,5.770239396,,,13.39352851
250100035,Legume,Medicago sativa,101097,Medicago,1,2,95.6714815,40.01079244,88.98042022,196.4354862,26.05613338,6.230391177,,,14.46160482
250100035,Legume,Medicago sativa,101097,Medicago,1,3,95.6714815,40.01079244,88.98042022,204.7039748,27.61310402,6.602684949,27.61310402,100,15.32575047
251002501,CC,HH Concentrate,2501,HH Concentrate,1,1,90.6969697,#N/A,#DIV/0!,301.4422816,39.8759256,#N/A,57.53053102,69.3126326,22.1318286
