id,taxonomic_name,ch4_8h,ch4_24h,methane_intensity,tddm
internal control1,wheat straw,7.3,12.8,33.31,53.79
internal control1,wheat straw,7.3,12.8,34.77,52.38
internal control1,wheat straw,7.5,12.8,36.7,50.81
internal control 2,Wheat bran,7.1,15.5,39.42,71.13
internal control 2,Wheat bran,7.1,15.9,39.41,70.88
internal control 2,Wheat bran,7.2,15.5,39.48,70.42
6642,Cenchrus ciliaris,7.5,16.1,37.07,46.51
6642,Cenchrus ciliaris,7.5,16.1,36.94,47.39
6642,Cenchrus ciliaris,7.7,16.3,38.75,46.96
6646,Cenchrus ciliaris,8.3,17.1,42.57,49.86
6646,Cenchrus ciliaris,8.1,16.8,41.47,50.4
6646,Cenchrus ciliaris,7.9,16.9,41.59,51.06
13284,Cenchrus ciliaris,7.8,16.7,42.59,51.01
13284,Cenchrus ciliaris,8,16.5,43.96,50.21
13284,Cenchrus ciliaris,8.2,16.5,42.21,51.27
16630,Cenchrus ciliaris,8.2,15.5,43.22,45.84
16630,Cenchrus ciliaris,8.2,15.5,40.96,49.63
16630,Cenchrus ciliaris,8,15.3,40.61,49.29
ABC sample,cynodon Nlemfuensis,7.8,14.5,40.84,55.98
ABC sample,cynodon Nlemfuensis,7.9,14.5,41.42,56.15
ABC sample,cynodon Nlemfuensis,7.8,14.3,41.68,55.39
16660,Cenchrus ciliaris,7.8,15.7,34.34,44.68
16660,Cenchrus ciliaris,7.8,15.1,29.09,52.07
16660,Cenchrus ciliaris,7.7,15.7,35.94,43.75
18071,Cenchrus ciliaris,8,16.6,40.26,50.88
18071,Cenchrus ciliaris,8.1,16.7,41.3,50.77
18071,Cenchrus ciliaris,8,16.4,36.96,56.09
18077,Cenchrus ciliaris,7.9,16.4,41.61,53.25
18077,Cenchrus ciliaris,8,16.7,28.08,78.63
18077,Cenchrus ciliaris,8.1,16.5,42.6,52.56
19369,Cenchrus ciliaris,8,16.1,38.94,50.78
19369,Cenchrus ciliaris,8.4,16.4,37.74,50.76
19369,Cenchrus ciliaris,8,16.2,39.25,48.39
19379,Cenchrus ciliaris,8.3,15.8,40.21,50.63
19379,Cenchrus ciliaris,8,15.7,40.21,50.21
19379,Cenchrus ciliaris,8.1,15.8,41.06,49.54
19389,Cenchrus ciliaris,8.2,16.1,41.68,47.19
19389,Cenchrus ciliaris,7.9,16,40.47,46.72
19389,Cenchrus ciliaris,8,16.1,39.52,47.76
19397,Cenchrus ciliaris,8.1,17.1,43.25,55.21
19397,Cenchrus ciliaris,8.1,17.1,44.08,54.2
19397,Cenchrus ciliaris,8.1,17,43.53,52.31
