accession_no,taxonomic_name,functional_group
147,Lablab purpureus,Herbaceous legume
539,Crotalaria juncea,Herbaceous legume
5281,Lathyrus cicera,Herbaceous legume
5282,Lathyrus cicera,Herbaceous legume
5327,Lathyrus Sativus,Herbaceous legume
6871,Lupinus angstifolius,Herbaceous legume
10667,Phaseolus acutifolius,Herbaceous legume
10695,Phaseolus acutifolius,Herbaceous legume
10736,Phaseolus acutifolius,Herbaceous legume
10766,Phaseolus acutifolius,Herbaceous legume
10840,Phaseolus acutifolius,Herbaceous legume
15004,Lupinus angstifolius,Herbaceous legume
15609,Lathyrus Sativus,Herbaceous legume
22073,Macroptilium lathyroides,Herbaceous legume
16528, Cajanus  cajan,Shrub/Tree
20389,Gliricidia  sepium,Shrub/Tree
23693,Sesbania sesban var.nubica  ,Shrub/Tree
1062,Neonotonia wightii  ,Herbaceous legume
21679,Leucaena  pallida,Shrub/Tree
14441,Lablab  purpureus,Herbaceous legume
11562,Cajanus  cajan,Shrub/Tree
14443,Lablab  purpureus,Herbaceous legume
18557,Neonotonia wightii  ,Herbaceous legume
14452,Lablab  purpureus,Herbaceous legume
14473,Lablab  purpureus,Herbaceous legume
2190,Neonotonia wightii  ,Herbaceous legume
14458,Lablab  purpureus,Herbaceous legume
14453,Lablab  purpureus,Herbaceous legume
21139,Leucaena greggii  ,Shrub/Tree
14459,Lablab  purpureus,Herbaceous legume
16077,Sesbania grandiflora  ,Shrub/Tree
12603,Cajanus  cajan,Herbaceous legume
21639,Leucaena leucocephala  ,Shrub/Tree
21372,Leucaena  leucocephala,Shrub/Tree
14447,Lablab  purpureus,Herbaceous legume
21638,Leucaena leucocephala  ,Shrub/Tree
21298,Leucaena leucocephala  ,Shrub/Tree
20351,Gliricidia sepium,Shrub/Tree
21375,Leucaena  leucocephala,Shrub/Tree
6990,Desmodium sandwicense,Herbaceous legume
8446,Crotalaria distantiflora,Herbaceous legume
10920,Arachis pintoi,Herbaceous legume
11049,Stylosanthes mexicana,Herbaceous legume
16246,Bouffordia dichotoma,Herbaceous legume
19338,Chamaecrista nictitans,Herbaceous legume
21893,Macroptilium atropurpureum,Herbaceous legume
22059,Macroptilium lathyroides,Herbaceous legume
24126,Teramnus labialis,Herbaceous legume
24324,Teramnus uncinatus,Herbaceous legume
7000,Chamaecrista pilosa,Herbaceous legume
530,Glycine max,Herbaceous legume
6798,Vicia benghalensis,Herbaceous legume
15217,Vicia sativa,Herbaceous legume
19978,Dolichos sp.,Herbaceous legume
8367,Vicia villosa,Herbaceous legume
14439,Lablab purpureus,Herbaceous legume
21029,Lablab purpureus subsp. bengalensis,Herbaceous legume
24909,Vigna oblongifolia,Herbaceous legume
10360,Crotalaria sp.,Herbaceous legume
947,Trifolium semipilosum,Herbaceous legume
12342,Grona heterocarpa,Herbaceous legume
13143,Alysicarpus rugosus,Herbaceous legume
12403,Centrosema virginianum,Herbaceous legume
12401,Centrosema schottii,Herbaceous legume
113,Vigna luteola    ,Herbaceous legume
7782,Crotalaria incana,Herbaceous legume
12655,Vigna unguiculata,Herbaceous legume
12657,Vigna unguiculata,Herbaceous legume
2263,Trifolium burchellianum  ,Herbaceous legume
21678,Leucaena  pallida,Shrub/Tree
8123,Trifolium burchellianum,Herbaceous legume
5656,Trifolium repens,Herbaceous legume
21694,Leucaena pulverulenta ,Shrub/Tree
8624,Trifolium burchellianum,Herbaceous legume
19654,Codariocalyx gyroides,Shrub/Tree
21121,Leucaena collinsii    ,Shrub/Tree
23018,Neustanthus  phaseoloides,Herbaceous legume
10391,Stylosanthes  fruticosa,Herbaceous legume
10925,Arachis glabrata    ,Herbaceous legume
21791,Listia  bainesii,Herbaceous legume
23384,Rhynchosia sublobata    ,Herbaceous legume
20476,Glycine sp.,Herbaceous legume
10923,Arachis pusilla    ,Herbaceous legume
23415,Rhynchosia verdcourtii    ,Herbaceous legume
20145,Flemingia macrophylla    ,Shrub/Tree
14497,Neonotonia  wightii subsp. Wightii,Herbaceous legume
23691,Sesbania sesban var. bicolor  ,Shrub/Tree
7559,Rhynchosia minima    ,Herbaceous legume
24633,Chamaecrista rotundifolia    ,Herbaceous legume
104,Desmodium intortum,Herbaceous legume
7266,Canavalia brasiliensis,Herbaceous legume
9270,Mucuan Proiens,Herbaceous legume
20437,Glycin latifolia,Herbaceous legume
21083,Lablab purprues subsp. Uncinatus,Herbaceous legume
168,Stylosanthes leiocarpa    ,Herbaceous legume
9314,Faidherbia albida    ,Shrub/Tree
11232,Stylosanthes viscosa    ,Herbaceous legume
12155,Centrosema macrocarpum    ,Herbaceous legume
12245,Grona adscendens    ,Herbaceous legume
13769,Calpurnia aurea,Shrub/Tree
15936,Stylosanthes hamata    ,Herbaceous legume
19196,Calopogonium caeruleum    ,Shrub/Tree
19240,Calopogonium  mucunoides,Shrub/Tree
12539,Trifolium tembense,Herbaceous legume
6765,Desmodium uncinatum,Herbaceous legume
22191,Mucuna pruriens var. utilis  ,Herbaceous legume
