21_no,21_date,21_requisitioner,21_set_ciat,21_ciat_lab_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional_group,21_dm_percentage,21_av_dm_105
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105
1,,BREEDING,0,F261074,CIAT-BR06_423_Temp_B,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.5,92.5
2,,BREEDING,0,F261074,CIAT-BR06_423_Temp_B,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.5,
3,,BREEDING,0,F261075,CIAT_MulatoII_Temp_C,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.5,92.5
4,,BREEDING,0,F261075,CIAT_MulatoII_Temp_C,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.5,
5,,BREEDING,0,F261076,CIAT-BR06_423_Opt_F,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.5,92.5
6,,BREEDING,0,F261076,CIAT-BR06_423_Opt_F,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.5,
7,,BREEDING,0,F261077,CIAT_MulatoII_Opt_D,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.5,92.5
8,,BREEDING,0,F261077,CIAT_MulatoII_Opt_D,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.5,
9,,BREEDING,0,F261078,CIAT-BR06_423_Exc_G,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.5,92.5
10,,BREEDING,0,F261078,CIAT-BR06_423_Exc_G,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.5,
11,,BREEDING,0,F261079,CIAT_MulatoII_Exc_E,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.5,92.5
12,,BREEDING,0,F261079,CIAT_MulatoII_Exc_E,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.5,
13,,JACOBO ARANGO/ ALEJANDRO MONTOYA,0,F250008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,0,92.5,92.5
14,,JACOBO ARANGO/ ALEJANDRO MONTOYA,0,F250008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,0,92.5,
