32_no,32_date,32_gene_bank_id,32_tax_name,32_family,32_order,32_genus2,32_species3,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks_1,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_percentage_ndf_digestibility_in_24_h,32_remarks_2
No,Date,Gene Bank ID,Tax Name,Family,Order,Genus2,Species3,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks
,46133,BLANK 24 H,BLANK 24 H,,,,,,BLANK 24 H,,,1,1,1,,,,,,,,,,
,46133,BLANK 24 H,BLANK 24 H,,,,,,BLANK 24 H,,,1,2,2,,,,,,,,,,
,46133,BLANK 8 H,BLANK 8 H,,,,,,BLANK 8 H,,,1,1,77,,,,,,,,,,
,46133,BLANK 8 H,BLANK 8 H,,,,,,BLANK 8 H,,,1,2,78,,,,,,,,,,
,46133,CIAT-BR06_423_Temp_B,Urochloa interespecifico,,,,,,F261074,,,1,1,95,0.5723,0.7575,,0.1852,277.3925,59.9647638,0,-185.2,#DIV/0!,
,46133,CIAT-BR06_423_Temp_B,Urochloa interespecifico,,,,,,F261074,,,1,2,96,0.5688,0.7911,,0.2223,240.385,51.95435339,0,-222.3,#DIV/0!,
,46133,CIAT_MulatoII_Temp_C,Urochloa interespecifico,,,,,,F261075,,,1,1,97,0.5931,0.8074,,0.2143,248.57,53.70190334,0,-214.3,#DIV/0!,
,46133,CIAT_MulatoII_Temp_C,Urochloa interespecifico,,,,,,F261075,,,1,2,98,0.5343,0.7239,,0.1896,273.27,59.03817487,0,-189.6,#DIV/0!,
,46133,CIAT-BR06_423_Opt_F,Urochloa interespecifico,,,,,,F261076,,,1,1,99,0.5517,0.775,,0.2233,239.4775,51.7478702,0,-223.3,#DIV/0!,
,46133,CIAT-BR06_423_Opt_F,Urochloa interespecifico,,,,,,F261076,,,1,2,100,0.5717,0.8001,,0.2284,234.1925,50.626091,0,-228.4,#DIV/0!,
,46133,CIAT_MulatoII_Opt_D,Urochloa interespecifico,,,,,,F261077,,,1,1,101,0.5346,0.7349,,0.2003,262.2925,56.70055178,0,-200.3,#DIV/0!,
,46133,CIAT_MulatoII_Opt_D,Urochloa interespecifico,,,,,,F261077,,,1,2,102,0.5668,0.7755,,0.2087,253.8925,54.88469874,0,-208.7,#DIV/0!,
,46133,CIAT-BR06_423_Exc_G,Urochloa interespecifico,,,,,,F261078,,,1,1,103,0.5252,0.7783,,0.2531,209.585,45.29755665,0,-253.1,#DIV/0!,
,46133,CIAT-BR06_423_Exc_G,Urochloa interespecifico,,,,,,F261078,,,1,2,104,0.5499,0.773,"Debido a que la manguera estaba rota se escapo el gas por lo tanto no se pudo realizar la lectura, igualmente se hizo cambio de manguera a las 8h",0.2231,239.6775,51.79108751,0,-223.1,#DIV/0!,
,46133,CIAT_MulatoII_Exc_E,Urochloa interespecifico,,,,,,F261079,,,1,1,105,0.5884,0.7736,,0.1852,277.3,59.95675676,0,-185.2,#DIV/0!,
,46133,CIAT_MulatoII_Exc_E,Urochloa interespecifico,,,,,,F261079,,,1,2,106,0.5682,0.7642,,0.196,266.5925,57.6300956,0,-196,#DIV/0!,
,46133,Sample 8,Cynodon nlemfuensis ,,,,,,F250008,,,1,1,143,0.5807,0.8693,,0.2886,174.1775,37.63741755,0,-288.6,#DIV/0!,
,46133,Sample 8,Cynodon nlemfuensis ,,,,,,F250008,,,1,2,144,0.568,0.8672,,0.2992,163.3925,35.3210439,0,-299.2,#DIV/0!,
,46133,BLANK 24 H,BLANK 24 H,,,,,,BLANK 24 H,,,1,1,145,,,,,,,,,,
,46133,BLANK 24 H,BLANK 24 H,,,,,,BLANK 24 H,,,1,2,146,,,,,,,,,,
,46135,BLANK 24 H,BLANK 24 H,,,,,,BLANK 24 H,,,2,1,147,,,,,,,,,,
,46135,BLANK 24 H,BLANK 24 H,,,,,,BLANK 24 H,,,2,2,148,,,,,,,,,,
,46135,BLANK 8 H,BLANK 8 H,,,,,,BLANK 8 H,,,2,1,223,,,,,,,,,,
,46135,BLANK 8 H,BLANK 8 H,,,,,,BLANK 8 H,,,2,2,224,,,,,,,,,,
,46135,CIAT-BR06_423_Temp_B,Urochloa interespecifico,,,,,,F261074,,,2,1,241,0.5936,0.8299,,0.2363,226.4775,48.93874486,#REF!,#REF!,#REF!,
,46135,CIAT-BR06_423_Temp_B,Urochloa interespecifico,,,,,,F261074,,,2,2,242,0.5914,0.8202,,0.2288,233.7,50.52972973,#REF!,#REF!,#REF!,
,46135,CIAT_MulatoII_Temp_C,Urochloa interespecifico,,,,,,F261075,,,2,1,243,0.5879,0.7728,,0.1849,277.8775,60.04559427,#REF!,#REF!,#REF!,
,46135,CIAT_MulatoII_Temp_C,Urochloa interespecifico,,,,,,F261075,,,2,2,244,0.5981,0.8055,,0.2074,255.1925,55.16572361,#REF!,#REF!,#REF!,
,46135,CIAT-BR06_423_Opt_F,Urochloa interespecifico,,,,,,F261076,,,2,1,245,0.5834,0.8176,,0.2342,228.3925,49.3722877,#REF!,#REF!,#REF!,
,46135,CIAT-BR06_423_Opt_F,Urochloa interespecifico,,,,,,F261076,,,2,2,246,0.5841,0.8961,,0.312,150.5925,32.55402973,#REF!,#REF!,#REF!,
,46135,CIAT_MulatoII_Opt_D,Urochloa interespecifico,,,,,,F261077,,,2,1,247,0.5692,0.771,,0.2018,260.885,56.38501356,#REF!,#REF!,#REF!,
,46135,CIAT_MulatoII_Opt_D,Urochloa interespecifico,,,,,,F261077,,,2,2,248,0.5719,0.807,,0.2351,227.585,49.18789241,#REF!,#REF!,#REF!,
