40_no,40_date,40_requisitioner,40_gene_bank_id,40_tax_name,40_family,40_order,40_genus2,40_species3,40_functional_group,40_ciat_id,40_set_ciat,40_batch,40_run,40_replication,40_syrange_no,40_net_gas_8h_ml,40_net_gas_8_24h_ml2,40_net_gas_24h_ml,40_ch4_8h_ml,40_ch4_8_24h_ml,40_ch4_24h_ml,40_gas_ml_g_md_incubated_24h,40_percentage_dmd_truly_digestibility,40_part_fact,40_ch4_ml_in_gas_8h,40_ch4_ml_in_gas_24h,40_ch4_ml_g_dm_incubated_24h,40_ch4_ml_g_dmd_24h,40_ch4_ml_g_ndf_digested_in_24h,40_ch4_g_g_dm_incubated_24h,40_ch4_g_dmd_24h
No,Date,Requisitioner,Gene Bank ID,Tax Name,Family,Order,Genus2,Species3,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Net gas 8h, ml","Net gas 8-24h, ml2","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 ml in gas, h8","CH4 ml in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
95,46132,Urochloa interespecifico,CIAT-BR06_423_Temp_B,0,0,0,0,0,0,F261074,0,0,1,1,95,43.22998649,45.17685727,88.40684375,5.317288338,6.731351733,12.04864007,191.1117101,59.9647638,3.137681295,12.3,13.62862824,26.04590449,43.43534908,200.9286672,14.45592761,24.10737022
96,46132,Urochloa interespecifico,CIAT-BR06_423_Temp_B,0,0,0,0,0,0,F261074,0,0,1,2,96,44.72998649,46.67685727,91.40684375,5.501788338,6.954851733,12.45664007,197.557396,51.95435339,2.629835909,12.3,13.62768865,26.92250683,51.81953978,239.7612376,14.94245708,28.76074111
97,46132,Urochloa interespecifico,CIAT_MulatoII_Temp_C,0,0,0,0,0,0,F261075,0,0,1,1,97,35.22998649,45.67685727,80.90684375,4.333288338,7.034236019,11.36752436,174.7938811,53.70190334,3.072298813,12.3,14.05013943,24.55878401,45.73168265,211.6782395,13.63055002,25.38187508
98,46132,Urochloa interespecifico,CIAT_MulatoII_Temp_C,0,0,0,0,0,0,F261075,0,0,1,2,98,33.72998649,48.17685727,81.90684375,4.283708284,7.660120305,11.94382859,176.9543149,59.03817487,3.336351243,12.7,14.58221077,25.80385117,43.70706111,202.3068738,14.32158383,24.25817509
99,46132,Urochloa interespecifico,CIAT-BR06_423_Opt_F,0,0,0,0,0,0,F261076,0,0,1,1,99,31.22998649,48.17685727,79.40684375,4.497118054,7.804650877,12.30176893,171.5875205,51.7478702,3.015829476,14.4,15.49207644,26.58246983,51.36920559,237.7251254,14.75373066,28.51079784
100,46132,Urochloa interespecifico,CIAT-BR06_423_Opt_F,0,0,0,0,0,0,F261076,0,0,1,2,100,30.72998649,44.67685727,75.40684375,4.548038,7.327004592,11.87504259,163.0092225,50.626091,3.105719433,14.8,15.74796398,25.67063364,50.70633172,234.5636876,14.2476458,28.14289138
101,46132,Urochloa interespecifico,CIAT_MulatoII_Opt_D,0,0,0,0,0,0,F261077,0,0,1,1,101,34.72998649,51.17685727,85.90684375,4.375978297,7.727705447,12.10368374,185.7073856,56.70055178,3.053220076,12.6,14.08931258,26.16489404,46.14574852,213.4667717,14.52196887,25.6116888
102,46132,Urochloa interespecifico,CIAT_MulatoII_Opt_D,0,0,0,0,0,0,F261077,0,0,1,2,102,33.22998649,48.17685727,81.40684375,4.552508149,7.322882304,11.87539045,175.9796014,54.88469874,3.118810266,13.7,14.58770529,25.67138562,46.77330151,216.3697848,14.24806316,25.95999156
103,46132,Urochloa interespecifico,CIAT-BR06_423_Exc_G,0,0,0,0,0,0,F261078,0,0,1,1,103,32.72998649,49.17685727,81.90684375,4.156708284,7.278174875,11.43488316,177.0250684,45.29755665,2.558821588,12.7,13.9608397,24.71418602,54.55964482,252.4392926,13.71680082,30.28154681
