10_sample_serial_no,10_date,10_requisitioner_1,10_requisitioner_2,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_batches_ciat,10_id_lab,10_remarks_1,10_remarks_2
Sample serial No,"Date (M,D.Y)",Requisitioner,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,Observaciones,
1,46090,Genebank,,32,F260043,CIAT43427,Desmodium,nicaraguense,Desmodium nicaraguense,Fabaceae,Fabales,Shurb_Tree,"72. 73, 74",OT-002 (2026),,
2,46090,Genebank,,32,F260044,CIAT601,Hyparrhenia,rufa,Hyparrhenia rufa,Poaceae,Poales,Grasses,"72. 73, 74",OT-002 (2026),,
3,46090,Genebank,,32,F260045,CIAT606,Brachiaria,decumbens,Brachiaria decumbens,Poaceae,Poales,Grasses,"72. 73, 74",OT-002 (2026),,
4,46090,Genebank,,32,F260046,CIAT6038,Sorghum,almum,Sorghum almum,Poaceae,Poales,Grasses,"72. 73, 74",OT-002 (2026),,
5,46090,Genebank,,32,F260047,CIAT6042,Chloris,gayana,Chloris gayana,Poaceae,Poales,Grasses,"72. 73, 74",OT-002 (2026),,
6,46090,Genebank,,32,F260048,CIAT6080,Eragrostis,curvula,Eragrostis curvula,Poaceae,Poales,Grasses,"72. 73, 74",OT-002 (2026),Eliminada,Reproceso Set 37
7,46090,Genebank,,32,F260049,CIAT6159,Andropogon,gayanus,Andropogon gayanus,Poaceae,Poales,Grasses,"72. 73, 74",OT-002 (2026),,
8,46090,Genebank,,32,F260050,CIAT6235,Andropogon,gayanus,Andropogon gayanus,Poaceae,Poales,Grasses,"72. 73, 74",OT-002 (2026),,
9,46090,Genebank,,32,F260051,CIAT6236,Andropogon,gayanus,Andropogon gayanus,Poaceae,Poales,Grasses,"72. 73, 74",OT-002 (2026),,
10,46090,Genebank,,32,F260052,CIAT6370,Brachiaria,decumbens,Brachiaria decumbens,Poaceae,Poales,Grasses,"72. 73, 74",OT-002 (2026),,
11,46090,Genebank,,32,F260053,CIAT6489,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,"72. 73, 74",OT-002 (2026),,
12,46090,Genebank,,32,F260054,CIAT6590,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,"72. 73, 74",OT-002 (2026),,
13,46090,Genebank,,32,F260055,CIAT6793,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,"72. 73, 74",OT-002 (2026),,
