40_sample_serial_no,40_date,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
1,46090,Genebank,32,F260043,CIAT43427,Desmodium,nicaraguense,Desmodium nicaraguense,Fabaceae,Fabales,Shurb_Tree,96.14077185,96.31608764,9.228180435,9.227257986,90.77181957,90.77274201,19.92066962,19.92066962,31.93755773,32.00305294,62.95859574,62.46850443
2,46090,Genebank,32,F260043,CIAT43427,Desmodium,nicaraguense,Desmodium nicaraguense,Fabaceae,Fabales,Shurb_Tree,96.49140344,,9.226335537,,90.77366446,,19.92066962,,32.06854815,,61.97841312,
3,46090,Genebank,32,F260044,CIAT601,Hyparrhenia,rufa,Hyparrhenia rufa,Poaceae,Poales,Grasses,92.80071993,92.81251267,15.59978469,15.73587042,84.40021531,84.26412958,16.16407202,16.16407202,31.23963872,31.59361126,66.73529486,66.4654067
4,46090,Genebank,32,F260044,CIAT601,Hyparrhenia,rufa,Hyparrhenia rufa,Poaceae,Poales,Grasses,92.82430542,,15.87195614,,84.12804386,,16.16407202,,31.94758379,,66.19551853,
5,46090,Genebank,32,F260045,CIAT606,Brachiaria,decumbens,Brachiaria decumbens,Poaceae,Poales,Grasses,96.26224265,96.43146126,13.81500044,13.84886684,86.18499956,86.15113316,14.87095296,14.87095296,29.18439096,29.04953394,69.44402904,68.36255839
6,46090,Genebank,32,F260045,CIAT606,Brachiaria,decumbens,Brachiaria decumbens,Poaceae,Poales,Grasses,96.60067986,,13.88273325,,86.11726675,,14.87095296,,28.91467691,,67.28108774,
7,46090,Genebank,32,F260046,CIAT6038,Sorghum,almum,Sorghum almum,Poaceae,Poales,Grasses,94.09059094,94.12088035,11.59031776,11.54193706,88.40968224,88.45806294,15.67949542,15.67949542,33.74912781,33.63762985,70.61842569,69.99127872
8,46090,Genebank,32,F260046,CIAT6038,Sorghum,almum,Sorghum almum,Poaceae,Poales,Grasses,94.15116977,,11.49355636,,88.50644364,,15.67949542,,33.52613188,,69.36413175,
9,46090,Genebank,32,F260047,CIAT6042,Chloris,gayana,Chloris gayana,Poaceae,Poales,Grasses,92.81215635,92.8075176,11.80584641,11.76217363,88.19415359,88.23782637,13.58801274,13.58801274,34.79386617,34.98636929,73.74849115,73.77417239
