10_sample_serial_no,10_date,10_requisitioner,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_batches_ciat,10_id_lab,10_observaciones
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,Observaciones
1,46175,GENBANK,38,F260108,CIAT36090,Cenchrus,ciliaris,Cenchrus ciliaris,Poaceae,Poales,Grasses,"89,90,91",OT-002(2026),
2,46175,GENBANK,38,F260429,CIAT795,Rhynchosia,reticulata,Rhynchosia reticulata,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),
3,46175,GENBANK,38,F260432,CIAT966,Teramnus,labialis,Teramnus labialis,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),
4,46175,GENBANK,38,F260433,CIAT4042,Centrosema,grazielae,Centrosema grazielae,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),
5,46175,GENBANK,38,F260436,CIAT5098,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),
6,46175,GENBANK,38,F260438,CIAT5166,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),
7,46175,GENBANK,38,F260441,CIAT5236,Centrosema,arenarium,Centrosema arenarium,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),
8,46175,GENBANK,38,F260442,CIAT5325,Centrosema,virginianum,Centrosema virginianum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),
9,46175,GENBANK,38,F260443,CIAT5383,Periandra,coccinea,Periandra coccinea,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),
10,46175,GENBANK,38,F260444,CIAT5484,Centrosema,vexillatum,Centrosema vexillatum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),
11,46175,GENBANK,38,F260447,CIAT5850,Centrosema,brachypodum,Centrosema brachypodum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),
12,46175,GENBANK,38,F260450,CIAT7146,Rhynchosia,reticulata,Rhynchosia reticulata,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),
13,46175,GENBANK,38,F260454,CIAT8384,Canavalia,dictyota,Canavalia dictyota,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),
14,46175,GENBANK,38,F260456,CIAT8808,Galactia,jussiaeana,Galactia jussiaeana,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),
15,46175,GENBANK,38,F260464,CIAT15234,Centrosema,platycarpum,Centrosema platycarpum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),
