24_no,24_date,24_requisitioner,24_set_ciat,24_ciat_lab_id,24_gene_bank_breeding_program_id,24_genus,24_species,24_tax_name,24_family,24_order,24_functional_group,24_batches_ciat,24_id_lab,24_replication,24_ndf_percentage_dm,24_av_adf_percentage_dm
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,Replication,"NDF, % (DM)"," Av ADF, % (DM)"
1,46175,GENBANK,38,F260108,CIAT36090,Cenchrus,ciliaris,Cenchrus ciliaris,Poaceae,Poales,Grasses,"89,90,91",OT-002(2026),A,61.83,62.155
2,46175,GENBANK,38,F260108,CIAT36090,Cenchrus,ciliaris,Cenchrus ciliaris,Poaceae,Poales,Grasses,"89,90,91",OT-002(2026),B,62.48,
3,46175,GENBANK,38,F260429,CIAT795,Rhynchosia,reticulata,Rhynchosia reticulata,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,61.56917235,61.73604771
4,46175,GENBANK,38,F260429,CIAT795,Rhynchosia,reticulata,Rhynchosia reticulata,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,61.90292306,
5,46175,GENBANK,38,F260432,CIAT966,Teramnus,labialis,Teramnus labialis,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,53.69561175,53.431861
6,46175,GENBANK,38,F260432,CIAT966,Teramnus,labialis,Teramnus labialis,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,53.16811025,
7,46175,GENBANK,38,F260433,CIAT4042,Centrosema,grazielae,Centrosema grazielae,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,62.96838633,61.06951237
8,46175,GENBANK,38,F260433,CIAT4042,Centrosema,grazielae,Centrosema grazielae,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,59.1706384,
9,46175,GENBANK,38,F260436,CIAT5098,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,53.30852068,53.02675808
10,46175,GENBANK,38,F260436,CIAT5098,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,52.74499549,
11,46175,GENBANK,38,F260438,CIAT5166,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,56.33223124,55.37721699
12,46175,GENBANK,38,F260438,CIAT5166,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,54.42220275,
13,46175,GENBANK,38,F260441,CIAT5236,Centrosema,arenarium,Centrosema arenarium,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,61.65691514,60.26855259
14,46175,GENBANK,38,F260441,CIAT5236,Centrosema,arenarium,Centrosema arenarium,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,58.88019005,
15,46175,GENBANK,38,F260442,CIAT5325,Centrosema,virginianum,Centrosema virginianum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,60.17635552,59.34196218
16,46175,GENBANK,38,F260442,CIAT5325,Centrosema,virginianum,Centrosema virginianum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,58.50756884,
17,46175,GENBANK,38,F260443,CIAT5383,Periandra,coccinea,Periandra coccinea,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,59.45215609,59.29510154
18,46175,GENBANK,38,F260443,CIAT5383,Periandra,coccinea,Periandra coccinea,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,59.13804699,
19,46175,GENBANK,38,F260444,CIAT5484,Centrosema,vexillatum,Centrosema vexillatum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,59.42687768,59.91380965
20,46175,GENBANK,38,F260444,CIAT5484,Centrosema,vexillatum,Centrosema vexillatum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,60.40074163,
21,46175,GENBANK,38,F260447,CIAT5850,Centrosema,brachypodum,Centrosema brachypodum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,61.07226642,60.73621134
22,46175,GENBANK,38,F260447,CIAT5850,Centrosema,brachypodum,Centrosema brachypodum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,60.40015627,
23,46175,GENBANK,38,F260450,CIAT7146,Rhynchosia,reticulata,Rhynchosia reticulata,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,65.59179472,66.10904208
24,46175,GENBANK,38,F260450,CIAT7146,Rhynchosia,reticulata,Rhynchosia reticulata,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,66.62628944,
25,46175,GENBANK,38,F260454,CIAT8384,Canavalia,dictyota,Canavalia dictyota,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,54.12440812,52.43205309
26,46175,GENBANK,38,F260454,CIAT8384,Canavalia,dictyota,Canavalia dictyota,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,50.73969807,
27,46175,GENBANK,38,F260456,CIAT8808,Galactia,jussiaeana,Galactia jussiaeana,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,60.90731028,62.52562543
28,46175,GENBANK,38,F260456,CIAT8808,Galactia,jussiaeana,Galactia jussiaeana,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,64.14394058,
29,46175,GENBANK,38,F260464,CIAT15234,Centrosema,platycarpum,Centrosema platycarpum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,58.38828214,56.71667037
30,46175,GENBANK,38,F260464,CIAT15234,Centrosema,platycarpum,Centrosema platycarpum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,55.0450586,
31,46175,GENBANK,38,F260468,CIAT15444,Centrosema,tetragonolobum,Centrosema tetragonolobum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,54.84615414,55.78662955
32,46175,GENBANK,38,F260468,CIAT15444,Centrosema,tetragonolobum,Centrosema tetragonolobum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,56.72710495,
33,46175,GENBANK,38,F260482,CIAT19445,Galactia,dubia,Galactia dubia,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,64.59421569,64.72851981
34,46175,GENBANK,38,F260482,CIAT19445,Galactia,dubia,Galactia dubia,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,64.86282392,
35,46175,GENBANK,38,F260484,CIAT20820,Canavalia,gladiata,Canavalia gladiata,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,56.58516181,56.47103092
36,46175,GENBANK,38,F260484,CIAT20820,Canavalia,gladiata,Canavalia gladiata,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,56.35690004,
37,46175,GENBANK,38,F260489,CIAT21829,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,63.50869456,64.04334989
38,46175,GENBANK,38,F260489,CIAT21829,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,64.57800523,
39,46175,GENBANK,38,F260492,CIAT22188,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,59.32236339,59.54909491
40,46175,GENBANK,38,F260492,CIAT22188,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,59.77582643,
41,46175,GENBANK,38,F260500,CIAT25156,Centrosema,platycarpum,Centrosema platycarpum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,58.2245626,58.47313957
42,46175,GENBANK,38,F260500,CIAT25156,Centrosema,platycarpum,Centrosema platycarpum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,58.72171653,
43,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,"89,90,91",OT-029(2026) AGES,A,,#DIV/0!
44,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,"89,90,91",OT-029(2026) AGES,B,,
45,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,"89,90,91",OT-029(2026) AGES,A,,#DIV/0!
46,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,"89,90,91",OT-029(2026) AGES,B,,
47,46175,GENBANK,38,F263139,CIAT918,Rhynchosia,schomburgkii,Rhynchosia schomburgkii,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,68.3462232,66.73643627
48,46175,GENBANK,38,F263139,CIAT918,Rhynchosia,schomburgkii,Rhynchosia schomburgkii,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,65.12664934,
