40_sample_serial_no,40_date,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_av_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
1,46175,GENBANK,38,F260108,CIAT36090,Cenchrus,ciliaris,Cenchrus ciliaris,Poaceae,Poales,Grasses,86.4,86.37,15.88,15.74,84.12,84.26,17.78,17.78,35.88,36.69,61.83,62.155
2,46175,GENBANK,38,F260108,CIAT36090,Cenchrus,ciliaris,Cenchrus ciliaris,Poaceae,Poales,Grasses,86.34,,15.6,,84.4,,17.78,,37.5,,62.48,
3,46175,GENBANK,38,F260429,CIAT795,Rhynchosia,reticulata,Rhynchosia reticulata,Fabaceae,Fabales,Climber,94.71211515,94.74605758,90.28316564,90.2337269,9.716834355,9.766273102,16.71865494,16.71865494,46.93440679,46.58719765,61.56917235,61.73604771
4,46175,GENBANK,38,F260429,CIAT795,Rhynchosia,reticulata,Rhynchosia reticulata,Fabaceae,Fabales,Climber,94.78,,90.18428815,,9.815711849,,16.71865494,,46.23998851,,61.90292306,
5,46175,GENBANK,38,F260432,CIAT966,Teramnus,labialis,Teramnus labialis,Fabaceae,Fabales,Climber,92.77072293,92.87536146,88.42650522,88.96428246,11.57349478,11.03571754,18.12297408,18.12297408,37.58843795,37.48149443,53.69561175,53.431861
6,46175,GENBANK,38,F260432,CIAT966,Teramnus,labialis,Teramnus labialis,Fabaceae,Fabales,Climber,92.98,,89.5020597,,10.4979403,,18.12297408,,37.37455091,,53.16811025,
7,46175,GENBANK,38,F260433,CIAT4042,Centrosema,grazielae,Centrosema grazielae,Fabaceae,Fabales,Climber,95.47181128,95.53590564,87.95699087,87.95458227,12.04300913,12.04541773,20.66577313,20.66577313,41.12363335,40.67688764,62.96838633,61.06951237
8,46175,GENBANK,38,F260433,CIAT4042,Centrosema,grazielae,Centrosema grazielae,Fabaceae,Fabales,Climber,95.6,,87.95217366,,12.04782634,,20.66577313,,40.23014193,,59.1706384,
9,46175,GENBANK,38,F260436,CIAT5098,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,94.20115977,94.21144662,90.5444416,90.645721,9.455558401,9.354279004,19.01920801,19.01920801,39.17592312,38.84472249,53.30852068,53.02675808
10,46175,GENBANK,38,F260436,CIAT5098,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,94.22173348,,90.74700039,,9.252999606,,19.01920801,,38.51352187,,52.74499549,
11,46175,GENBANK,38,F260438,CIAT5166,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,94.56054395,94.54081986,91.82445521,91.93061717,8.175544795,8.069382834,15.65162904,15.65162904,32.83073095,32.2969052,56.33223124,55.37721699
12,46175,GENBANK,38,F260438,CIAT5166,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,94.52109578,,92.03677913,,7.963220873,,15.65162904,,31.76307945,,54.42220275,
