id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F24 3469,ABC-10647,Stylosanthes scabra,Herbaceous_legumes,15.9,18.79,48.31,67.34
F24-3636,ABC-11162,Stylosanthes scabra,Herbaceous_legumes,12.44,14.9,59.15,52.92
F24 3470,ABC-11194,Stylosanthes hamata,Herbaceous_legumes,15.17,18.03,46.12,59.25
F25-0989,ABC-11833,Stylosanthes guianensis,Herbaceous_legumes,11.63,13.19,63.62,30.51
F25-0970,ABC-11998,Stylosanthes guianensis,Herbaceous_legumes,11.18,11.95,44.53,41.12
F24 3471,ABC-11999,Stylosanthes guianensis,Herbaceous_legumes,12.98,16.25,46.61,58.55
F24 3472,ABC-12318,Stylosanthes hamata,Herbaceous_legumes,13.99,16.96,52.26,56.88
F24 3427,ABC-1257,Stylosanthes scabra,Herbaceous_legumes,14.53,16.4,43.29,58.67
F24 3427,ABC-1257,Stylosanthes scabra,Herbaceous_legumes,14.53,16.4,43.29,58.67
F25-0971,ABC-13149,Desmodium strigillosum,Herbaceous_legumes,13.32,14.4,108.91,25.02
F25-0931,ABC-13268,Tadehagi triquetrum,Herbaceous_legumes,11.21,12.93,30.9,38.94
F24-3637,ABC-13301,Desmodium sequax,Herbaceous_legumes,14.0,15.99,98.6,20.19
F25-0972,ABC-13389,Desmodium sequax,Herbaceous_legumes,12.72,13.54,48.91,21.43
F24 3473,ABC-13575,Desmodium incanum,Herbaceous_legumes,13.6,16.23,42.43,42.85
F24 3474,ABC-13609,Desmodium incanum,Herbaceous_legumes,13.66,16.31,46.39,38.4
F25-0973,ABC-13651,Desmodium heterocarpon,Herbaceous_legumes,13.13,14.0,133.49,26.57
F25-0942,ABC-13692,Desmodium velutinum,Shrub_Trees,15.48,16.96,56.63,40.73
F25-0974,ABC-13946,Desmodium sequax,Herbaceous_legumes,11.36,11.89,129.27,11.35
F24-3540,ABC-1467,Stylosanthes hamata,Herbaceous_legumes,13.24,14.9,111.33,30.52
F24-3541,ABC-1475,Stylosanthes hamata,Herbaceous_legumes,13.28,14.85,114.49,27.32
F25-0943,ABC-15121,Centrosema macrocarpum,Herbaceous_legumes,13.6,15.17,59.58,44.38
F25-0944,ABC-15150,Centrosema molle,Herbaceous_legumes,13.48,14.24,48.67,43.89
F25-0945,ABC-15154,Centrosema molle,Herbaceous_legumes,13.42,14.17,50.54,34.19
F25-0975,ABC-15160,Centrosema molle,Herbaceous_legumes,13.49,14.23,69.41,30.56
F24-3638,ABC-15401,Centrosema brasilianum,Herbaceous_legumes,13.79,15.68,58.85,45.72
F25-0930,ABC-15470,Centrosema molle,Herbaceous_legumes,13.77,14.6,40.38,45.55
F25-0929,ABC-15474,Centrosema molle,Herbaceous_legumes,13.15,13.56,35.27,47.0
F24 3475,ABC-15551,Centrosema molle,Herbaceous_legumes,14.79,17.49,50.03,49.72
F25-0946,ABC-15561,Centrosema molle,Herbaceous_legumes,13.26,14.73,45.05,43.99
F25-0947,ABC-15799,Centrosema macrocarpum,Herbaceous_legumes,13.26,14.06,37.78,47.56
F25-0948,ABC-15816,Centrosema acutifolium,Herbaceous_legumes,13.39,14.86,47.5,46.2
F24-3542,ABC-1650,Stylosanthes guianensis,Herbaceous_legumes,12.89,14.16,57.45,39.43
F25-0976,ABC-17000,Chamaecrista rotundifolia,Herbaceous_legumes,5.08,9.14,41.66,39.43
F25-0977,ABC-17009,Canavalia brasiliensis,Herbaceous_legumes,13.86,16.38,64.86,47.23
F24 3476,ABC-17024,Desmanthus pernambucanus,Shrub_Trees,14.17,16.84,46.29,40.14
F24-3543,ABC-1706,Stylosanthes humilis,Herbaceous_legumes,13.0,14.48,119.18,32.95
F24 3477,ABC-17091,Crotalaria micans,Herbaceous_legumes,15.17,17.46,48.83,66.12
F24-3539,ABC-172,Stylosanthes hamata,Herbaceous_legumes,13.22,14.59,123.41,29.33
F24-3544,ABC-1727,Stylosanthes humilis,Herbaceous_legumes,11.83,14.23,64.29,36.15
F24-3639,ABC-17360,Alysicarpus vaginalis,Herbaceous_legumes,15.82,17.0,40.0,62.7
