id_lab,id,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml/g_dm_incubated_24h,ch4_ml/g_NDF_digested_24h,methane_intensity,tddm
F24 3416,ABC-705,Indigofera suffruticosa,Herbaceous,29.35,61.94,4.18,10.75,14.26,17.35,134.59,149.32,31.84,74.34
F24 3417,ABC-707,Alysicarpus ovalifolius,Herbaceous,30.58,66.26,4.14,10.77,13.54,16.24,147.01,125.18,36.44,65.97
F24 3418,ABC-712,Clitoria ternatea,Climber,39.78,78.31,5.0,11.59,12.57,14.79,171.45,153.83,40.73,62.66
F24 3419,ABC-749,Crotalaria juncea,Herbaceous,35.75,67.64,5.01,10.55,14.03,15.59,147.39,150.15,35.43,65.15
F24 3420,ABC-768,Clitoria ternatea,Climber,33.53,74.13,4.52,11.67,13.49,15.73,160.77,134.6,39.08,64.82
F24 3421,ABC-772,Clitoria ternatea,Climber,32.31,75.06,4.33,11.18,13.46,14.99,163.99,77.57,37.92,65.1
F24 3422,ABC-819,Indigofera suffruticosa,Herbaceous,32.19,63.24,4.58,10.73,14.22,16.94,139.32,201.43,39.4,60.93
F24 3423,ABC-905,Canavalia brasiliensis,Climber,38.42,76.32,4.64,11.79,12.08,15.4,166.0,908.11,40.88,63.42
F24 3424,ABC-913,Cajanus cajan,Shrub,23.97,58.26,3.24,9.37,13.53,16.14,122.89,102.87,32.83,60.86
F24 3425,ABC-955,Clitoria ternatea,Climber,37.78,84.29,4.83,12.25,12.82,14.54,183.5,138.41,45.45,59.65
F24 1047,nan,Albizzia saman,Tree,13.49,21.97,1.65,3.14,12.24,14.19,37.42,19.07,7.37,80.97
F24 1070,nan,Gliricidia sepium,Tree,21.43,47.0,2.21,6.63,10.34,14.07,79.63,58.26,16.79,76.64
F24 1075,nan,Leucaena diversifolia,Tree,10.3,28.22,1.03,3.92,9.58,13.74,44.08,33.95,9.44,78.04
F24 1084,nan,Brachiaria decumbens,Grass,26.13,58.6,2.4,6.04,9.02,10.31,96.92,76.52,16.24,72.5
F24 1095,nan,Setaria sphacelata,Grass,18.06,43.63,1.83,6.49,10.11,14.55,70.14,51.81,16.15,77.84
F24 3426,ABC-989,Indigofera hirsuta,Herbaceous,24.89,43.03,3.73,6.9,14.92,15.99,93.13,49.86,29.71,50.48
F24 3427,ABC-1257,Stylosanthes scabra,Herbaceous,34.23,70.83,5.01,11.62,14.53,16.4,152.7,93.2,43.29,58.67
F24 3428,ABC-3240,Desmodium cinereum,Herbaceous,32.36,55.32,5.82,10.22,17.96,18.55,119.07,199.76,39.06,56.51
F24 3429,ABC-3522,Desmodium incanum,Herbaceous,23.86,39.39,3.75,6.87,15.64,17.48,84.4,-521.27,39.25,37.71
F24 3430,ABC-4134,Macroptilium lathyroides,Climber,37.62,71.3,6.2,12.85,16.37,17.99,155.04,76.0,42.33,66.52
F24 3431,ABC-4279,Vigna umbellata,Herbaceous,36.19,73.74,6.05,13.23,16.66,17.91,161.93,114.4,41.87,70.2
F24 3432,ABC-5124,Centrosema molle x acutifolium,Climber,30.99,55.37,5.02,9.69,16.01,17.43,120.22,96.27,36.76,58.03
F24 3433,ABC-5234,Centrosema brasilianum,Climber,34.71,66.24,4.96,10.72,14.16,16.17,143.11,106.26,37.63,61.53
F24 3434,ABC-7292,Chamaecrista desvauxii,Herbaceous,28.77,51.11,4.19,8.17,14.51,16.05,111.04,249.39,36.64,48.53
F24 3435,ABC-7317,Canavalia sp.,Climber,34.9,64.66,5.2,10.57,14.86,16.36,139.8,108.22,32.96,69.48
F24 3436,ABC-7322,Canavalia sp.,Climber,35.9,73.43,5.78,13.11,15.95,17.8,164.28,133.46,39.25,74.78
F24 3437,ABC-7339,Indigofera lespedezioides,Herbaceous,28.5,47.62,4.34,8.06,15.14,16.95,103.48,205.88,32.89,54.07
F24 3438,ABC-7469,Clitoria ternatea,Climber,38.78,75.99,6.19,12.94,15.82,17.0,164.84,116.41,42.97,66.22
F24 3439,ABC-7643,Desmanthus pernambucanus,Shrub,28.58,52.35,4.41,8.99,15.06,16.94,116.87,161.7,42.3,47.11
F24 3440,ABC-7703,Aeschynomene indica,Herbaceous,34.95,65.78,5.35,10.67,15.23,16.22,143.02,100.78,40.57,57.76
F24 3441,ABC-7714,Alysicarpus glumaceus,Herbaceous,36.05,65.7,5.49,10.98,15.09,16.6,141.15,99.24,36.76,64.72
