id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
28,101045,Medicago sativa subsp. Sativa,Herbaceous_legumes,12.13,14.24,41.44,65.73
29,101063,Medicago sativa,Herbaceous_legumes,12.97,15.01,54.5,53.87
30,101065,Medicago sativa,Herbaceous_legumes,12.85,14.69,51.99,59.32
31,101076,Medicago sativa,Herbaceous_legumes,12.95,14.47,52.55,55.19
32,101077,Medicago sativa,Herbaceous_legumes,12.78,14.6,54.65,54.72
33,101094,Medicago sativa,Herbaceous_legumes,11.98,14.03,47.59,56.46
34,101095,Medicago sativa,Herbaceous_legumes,12.23,14.27,53.94,55.38
35,101097,Medicago sativa,Herbaceous_legumes,12.15,14.24,50.35,63.14
36,156276,trifolium pratense,Herbaceous_legumes,13.47,15.16,54.19,57.52
37,156283,trifolium pratense,Herbaceous_legumes,13.09,14.76,49.39,62.1
38,156292,trifolium pratense,Herbaceous_legumes,12.74,15.05,51.25,65.27
39,156297,trifolium pratense,Herbaceous_legumes,14.19,15.47,43.79,67.35
47,16162,Medicago noeana,Herbaceous_legumes,14.42,15.23,43.32,63.17
40,165072,Vicia tenuifolia,Herbaceous_legumes,14.46,15.32,43.02,72.35
43,165563,trifolium pratense,Herbaceous_legumes,13.76,14.75,42.48,68.8
48,16635,Astragalus boeticus,Herbaceous_legumes,13.17,14.19,39.1,75.92
44,168125,Lathyrus sylvestris,Herbaceous_legumes,15.94,16.22,38.08,55.91
45,171123,lathyrus latifolius,Herbaceous_legumes,15.44,16.08,42.12,66.38
46,171152,lathyrus pratense,Herbaceous_legumes,14.83,15.02,29.95,61.35
49,49164,Pisum sativum,Herbaceous_legumes,14.57,15.23,44.41,79.19
50,49208,Pisum sativum var. arvense,Herbaceous_legumes,13.77,14.79,39.66,71.75
51,50542,Pisum sativum subsp. Sativum,Herbaceous_legumes,14.31,15.15,43.83,68.34
464,nan,Hordeum vulgare,Grass,11.21,11.58,30.78,86.67
465,nan,Hordeum vulgare,Grass,11.71,11.5,29.87,83.15
463,nan,Hordeum vulgare,Grass,12.73,12.93,24.96,83.7
468,nan,Hordeum vulgare,Grass,9.46,8.81,23.73,86.03
467,nan,Hordeum vulgare,Grass,10.94,10.49,29.96,85.05
462,nan,Hordeum vulgare,Grass,13.26,13.48,29.03,87.43
469,nan,Hordeum vulgare,Grass,10.54,10.02,27.67,87.14
470,nan,Hordeum vulgare,Grass,11.34,10.88,30.47,85.06
466,nan,Hordeum vulgare,Grass,11.14,10.36,29.53,83.3
461,nan,Hordeum vulgare,Grass,13.23,12.4,27.55,85.93
454,nan,Hordeum vulgare,Grass,12.94,12.95,28.3,86.19
459,nan,Hordeum vulgare,Grass,12.7,12.48,25.08,86.94
458,nan,Hordeum vulgare,Grass,12.42,12.24,26.65,87.01
457,nan,Hordeum vulgare,Grass,13.72,13.78,28.52,82.02
456,nan,Hordeum vulgare,Grass,11.83,12.26,28.18,86.44
455,nan,Hordeum vulgare,Grass,13.28,13.13,28.4,85.01
471,nan,Hordeum vulgare,Grass,12.14,11.97,31.03,83.98
453,nan,Hordeum vulgare,Grass,13.16,12.96,28.7,76.22
452,nan,Hordeum vulgare,Grass,12.81,12.64,25.06,76.28
451,nan,Hordeum vulgare,Grass,13.13,12.73,27.1,71.05
450,nan,Hordeum vulgare,Grass,13.14,13.0,27.75,84.5
460,nan,Hordeum vulgare,Grass,13.41,13.08,25.69,90.32
472,nan,Hordeum vulgare,Grass,12.36,7.79,41.31,84.94
483,nan,Hordeum vulgare,Grass,11.47,10.75,30.74,82.43
474,nan,Hordeum vulgare,Grass,13.1,12.86,34.38,82.72
495,nan,Hordeum vulgare,Grass,12.16,11.84,34.91,78.53
494,nan,Hordeum vulgare,Grass,11.77,11.7,32.47,81.93
493,nan,Hordeum vulgare,Grass,11.94,11.72,32.74,78.19
492,nan,Hordeum vulgare,Grass,11.48,10.97,32.34,82.0
491,nan,Hordeum vulgare,Grass,11.83,11.31,34.26,80.67
490,nan,Hordeum vulgare,Grass,11.69,11.42,35.21,80.12
489,nan,Hordeum vulgare,Grass,11.12,10.35,30.15,83.08
488,nan,Hordeum vulgare,Grass,11.89,11.2,33.6,72.79
487,nan,Hordeum vulgare,Grass,12.4,11.93,31.32,81.6
486,nan,Hordeum vulgare,Grass,12.3,12.17,36.93,81.68
485,nan,Hordeum vulgare,Grass,12.54,12.3,35.7,82.66
484,nan,Hordeum vulgare,Grass,11.89,11.43,33.4,84.69
449,nan,Hordeum vulgare,Grass,13.52,13.15,26.81,86.63
482,nan,Hordeum vulgare,Grass,11.38,10.46,29.46,82.26
481,nan,Hordeum vulgare,Grass,12.01,11.79,35.55,82.96
480,nan,Hordeum vulgare,Grass,12.23,12.07,34.56,84.61
479,nan,Hordeum vulgare,Grass,12.66,12.54,34.82,82.31
478,nan,Hordeum vulgare,Grass,11.82,9.43,34.79,79.69
477,nan,Hordeum vulgare,Grass,12.02,11.88,35.04,85.48
476,nan,Hordeum vulgare,Grass,12.94,12.65,39.45,79.27
475,nan,Hordeum vulgare,Grass,12.49,12.2,41.62,72.72
473,nan,Hordeum vulgare,Grass,12.72,12.13,35.23,71.42
448,nan,Hordeum vulgare,Grass,14.04,14.48,28.55,85.24
437,nan,Hordeum vulgare,Grass,12.89,14.94,43.13,85.94
446,nan,Hordeum vulgare,Grass,12.92,12.55,27.33,88.56
420,nan,Hordeum vulgare,Grass,12.66,14.65,39.86,87.06
419,nan,Hordeum vulgare,Grass,12.61,14.56,44.06,85.37
418,nan,Hordeum vulgare,Grass,12.92,14.59,41.94,83.9
417,nan,Hordeum vulgare,Grass,13.18,15.26,39.07,85.01
416,nan,Hordeum vulgare,Grass,12.78,15.06,42.94,84.38
415,nan,Hordeum vulgare,Grass,13.03,15.25,41.06,85.27
414,nan,Hordeum vulgare,Grass,12.73,14.36,40.49,87.61
413,nan,Hordeum vulgare,Grass,12.98,14.71,39.43,80.91
412,nan,Hordeum vulgare,Grass,12.46,14.17,39.6,87.77
411,nan,Hordeum vulgare,Grass,13.16,14.68,42.9,83.13
410,nan,Hordeum vulgare,Grass,12.76,14.15,39.39,85.56
409,nan,Hordeum vulgare,Grass,12.67,14.11,44.53,77.58
408,nan,Hordeum vulgare,Grass,12.67,13.11,44.67,81.44
407,nan,Hordeum vulgare,Grass,13.06,14.43,41.83,81.69
406,nan,Hordeum vulgare,Grass,13.32,14.79,39.05,80.9
405,nan,Hordeum vulgare,Grass,13.03,14.51,42.87,80.18
404,nan,Hordeum vulgare,Grass,12.64,14.2,43.5,78.76
403,nan,Hordeum vulgare,Grass,13.3,14.6,36.79,84.42
402,nan,Hordeum vulgare,Grass,14.79,14.26,37.2,76.9
401,nan,Lathyrus sativus,Herbaceous_legumes,14.07,13.45,38.37,78.86
400,nan,Lathyrus sativus,Herbaceous_legumes,15.23,14.71,41.27,74.63
421,nan,Hordeum vulgare,Grass,12.76,14.75,39.9,87.49
447,nan,Hordeum vulgare,Grass,14.12,13.91,25.19,81.74
422,nan,Hordeum vulgare,Grass,12.94,14.75,40.0,87.08
424,nan,Hordeum vulgare,Grass,12.69,14.81,43.21,87.05
445,nan,Hordeum vulgare,Grass,12.66,12.77,27.25,90.82
444,nan,Hordeum vulgare,Grass,13.3,13.16,26.31,76.99
443,nan,Hordeum vulgare,Grass,10.73,12.82,33.51,77.5
442,nan,Hordeum vulgare,Grass,10.98,12.82,32.6,83.02
441,nan,Hordeum vulgare,Grass,12.37,14.44,36.26,87.83
440,nan,Hordeum vulgare,Grass,11.91,13.85,36.51,84.37
439,nan,Hordeum vulgare,Grass,13.04,14.95,38.75,84.89
438,nan,Hordeum vulgare,Grass,12.19,14.19,38.24,78.42
496,nan,Hordeum vulgare,Grass,11.99,11.59,33.56,82.8
436,nan,Hordeum vulgare,Grass,12.89,14.83,41.45,87.58
435,nan,Hordeum vulgare,Grass,12.63,14.65,39.81,87.58
434,nan,Hordeum vulgare,Grass,12.63,14.41,38.46,85.29
433,nan,Hordeum vulgare,Grass,11.97,13.62,39.01,80.03
432,nan,Hordeum vulgare,Grass,12.39,13.9,40.8,84.79
431,nan,Hordeum vulgare,Grass,12.51,14.37,43.37,88.2
430,nan,Hordeum vulgare,Grass,13.06,14.87,40.03,87.73
429,nan,Hordeum vulgare,Grass,12.6,14.29,39.98,86.29
428,nan,Hordeum vulgare,Grass,12.93,15.23,42.22,87.26
427,nan,Hordeum vulgare,Grass,12.76,14.71,41.96,87.8
426,nan,Hordeum vulgare,Grass,13.23,15.09,38.85,87.99
425,nan,Hordeum vulgare,Grass,12.26,14.17,39.32,88.74
423,nan,Hordeum vulgare,Grass,12.39,14.29,38.18,88.43
497,nan,Hordeum vulgare,Grass,11.42,10.97,32.73,82.03
499,nan,Hordeum vulgare,Grass,12.13,11.87,34.04,80.72
763,nan,Hordeum vulgare,Grass,17.38,17.37,49.49,51.92
762,nan,Hordeum vulgare,Grass,17.68,17.63,57.12,48.26
761,nan,Hordeum vulgare,Grass,19.31,19.34,69.47,43.0
760,nan,Hordeum vulgare,Grass,19.3,19.42,64.92,40.48
759,nan,Hordeum vulgare,Grass,19.25,19.49,63.54,42.78
758,nan,Hordeum vulgare,Grass,18.91,18.91,58.86,46.89
757,nan,Hordeum vulgare,Grass,19.01,19.14,57.59,47.8
756,nan,Hordeum vulgare,Grass,17.78,17.77,57.16,51.11
755,nan,Hordeum vulgare,Grass,16.97,17.04,42.62,46.87
754,nan,Hordeum vulgare,Grass,15.91,15.92,47.93,45.95
753,nan,Hordeum vulgare,Grass,16.0,15.7,42.1,48.19
752,nan,Hordeum vulgare,Grass,16.21,16.0,43.38,46.59
751,nan,Hordeum vulgare,Grass,16.39,16.46,46.82,42.44
750,nan,Hordeum vulgare,Grass,14.02,14.17,49.28,47.39
749,nan,Hordeum vulgare,Grass,14.27,14.26,49.99,47.12
748,nan,Hordeum vulgare,Grass,14.37,14.39,46.62,50.54
747,nan,Hordeum vulgare,Grass,13.92,13.96,47.75,50.81
746,nan,Hordeum vulgare,Grass,13.93,14.1,51.56,55.63
745,nan,Hordeum vulgare,Grass,14.47,14.31,49.24,45.06
744,nan,Hordeum vulgare,Grass,14.31,14.4,49.79,48.22
743,nan,Hordeum vulgare,Grass,15.96,15.9,63.47,46.01
764,nan,Hordeum vulgare,Grass,18.65,18.87,55.75,42.74
742,nan,Hordeum vulgare,Grass,14.83,14.78,54.88,44.04
765,nan,Hordeum vulgare,Grass,17.97,18.09,51.87,46.68
767,nan,Hordeum vulgare,Grass,19.29,19.46,53.34,45.93
788,nan,Hordeum vulgare,Grass,14.9,14.83,55.17,45.75
787,nan,Hordeum vulgare,Grass,14.22,12.8,27.23,54.24
786,nan,Hordeum vulgare,Grass,15.34,15.24,47.91,49.53
785,nan,Hordeum vulgare,Grass,15.63,15.6,55.93,45.87
784,nan,Hordeum vulgare,Grass,16.79,16.7,54.51,57.3
783,nan,Hordeum vulgare,Grass,17.51,17.46,61.55,47.15
782,nan,Hordeum vulgare,Grass,16.72,16.62,54.01,68.75
781,nan,Hordeum vulgare,Grass,17.82,17.8,55.99,45.48
780,nan,Hordeum vulgare,Grass,17.72,17.65,52.64,50.89
779,nan,Hordeum vulgare,Grass,18.0,18.36,59.58,39.4
778,nan,Hordeum vulgare,Grass,17.5,17.72,90.02,40.21
777,nan,Hordeum vulgare,Grass,16.9,17.12,64.41,41.15
776,nan,Hordeum vulgare,Grass,16.87,18.42,120.88,38.5
775,nan,Hordeum vulgare,Grass,17.6,17.86,57.43,70.58
774,nan,Hordeum vulgare,Grass,17.51,18.22,87.62,36.62
773,nan,Hordeum vulgare,Grass,14.51,14.55,124.77,40.89
772,nan,Hordeum vulgare,Grass,17.36,17.45,109.34,40.26
771,nan,Hordeum vulgare,Grass,17.82,17.83,125.23,37.29
770,nan,Hordeum vulgare,Grass,16.96,16.95,83.96,45.88
769,nan,Hordeum vulgare,Grass,17.85,17.84,74.29,45.24
768,nan,Hordeum vulgare,Grass,17.39,17.43,67.22,43.14
766,nan,Hordeum vulgare,Grass,17.88,17.87,58.02,44.41
741,nan,Hordeum vulgare,Grass,14.74,14.71,57.58,44.68
740,nan,Hordeum vulgare,Grass,15.12,15.01,52.69,38.98
739,nan,Hordeum vulgare,Grass,14.6,14.58,49.83,43.13
712,nan,Hordeum vulgare,Grass,14.78,14.49,65.42,37.04
711,nan,Hordeum vulgare,Grass,14.49,14.15,65.3,41.53
710,nan,Hordeum vulgare,Grass,14.82,14.28,69.89,32.91
709,nan,Hordeum vulgare,Grass,15.21,14.75,64.84,38.39
708,nan,Hordeum vulgare,Grass,14.84,14.42,69.42,37.86
707,nan,Hordeum vulgare,Grass,14.12,14.03,72.11,34.74
706,nan,Hordeum vulgare,Grass,14.56,13.87,73.83,34.43
705,nan,Hordeum vulgare,Grass,15.72,15.4,64.25,36.01
704,nan,Hordeum vulgare,Grass,15.03,14.56,151.36,36.06
703,nan,Hordeum vulgare,Grass,15.12,14.6,56.68,41.76
702,nan,Hordeum vulgare,Grass,15.27,14.7,52.58,38.43
399,nan,Lathyrus sativus,Herbaceous_legumes,15.23,14.76,37.26,80.29
505,nan,Hordeum vulgare,Grass,11.33,10.73,59.73,42.95
504,nan,Hordeum vulgare,Grass,12.9,12.95,163.86,23.85
503,nan,Hordeum vulgare,Grass,13.57,13.49,75.01,32.04
502,nan,Hordeum vulgare,Grass,12.78,12.08,36.29,77.62
501,nan,Hordeum vulgare,Grass,13.52,13.19,46.01,76.59
500,nan,Hordeum vulgare,Grass,13.3,13.3,45.72,74.06
713,nan,Hordeum vulgare,Grass,14.62,14.45,85.19,31.91
714,nan,Hordeum vulgare,Grass,15.06,14.74,67.73,35.75
715,nan,Hordeum vulgare,Grass,14.7,14.46,64.79,43.07
716,nan,Hordeum vulgare,Grass,14.54,14.32,57.21,45.12
738,nan,Hordeum vulgare,Grass,14.94,15.01,52.42,46.92
