id_lab,id,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_NDF_digested_24h,methane_intensity,tddm
28,101045,Medicago sativa subsp. Sativa,Herbaceous_legumes,57.34,89.93,6.93,12.79,12.13,14.24,191.27,6.43,41.44,65.73
29,101063,Medicago sativa,Herbaceous_legumes,54.33,92.96,7.03,13.95,12.97,15.01,194.48,5.47,54.5,53.87
30,101065,Medicago sativa,Herbaceous_legumes,62.67,98.97,8.1,14.57,12.85,14.69,207.87,6.3,51.99,59.32
31,101076,Medicago sativa,Herbaceous_legumes,57.24,94.65,7.5,13.73,12.95,14.47,199.71,5.43,52.55,55.19
32,101077,Medicago sativa,Herbaceous_legumes,59.38,96.09,7.61,14.05,12.78,14.6,201.13,6.08,54.65,54.72
33,101094,Medicago sativa,Herbaceous_legumes,53.88,91.15,6.59,12.83,11.98,14.03,190.86,4.96,47.59,56.46
34,101095,Medicago sativa,Herbaceous_legumes,57.56,96.77,7.16,13.89,12.23,14.27,202.89,5.39,53.94,55.38
35,101097,Medicago sativa,Herbaceous_legumes,60.61,100.02,7.52,14.35,12.15,14.24,207.93,6.14,50.35,63.14
36,156276,trifolium pratense,Herbaceous_legumes,47.2,92.5,6.42,14.07,13.47,15.16,195.6,7.1,54.19,57.52
37,156283,trifolium pratense,Herbaceous_legumes,54.84,98.5,7.22,14.56,13.09,14.76,206.0,7.35,49.39,62.1
38,156292,trifolium pratense,Herbaceous_legumes,60.6,104.9,7.83,15.86,12.74,15.05,221.25,9.47,51.25,65.27
39,156297,trifolium pratense,Herbaceous_legumes,45.29,88.72,6.5,13.8,14.19,15.47,190.03,8.03,43.79,67.35
47,16162,Medicago noeana,Herbaceous_legumes,57.56,82.23,8.39,12.53,14.42,15.23,179.21,5.15,43.32,63.17
40,165072,Vicia tenuifolia,Herbaceous_legumes,50.41,94.15,7.41,14.52,14.46,15.32,202.5,9.41,43.02,72.35
43,165563,trifolium pratense,Herbaceous_legumes,66.52,92.68,9.32,13.74,13.76,14.75,197.26,8.98,42.48,68.8
48,16635,Astragalus boeticus,Herbaceous_legumes,85.31,100.23,11.16,14.17,13.17,14.19,209.27,6.1,39.1,75.92
44,168125,Lathyrus sylvestris,Herbaceous_legumes,49.19,61.57,7.93,10.07,15.94,16.22,129.22,4.9,38.08,55.91
45,171123,lathyrus latifolius,Herbaceous_legumes,65.97,83.46,10.15,13.48,15.44,16.08,172.86,5.07,42.12,66.38
46,171152,lathyrus pratense,Herbaceous_legumes,44.69,58.01,6.56,8.68,14.83,15.02,122.95,3.13,29.95,61.35
49,49164,Pisum sativum,Herbaceous_legumes,76.21,107.03,11.15,16.32,14.57,15.23,230.91,8.04,44.41,79.19
50,49208,Pisum sativum var. arvense,Herbaceous_legumes,66.53,88.62,9.18,13.1,13.77,14.79,191.87,5.22,39.66,71.75
51,50542,Pisum sativum subsp. Sativum,Herbaceous_legumes,68.26,92.42,9.88,14.01,14.31,15.15,197.21,5.89,43.83,68.34
464,nan,Hordeum vulgare,Grass,83.18,85.45,8.84,9.24,11.21,11.58,235.52,3.32,30.78,86.67
465,nan,Hordeum vulgare,Grass,94.46,89.86,11.02,10.28,11.71,11.5,217.0,3.6,29.87,83.15
463,nan,Hordeum vulgare,Grass,66.69,62.07,7.79,7.39,12.73,12.93,204.63,2.98,24.96,83.7
468,nan,Hordeum vulgare,Grass,100.46,92.58,9.3,8.06,9.46,8.81,237.82,3.2,23.73,86.03
467,nan,Hordeum vulgare,Grass,98.84,92.63,10.83,9.82,10.94,10.49,237.7,3.4,29.96,85.05
462,nan,Hordeum vulgare,Grass,67.74,64.9,8.38,8.16,13.26,13.48,227.32,3.22,29.03,87.43
469,nan,Hordeum vulgare,Grass,102.4,94.63,10.82,9.54,10.54,10.02,237.46,3.97,27.67,87.14
470,nan,Hordeum vulgare,Grass,93.96,87.47,10.9,9.84,11.34,10.88,223.38,3.28,30.47,85.06
466,nan,Hordeum vulgare,Grass,94.51,85.02,10.61,9.08,11.14,10.36,224.35,3.27,29.53,83.3
461,nan,Hordeum vulgare,Grass,63.24,54.07,7.65,6.22,13.23,12.4,222.25,2.24,27.55,85.93
454,nan,Hordeum vulgare,Grass,64.86,62.01,7.49,7.06,12.94,12.95,234.81,2.8,28.3,86.19
459,nan,Hordeum vulgare,Grass,64.86,59.9,7.65,6.93,12.7,12.48,205.36,2.55,25.08,86.94
458,nan,Hordeum vulgare,Grass,68.19,63.57,7.87,7.16,12.42,12.24,226.71,2.67,26.65,87.01
457,nan,Hordeum vulgare,Grass,60.13,58.07,7.57,7.32,13.72,13.78,209.14,2.78,28.52,82.02
456,nan,Hordeum vulgare,Grass,67.24,64.07,7.28,6.81,11.83,12.26,240.04,2.95,28.18,86.44
455,nan,Hordeum vulgare,Grass,72.66,69.6,8.59,8.17,13.28,13.13,238.01,3.09,28.4,85.01
471,nan,Hordeum vulgare,Grass,79.23,76.19,9.98,9.49,12.14,11.97,201.27,3.23,31.03,83.98
453,nan,Hordeum vulgare,Grass,59.58,55.4,7.06,6.43,13.16,12.96,209.49,2.63,28.7,76.22
452,nan,Hordeum vulgare,Grass,52.58,47.12,6.14,5.35,12.81,12.64,190.78,1.62,25.06,76.28
451,nan,Hordeum vulgare,Grass,52.58,47.29,6.25,5.4,13.13,12.73,185.49,2.04,27.1,71.05
450,nan,Hordeum vulgare,Grass,67.69,64.18,8.0,7.47,13.14,13.0,235.26,2.72,27.75,84.5
460,nan,Hordeum vulgare,Grass,63.47,58.23,7.82,7.02,13.41,13.08,215.13,2.81,25.69,90.32
472,nan,Hordeum vulgare,Grass,97.07,90.19,12.36,11.34,12.36,7.79,255.42,5.01,41.31,84.94
483,nan,Hordeum vulgare,Grass,116.81,110.62,13.35,12.15,11.47,10.75,231.88,4.83,30.74,82.43
474,nan,Hordeum vulgare,Grass,104.81,102.57,13.69,13.27,13.1,12.86,215.52,5.13,34.38,82.72
495,nan,Hordeum vulgare,Grass,108.31,105.9,13.17,12.89,12.16,11.84,225.11,4.54,34.91,78.53
494,nan,Hordeum vulgare,Grass,106.31,106.84,12.51,12.71,11.77,11.7,223.97,4.36,32.47,81.93
493,nan,Hordeum vulgare,Grass,105.09,102.84,12.59,12.3,11.94,11.72,213.87,4.01,32.74,78.19
492,nan,Hordeum vulgare,Grass,121.87,114.12,13.96,12.7,11.48,10.97,239.41,4.83,32.34,82.0
491,nan,Hordeum vulgare,Grass,120.03,113.84,14.16,13.2,11.83,11.31,239.17,5.63,34.26,80.67
490,nan,Hordeum vulgare,Grass,120.03,116.9,14.03,13.55,11.69,11.42,244.89,6.11,35.21,80.12
489,nan,Hordeum vulgare,Grass,110.53,106.51,12.32,11.89,11.12,10.35,225.35,5.15,30.15,83.08
488,nan,Hordeum vulgare,Grass,109.26,101.4,13.0,11.78,11.89,11.2,212.04,4.23,33.6,72.79
487,nan,Hordeum vulgare,Grass,104.48,100.18,12.95,12.1,12.4,11.93,211.42,4.87,31.32,81.6
486,nan,Hordeum vulgare,Grass,114.48,115.9,14.08,14.34,12.3,12.17,244.8,5.39,36.93,81.68
485,nan,Hordeum vulgare,Grass,112.31,111.79,14.08,14.05,12.54,12.3,236.04,5.22,35.7,82.66
484,nan,Hordeum vulgare,Grass,119.2,114.79,14.14,13.38,11.89,11.43,242.73,5.63,33.4,84.69
449,nan,Hordeum vulgare,Grass,71.02,66.62,8.66,8.0,13.52,13.15,232.28,3.15,26.81,86.63
482,nan,Hordeum vulgare,Grass,120.6,108.1,13.68,11.57,11.38,10.46,226.6,4.81,29.46,82.26
481,nan,Hordeum vulgare,Grass,118.81,117.29,14.23,13.99,12.01,11.79,247.01,5.78,35.55,82.96
480,nan,Hordeum vulgare,Grass,116.31,115.12,14.2,13.99,12.23,12.07,240.49,5.8,34.56,84.61
479,nan,Hordeum vulgare,Grass,107.7,108.34,13.62,13.75,12.66,12.54,226.67,4.87,34.82,82.31
478,nan,Hordeum vulgare,Grass,111.87,102.01,13.22,11.56,11.82,9.43,236.5,4.23,34.79,79.69
477,nan,Hordeum vulgare,Grass,117.87,117.62,14.16,14.1,12.02,11.88,250.36,5.82,35.04,85.48
476,nan,Hordeum vulgare,Grass,118.7,115.29,15.35,14.7,12.94,12.65,243.39,5.42,39.45,79.27
475,nan,Hordeum vulgare,Grass,110.87,107.23,13.79,13.2,12.49,12.2,224.57,4.78,41.62,72.72
473,nan,Hordeum vulgare,Grass,105.98,98.23,13.46,12.09,12.72,12.13,204.79,4.01,35.23,71.42
448,nan,Hordeum vulgare,Grass,60.41,63.57,7.73,8.53,14.04,14.48,214.52,2.75,28.55,85.24
437,nan,Hordeum vulgare,Grass,64.44,116.6,8.31,17.41,12.89,14.94,246.94,7.02,43.13,85.94
446,nan,Hordeum vulgare,Grass,78.13,79.07,9.05,9.22,12.92,12.55,246.4,3.73,27.33,88.56
420,nan,Hordeum vulgare,Grass,66.11,118.04,8.36,17.28,12.66,14.65,236.87,8.16,39.86,87.06
419,nan,Hordeum vulgare,Grass,69.67,117.88,8.79,17.17,12.61,14.56,258.07,6.79,44.06,85.37
418,nan,Hordeum vulgare,Grass,58.94,107.88,7.62,15.83,12.92,14.59,236.96,5.26,41.94,83.9
417,nan,Hordeum vulgare,Grass,53.06,104.88,7.03,16.03,13.18,15.26,216.58,7.1,39.07,85.01
416,nan,Hordeum vulgare,Grass,59.94,112.88,7.66,17.0,12.78,15.06,240.06,6.41,42.94,84.38
