id_lab,id,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_NDF_digested_24h,methane_intensity,tddm
123806,10003,Chamaecrista mimosoides,Herbaceous_legumes,13.18,35.92,1.15,7.18,4.48,10.17,77.46,129.65,26.84,57.79
124102,10179,Trifolium burchellianum,Herbaceous_legumes,12.59,47.17,0.76,8.77,3.16,9.61,102.27,115.3,24.19,78.67
124103,10195,Trifolium burchellianum,Herbaceous_legumes,21.74,61.63,2.46,15.53,5.83,13.02,133.62,157.86,41.85,80.47
124104,10203,Trifolium burchellianum,Herbaceous_legumes,23.84,61.57,2.4,14.86,5.2,12.47,133.51,130.55,39.31,82.02
124105,10207,Trifolium burchellianum,Herbaceous_legumes,22.57,60.54,2.21,14.38,5.06,12.28,131.28,139.04,38.68,80.68
122839,10245,Trifolium burchellianum  ,Herbaceous_legumes,15.01,62.11,1.33,13.68,4.72,11.84,135.41,134.9,37.57,79.39
124106,10247,Trifolium burchellianum,Herbaceous_legumes,23.67,63.44,2.22,14.95,4.84,12.17,139.82,171.85,37.74,87.38
122812,10360,Crotalaria sp.,Herbaceous_legumes,23.72,50.16,2.57,10.62,5.58,10.85,110.8,95.31,29.18,80.45
122938,10391,Stylosanthes  fruticosa,Herbaceous_legumes,21.83,56.31,3.49,14.13,8.14,12.71,122.33,156.36,44.22,69.45
122965,104,Desmodium intortum,Herbaceous_legumes,11.59,34.88,1.11,7.3,4.94,10.8,75.98,97.89,29.39,54.18
122499,1062,Neonotonia wightii  ,Herbaceous_legumes,15.88,51.64,1.81,11.78,6.39,12.93,115.24,101.5,35.74,73.56
122487,10667,Phaseolus acutifolius,Herbaceous_legumes,45.95,74.72,6.36,14.17,9.47,13.15,166.0,124.69,40.96,76.91
122488,10695,Phaseolus acutifolius,Herbaceous_legumes,44.34,76.05,5.66,14.08,8.71,12.82,168.29,128.91,38.95,80.02
122489,10736,Phaseolus acutifolius,Herbaceous_legumes,45.66,76.82,5.75,14.12,8.63,12.76,169.76,143.75,38.73,80.75
122490,10766,Phaseolus acutifolius,Herbaceous_legumes,40.14,72.3,5.22,13.57,8.77,13.03,160.43,115.76,37.84,79.66
122491,10840,Phaseolus acutifolius,Herbaceous_legumes,42.87,75.21,5.45,14.15,8.71,13.09,166.05,126.23,38.04,82.15
123871,10871,Urochloa decumbens,Grass,11.14,35.17,1.22,7.09,5.53,10.22,78.74,62.96,30.79,51.91
122798,10919,Aeschynomene americana,Shrub_Trees,16.65,42.23,1.89,9.41,6.08,11.99,91.97,115.48,32.08,64.56
122767,10920,Arachis pintoi,Herbaceous_legumes,28.44,63.06,2.85,13.27,5.39,11.31,139.39,127.87,35.87,81.67
122943,10923,Arachis pusilla    ,Herbaceous_legumes,27.97,62.5,4.07,15.55,7.39,12.61,139.39,156.21,39.8,87.14
122939,10925,Arachis glabrata    ,Herbaceous_legumes,23.7,61.07,4.03,15.94,8.64,13.23,133.56,155.31,43.36,80.64
122979,10965,Aeschynomene americana,Shrub_Trees,17.79,48.36,2.72,11.6,7.7,12.15,105.94,144.42,45.16,56.3
122980,11035,Aeschynomene americana,Shrub_Trees,16.75,47.38,2.78,11.84,8.3,12.63,103.38,113.8,47.17,54.8
122768,11049,Stylosanthes mexicana,Herbaceous_legumes,18.03,51.63,1.43,10.83,4.28,11.26,113.89,104.21,29.74,80.43
124584,11176,Calopogonium caeruleum,Shrub_Trees,15.67,42.42,2.02,11.14,6.68,13.57,91.4,467.41,38.71,62.23
123741,11232,Stylosanthes viscosa    ,Herbaceous_legumes,9.75,30.08,0.97,5.71,5.12,9.78,64.83,168.86,24.67,50.03
122973,11243,Stylosanthes scabra,Herbaceous_legumes,17.08,51.57,1.58,10.49,4.84,10.9,111.36,87.64,35.99,63.38
122822,113,Vigna luteola    ,Herbaceous_legumes,8.14,33.56,0.3,4.96,1.93,7.82,73.71,35.9,16.44,66.22
123815,11338,Zornia latifolia,Herbaceous_legumes,20.75,52.94,2.55,13.54,6.36,13.22,115.19,169.29,46.18,63.84
123964,11461,Zornia glabra,Herbaceous_legumes,15.57,49.69,1.46,9.65,4.72,10.16,109.75,160.18,29.66,70.75
122818,11545,Centrosema pascuorum,Herbaceous_legumes,20.26,46.08,2.04,10.12,5.36,11.81,99.77,134.38,33.65,65.2
124085,11557,Cajanus cajan,Shrub_Trees,6.8,31.05,0.66,5.05,4.98,8.4,67.79,99.65,22.57,49.18
122981,11558,Cajanus cajan,Shrub_Trees,14.61,42.55,2.25,11.05,7.71,13.08,92.91,161.53,44.07,54.75
122502,11562,Cajanus  cajan,Shrub_Trees,17.73,45.99,2.57,10.79,8.26,13.33,101.44,105.89,33.59,70.84
124733,11978,Vigna unguiculata,Herbaceous_legumes,20.16,55.63,3.4,15.37,8.14,13.24,124.28,165.6,45.06,76.26
124734,11979,Vigna unguiculata,Herbaceous_legumes,23.0,58.75,3.74,16.42,7.78,13.37,130.8,170.17,46.19,79.15
124735,11987,Vigna unguiculata,Herbaceous_legumes,19.78,52.43,3.14,14.43,7.58,13.16,116.7,134.61,42.79,75.08
124736,11989,Vigna unguiculata,Herbaceous_legumes,24.22,58.96,4.45,16.84,8.76,13.67,130.56,149.48,48.26,77.24
124737,11996,Vigna unguiculata,Herbaceous_legumes,20.33,56.12,3.37,16.18,7.96,13.81,125.78,128.41,45.96,78.94
124738,12004,Vigna unguiculata,Herbaceous_legumes,24.29,59.45,4.65,16.43,9.74,13.97,134.47,148.26,54.6,68.15
124739,12007,Vigna unguiculata,Herbaceous_legumes,18.03,51.88,2.71,12.73,7.58,12.43,118.79,129.66,38.34,76.06
123744,12155,Centrosema macrocarpum    ,Herbaceous_legumes,14.22,36.39,1.65,8.53,5.96,12.1,78.27,97.47,30.04,61.08
122963,122,Centrosema schottii,Herbaceous_legumes,17.04,46.51,2.09,10.66,6.18,11.62,101.41,171.22,40.28,58.05
123820,12212,Centrosema brasilianum,Herbaceous_legumes,24.56,43.8,3.2,9.85,6.61,11.45,94.08,120.53,31.46,67.31
123745,12245,Grona adscendens    ,Herbaceous_legumes,10.19,28.19,0.86,3.35,4.36,6.08,61.16,113.85,14.94,48.33
122815,12342,Grona heterocarpa,Herbaceous_legumes,18.3,49.25,1.4,10.82,4.07,11.71,107.51,146.32,32.42,72.85
122821,12401,Centrosema schottii,Herbaceous_legumes,24.04,52.77,1.9,10.49,4.22,10.6,114.96,118.86,30.63,74.6
122817,12403,Centrosema virginianum,Herbaceous_legumes,22.66,46.19,2.15,10.3,5.03,11.89,100.75,137.61,34.59,65.0
124107,12431,Trifolium burchellianum,Herbaceous_legumes,27.57,67.69,2.92,15.85,5.47,12.1,149.22,148.68,40.37,86.61
124108,12433,Trifolium burchellianum,Herbaceous_legumes,26.33,61.82,3.24,15.76,6.24,12.99,133.48,190.45,40.58,83.92
124109,12483,Trifolium burchellianum,Herbaceous_legumes,25.7,61.57,3.29,15.94,6.58,13.19,132.95,165.46,40.62,84.72
123824,12490,Trifolium rueppellianum,Herbaceous_legumes,11.33,43.6,1.33,10.56,5.97,12.28,93.82,85.29,40.93,55.43
123893,1251,Canavalia sp,Herbaceous_legumes,19.0,49.34,2.19,12.15,5.88,12.54,106.53,133.17,39.1,67.16
122791,12539,Trifolium tembense,Herbaceous_legumes,24.99,62.45,2.88,15.3,5.9,12.48,137.17,147.1,42.96,78.24
122513,12603,Cajanus  cajan,Herbaceous_legumes,13.07,38.99,1.0,6.42,4.11,8.86,85.46,66.1,21.24,66.31
124740,12635,Vigna unguiculata,Herbaceous_legumes,20.41,54.93,3.52,15.19,8.73,13.97,123.55,137.28,45.39,75.27
124741,12650,Vigna unguiculata,Herbaceous_legumes,23.9,56.38,4.23,15.29,8.96,13.52,127.11,125.67,45.37,75.87
122827,12655,Vigna unguiculata,Herbaceous_legumes,11.51,41.26,1.34,8.15,6.15,10.52,91.32,70.2,25.06,71.97
122828,12657,Vigna unguiculata,Herbaceous_legumes,14.26,45.6,1.46,9.5,5.43,11.1,100.15,85.1,28.75,72.56
124742,12657,Vigna unguiculata,Herbaceous_legumes,24.26,60.15,4.44,16.79,9.31,14.11,135.42,131.08,50.1,75.35
124743,12659,Vigna unguiculata,Herbaceous_legumes,20.22,57.79,3.17,15.5,7.92,13.58,131.47,138.7,45.05,78.3
124744,12663,Vigna unguiculata,Herbaceous_legumes,24.17,58.45,3.7,15.43,7.68,13.35,133.69,127.89,45.6,77.34
122816,13143,Alysicarpus rugosus,Herbaceous_legumes,17.76,50.4,1.77,11.81,5.27,12.48,110.22,120.0,35.44,72.86
124701,13284,Cenchrus ciliaris,Grass,9.26,33.62,1.19,8.6,6.96,13.71,75.16,86.69,38.41,50.1
124753,13284,Cenchrus ciliaris,Grass,17.47,45.25,1.86,11.24,5.4,12.74,99.97,84.13,44.44,56.28
123747,13769,Calpurnia aurea,Shrub_Trees,15.89,54.72,1.56,11.18,5.07,10.55,118.09,127.43,30.41,79.38
122967,13977,Crotalaria sp.,Herbaceous_legumes,14.53,46.23,2.37,10.97,8.12,12.02,102.25,126.56,42.16,57.83
