id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F25-2137, CIAT_606_Basilisk_Opt, Brachiaria interespecifico,Grass,13.0,13.8,46.81,53.35
F25-2138, CIAT_6294_Marandu_Opt,Brachiaria interespecifico ,Grass,13.1,13.7,58.91,46.34
F24-3549,ABC-10440,Stylosanthes humilis,Herbaceous_legumes,12.24,13.73,45.94,54.2
F24-3550,ABC-10613,Stylosanthes scabra,Herbaceous_legumes,12.26,13.87,63.05,39.5
F24-3551,ABC-10627,Stylosanthes scabra,Herbaceous_legumes,12.49,13.61,46.84,47.71
F24-3552,ABC-10634,Stylosanthes scabra,Herbaceous_legumes,12.53,13.56,52.78,50.55
F24-3553,ABC-10639,Stylosanthes scabra,Herbaceous_legumes,12.8,14.27,52.7,51.87
F24-3554,ABC-10725,Stylosanthes scabra,,12.91,14.14,51.65,45.73
F24-3554,ABC-10725,Stylosanthes scabra,Herbaceous_legumes,12.91,14.14,51.65,45.73
F24-3555,ABC-11199,Stylosanthes hamata,Herbaceous_legumes,12.89,14.57,62.33,45.07
F24-3556,ABC-11215,Stylosanthes hamata,Herbaceous_legumes,13.08,14.14,45.54,58.15
F24-3557,ABC-11220,Stylosanthes hamata,Herbaceous_legumes,12.84,14.34,56.23,52.76
F24-3558,ABC-11232,Stylosanthes hamata,Herbaceous_legumes,12.5,14.31,59.02,49.49
F24-3559,ABC-11313,Stylosanthes guianensis,Herbaceous_legumes,12.26,13.51,55.16,41.97
F24-3560,ABC-11417,Stylosanthes guianensis,Herbaceous_legumes,12.13,12.21,43.95,43.31
F24-3561,ABC-11624,Stylosanthes humilis,Herbaceous_legumes,12.16,13.26,51.7,49.47
F24-3562,ABC-11690,Stylosanthes humilis,Herbaceous_legumes,12.24,13.52,61.77,41.84
F24-3563,ABC-11762,Stylosanthes hamata,Herbaceous_legumes,13.2,14.58,64.94,44.09
F24-3564,ABC-11778,Stylosanthes hamata,Herbaceous_legumes,12.7,14.19,53.43,52.53
F24-3565,ABC-11784,Stylosanthes hamata,Herbaceous_legumes,13.21,14.46,64.6,41.61
F24-3566,ABC-11820,Stylosanthes scabra,Herbaceous_legumes,12.56,13.96,56.11,47.55
F24-3567,ABC-12042,Stylosanthes humilis,Herbaceous_legumes,12.15,13.31,62.22,40.48
