subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
3,3,Genetic bank,F24-3540,CIAT-1467,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,46,1,1,3,50.91722647,100.45095,6.466487761,14.39188353,12.7,14.32727468,216.921557,221.0970237,50.84123828,61.12940668
3,4,Genetic bank,F24-3540,CIAT-1467,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,46,1,2,4,50.41722647,98.95095,6.755908346,14.66690528,13.4,,,,,
3,5,Genetic bank,F24-3540,CIAT-1467,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,46,1,3,5,51.91722647,101.95095,6.956908346,15.06237156,13.4,14.77413556,220.072744,205.795111,51.71448076,62.87183987
3,6,Genetic bank,F24-3541,CIAT-1475,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,46,1,1,6,52.41722647,95.95095,6.97149112,14.1545555,13.3,14.75186593,211.3689834,265.7186313,56.40388724,55.28141866
3,7,Genetic bank,F24-3541,CIAT-1475,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,46,1,2,7,51.41722647,94.95095,6.83849112,14.15215667,13.3,14.90470256,208.9571405,180.2243256,51.20099287,60.8278053
3,8,Genetic bank,F24-3541,CIAT-1475,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,46,1,3,8,49.41722647,92.95095,6.57249112,13.7555555,13.3,14.79872503,204.760326,220.9054913,52.91615889,57.26401586
3,9,Genetic bank,F25-0954,CIAT-23326,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,23,46,1,1,9,49.91722647,80.95095,7.188080611,13.08448808,14.4,16.16347687,168.8618167,1494.230694,44.14593582,61.82662161
3,10,Genetic bank,F25-0954,CIAT-23326,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,23,46,1,2,10,47.41722647,77.45095,7.065166743,12.74154049,14.9,16.45110937,161.6255217,720.6753672,41.74816675,63.68948247
3,11,Genetic bank,F25-0954,CIAT-23326,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,23,46,1,3,11,47.41722647,77.45095,7.11258397,12.84902517,15,16.5898871,161.5608974,2701.263649,43.94456493,60.99223082
3,12,Genetic bank,F25-0971,CIAT-13149,Fabales,Fabaceae,Desmodium,strigillosum,Desmodium strigillosum,Herbaceous_legumes,23,46,1,1,12,38.91722647,68.45095,5.17599112,9.871853163,13.3,14.42179131,145.814785,-913.4813171,43.78972706,48.02291636
3,13,Genetic bank,F25-0971,CIAT-13149,Fabales,Fabaceae,Desmodium,strigillosum,Desmodium strigillosum,Herbaceous_legumes,23,46,1,2,13,37.91722647,67.95095,4.891322214,9.576583086,12.9,14.0933763,144.8944016,-734.4140029,42.95033278,47.54448204
3,14,Genetic bank,F25-0971,CIAT-13149,Fabales,Fabaceae,Desmodium,strigillosum,Desmodium strigillosum,Herbaceous_legumes,23,46,1,3,14,38.41722647,67.45095,5.10949112,9.667785716,13.3,14.33306086,143.7132849,-752.1560895,43.28654957,47.58640453
3,15,Genetic bank,F25-0974,CIAT-13946,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Herbaceous_legumes,23,46,1,1,15,16.91722647,23.45095,2.030067176,3.023193154,12,12.89155942,49.97870664,-37.52061548,29.28916459,21.99801447
3,16,Genetic bank,F25-0974,CIAT-13946,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Herbaceous_legumes,23,46,1,2,16,17.91722647,24.45095,2.096315497,3.017570516,11.7,12.34132218,52.09949062,-54.35387835,23.51732674,27.34054793
3,17,Genetic bank,F25-0974,CIAT-13946,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Herbaceous_legumes,23,46,1,3,17,17.91722647,24.95095,2.114232723,3.084886571,11.8,12.36380407,53.16487848,-41.39836293,28.22076467,23.29207406
3,18,Genetic bank,F25-0980,CIAT-19867,Fabales,Fabaceae,Uraria,lagopodioides,Uraria lagopodioides,Herbaceous_legumes,23,46,1,1,18,44.41722647,73.95095,6.795835649,12.11190589,15.3,16.37829654,154.1326508,735.2141815,42.67946034,59.14859843
